
[00:00:00.000 --> 00:00:03.480]  我最近看到一個Barnett Research
[00:00:03.480 --> 00:00:08.680]  大家知道Barnett Research是一個很受歡迎的調查研究機構
[00:00:08.680 --> 00:00:11.240]  這個研究說的是什麼呢?
[00:00:11.240 --> 00:00:17.560]  他告訴我們有47%的基督徒母親
[00:00:17.560 --> 00:00:22.200]  47% 差不多一半的基督徒母親表示
[00:00:22.200 --> 00:00:28.440]  他們的教會從來沒有提供過幫助他們做媽媽
[00:00:28.440 --> 00:00:32.440]  都可以嗎? 預備吧
[00:00:32.440 --> 00:00:39.760]  從來沒有提供過怎樣幫助做媽媽的一些材料或者訓練
[00:00:39.760 --> 00:00:41.440]  當我看到這個報告時
[00:00:41.440 --> 00:00:42.800]  我自己有些反思
[00:00:42.800 --> 00:00:44.800]  想想我們教會又如何呢?
[00:00:44.800 --> 00:00:50.800]  我記得在我們教會開創的期間
[00:00:50.800 --> 00:00:55.760]  我們曾經搞過一個叫做醒目父母系列
[00:00:55.760 --> 00:01:01.480]  我們請一些專家來教我們父母怎樣做父母親
[00:01:01.480 --> 00:01:07.960]  我們又搞過代產的母親班
[00:01:07.960 --> 00:01:11.440]  師母和姐妹比較有經驗的
[00:01:11.440 --> 00:01:15.200]  有很多快要生的父母
[00:01:15.200 --> 00:01:16.680]  我們怎樣教他們做呢?
[00:01:16.680 --> 00:01:19.280]  很緊張 怎樣做一個代產的母親
[00:01:19.280 --> 00:01:23.280]  準備去迎接嬰孩的出生呢?
[00:01:23.280 --> 00:01:28.280]  我記得大概在2010年
[00:01:28.280 --> 00:01:32.680]  我們推行一個全教會的門徒訓練時
[00:01:32.680 --> 00:01:34.680]  我一個人帶了三班
[00:01:34.680 --> 00:01:39.080]  一個是弟兄班 一個是姐妹班 一個是混合班
[00:01:39.080 --> 00:01:41.280]  姐妹班很特別 為什麼呢?
[00:01:41.280 --> 00:01:43.480]  全部都是媽媽
[00:01:43.480 --> 00:01:45.280]  那時候很挑戰的
[00:01:45.280 --> 00:01:47.280]  媽媽要說服老公
[00:01:47.280 --> 00:01:51.080]  星期三晚留在家裡帶孩子睡覺
[00:01:51.080 --> 00:01:54.080]  我還記得爸爸說要穿著老婆的睡衣
[00:01:54.080 --> 00:01:55.080]  躺在兒子旁邊
[00:01:55.080 --> 00:01:57.080]  兒子才能睡得著
[00:01:57.080 --> 00:02:01.080]  每個星期三晚
[00:02:01.080 --> 00:02:04.080]  有一個媽媽有三個小朋友
[00:02:04.080 --> 00:02:06.080]  放下小孩 放下老公
[00:02:06.080 --> 00:02:07.080]  回來接受門徒訓練
[00:02:07.080 --> 00:02:09.080]  我們過得很好
[00:02:09.080 --> 00:02:11.080]  除此之外
[00:02:11.080 --> 00:02:15.080]  我們還有什麼為了我們當中的父母或媽媽做的呢?
[00:02:15.080 --> 00:02:17.080]  其實沒有多少
[00:02:17.080 --> 00:02:20.080]  我最能夠想到的可能是十幾二十年前
[00:02:20.080 --> 00:02:25.080]  我們曾經搞過一個叫做BonBonFamilyCamp
[00:02:25.080 --> 00:02:26.080]  家庭營
[00:02:26.080 --> 00:02:30.080]  自此之後就好像沒什麼了
[00:02:30.080 --> 00:02:33.080]  所以當我看到這個報告的時候
[00:02:33.080 --> 00:02:34.080]  我真的不好意思
[00:02:34.080 --> 00:02:36.080]  我要跟我們的媽媽說聲對不起
[00:02:36.080 --> 00:02:41.080]  因為似乎是忽略了你們的需要
[00:02:41.080 --> 00:02:45.080]  事實上我心裡面其實都是記掛了這件事
[00:02:45.080 --> 00:02:47.080]  特別剛才這個姐妹也提到
[00:02:47.080 --> 00:02:49.080]  我們說Intergenerational
[00:02:49.080 --> 00:02:52.080]  其實我們很希望整個家庭都能夠去認識上帝
[00:02:52.080 --> 00:02:53.080]  敬拜上帝
[00:02:53.080 --> 00:02:55.080]  侍奉上帝
[00:02:55.080 --> 00:02:57.080]  現在我們這個講道系列是說什麼呢?
[00:02:57.080 --> 00:03:00.080]  就是怎樣能夠幫助你的家庭
[00:03:00.080 --> 00:03:03.080]  變成一個訓練門徒的地方
[00:03:03.080 --> 00:03:05.080]  怎樣能夠培育我們的下一代
[00:03:05.080 --> 00:03:09.080]  成為耶穌基督的門徒
[00:03:09.080 --> 00:03:12.080]  而我們做父母的
[00:03:12.080 --> 00:03:14.080]  做夫妻
[00:03:14.080 --> 00:03:18.080]  在子女面前的表現
[00:03:18.080 --> 00:03:20.080]  就至關重要
[00:03:20.080 --> 00:03:22.080]  不知道我們當中
[00:03:22.080 --> 00:03:24.080]  做父母
[00:03:24.080 --> 00:03:26.080]  有沒有想過
[00:03:26.080 --> 00:03:28.080]  在家裡
[00:03:28.080 --> 00:03:31.080]  我們夫妻之間的關係
[00:03:31.080 --> 00:03:32.080]  對我們的子女
[00:03:32.080 --> 00:03:33.080]  或者在家裡
[00:03:33.080 --> 00:03:35.080]  其他人的信仰
[00:03:35.080 --> 00:03:38.080]  會有什麼影響呢?
[00:03:38.080 --> 00:03:41.080]  不知道大家有沒有想過這個問題
[00:03:41.080 --> 00:03:44.080]  今天早上我先掉了書包
[00:03:44.080 --> 00:03:46.080]  中國有一個書叫《詩經》
[00:03:46.080 --> 00:03:47.080]  大家有沒有聽過
[00:03:47.080 --> 00:03:50.080]  《詩經》裡面有一句話
[00:03:50.080 --> 00:03:51.080]  要打出來
[00:03:51.080 --> 00:03:53.080]  因為讀不清楚字眼
[00:03:53.080 --> 00:03:55.080]  這個是《詩經》說
[00:03:55.080 --> 00:03:57.080]  死生契闊
[00:03:57.080 --> 00:03:59.080]  很立刻
[00:03:59.080 --> 00:04:01.080]  死生契闊
[00:04:01.080 --> 00:04:02.080]  與子成說
[00:04:02.080 --> 00:04:04.080]  後面那兩句大家熟悉一點
[00:04:04.080 --> 00:04:06.080]  執子之手
[00:04:06.080 --> 00:04:09.080]  與子皆老
[00:04:09.080 --> 00:04:11.080]  其實我們只記得
[00:04:11.080 --> 00:04:13.080]  開頭最後那兩句
[00:04:13.080 --> 00:04:14.080]  執子之手
[00:04:14.080 --> 00:04:15.080]  與子皆老
[00:04:15.080 --> 00:04:17.080]  給我們的感覺
[00:04:17.080 --> 00:04:18.080]  很浪漫
[00:04:18.080 --> 00:04:20.080]  拖著老婆老公的手
[00:04:20.080 --> 00:04:22.080]  一路走到白頭
[00:04:22.080 --> 00:04:24.080]  似乎給我們的印象
[00:04:24.080 --> 00:04:27.080]  我們愛情的長久
[00:04:27.080 --> 00:04:28.080]  永結同心
[00:04:28.080 --> 00:04:31.080]  一個很浪漫的期盼
[00:04:31.080 --> 00:04:33.080]  我們一般的感覺
[00:04:33.080 --> 00:04:35.080]  看法就是這樣
[00:04:35.080 --> 00:04:37.080]  但其實前面那兩句
[00:04:37.080 --> 00:04:38.080]  你發覺原來
[00:04:38.080 --> 00:04:41.080]  這句話的意思不是這樣
[00:04:41.080 --> 00:04:44.080]  意思的重點是說
[00:04:44.080 --> 00:04:47.080]  開口要立志
