
[00:00:00.000 --> 00:00:03.500]  因為烏克蘭戰爭的緣故
[00:00:03.500 --> 00:00:04.500]  大家都聽到
[00:00:04.500 --> 00:00:09.000]  可口可樂這間公司撤出
[00:00:09.000 --> 00:00:13.000]  因為制裁的原因撤出俄羅斯
[00:00:13.000 --> 00:00:16.000]  那些新聞就說
[00:00:16.000 --> 00:00:18.000]  《莫斯科郵報》就說
[00:00:18.000 --> 00:00:19.500]  《泰晤士報》就說
[00:00:19.500 --> 00:00:21.000]  就出了一則新聞說
[00:00:21.000 --> 00:00:23.000]  俄羅斯的公司
[00:00:23.000 --> 00:00:28.000]  汽水公司就開始想
[00:00:28.000 --> 00:00:31.000]  有個市場的空檔在那裡
[00:00:31.000 --> 00:00:34.000]  可口可樂的市場佔有率都不少
[00:00:34.000 --> 00:00:36.000]  有兩間公司就說
[00:00:36.000 --> 00:00:38.500]  要代替可口可樂
[00:00:38.500 --> 00:00:41.000]  就說弄些汽水出來
[00:00:41.000 --> 00:00:42.000]  但都不成功
[00:00:42.000 --> 00:00:44.000]  但是剛剛有另一間公司
[00:00:44.000 --> 00:00:46.000]  在5月19日的時候就說
[00:00:46.000 --> 00:00:49.000]  就把牌子全部轉了
[00:00:49.000 --> 00:00:52.000]  又是黑色 又是橙色
[00:00:52.000 --> 00:00:55.000]  又是白色 又叫什麼
[00:00:55.000 --> 00:00:58.000]  Cool Cola 又叫Fancy
[00:00:58.000 --> 00:00:59.000]  又叫Street
[00:00:59.000 --> 00:01:04.000]  那些顏色標誌都模仿得似模似樣
[00:01:04.000 --> 00:01:07.000]  因為這個是一個發財的機會
[00:01:07.000 --> 00:01:09.000]  大家都知道
[00:01:09.000 --> 00:01:12.000]  要趁機會佔回有個市場率
[00:01:12.000 --> 00:01:14.000]  但是我們當中明白到
[00:01:14.000 --> 00:01:16.000]  是沒有可能的
[00:01:16.000 --> 00:01:18.000]  因為可口可樂我們知道
[00:01:18.000 --> 00:01:21.000]  大家有沒有去過Ananda
[00:01:21.000 --> 00:01:23.000]  有沒有參觀過可樂廠
[00:01:23.000 --> 00:01:27.000]  可樂廠我那時候去開會的時候
[00:01:27.000 --> 00:01:29.000]  住在會議中心
[00:01:29.000 --> 00:01:30.000]  走路去那裡
[00:01:30.000 --> 00:01:32.000]  都有半個小時
[00:01:32.000 --> 00:01:34.000]  不過裡面去喝可樂
[00:01:34.000 --> 00:01:35.000]  很多口味
[00:01:35.000 --> 00:01:38.000]  全世界的佔有率
[00:01:38.000 --> 00:01:39.000]  有不同口味
[00:01:39.000 --> 00:01:42.000]  配合到當地的文化
[00:01:42.000 --> 00:01:45.000]  即是它的市場已經發展到很厲害
[00:01:45.000 --> 00:01:48.000]  但是它永遠都藏了一些秘訣
[00:01:48.000 --> 00:01:52.000]  即是沒有人抄到你喜歡喝的東西
[00:01:52.000 --> 00:01:54.000]  究竟那樣東西是不是上癮的呢
[00:01:54.000 --> 00:01:55.000]  沒有人知道
[00:01:55.000 --> 00:01:56.000]  可能有些上癮的
[00:01:56.000 --> 00:01:57.000]  有些化學物品在那裡
[00:01:57.000 --> 00:01:59.000]  在這個秘密的元素當中
[00:01:59.000 --> 00:02:00.000]  我們明白到
[00:02:00.000 --> 00:02:05.000]  原來我們過去那幾個禮拜當中
[00:02:05.000 --> 00:02:09.000]  我們在看提摩太前書
[00:02:09.000 --> 00:02:12.000]  上個禮拜我們開始學習
[00:02:12.000 --> 00:02:13.000]  什麼叫操練
[00:02:13.000 --> 00:02:15.000]  怎樣操練我們競拳的生活
[00:02:15.000 --> 00:02:17.000]  那我們怎樣去操練這個競拳生活呢
[00:02:17.000 --> 00:02:20.000]  我們剛才大家所讀的經文當中
[00:02:20.000 --> 00:02:23.000]  都提到這個
[00:02:23.000 --> 00:02:25.000]  其實從第三章那裡
[00:02:25.000 --> 00:02:29.000]  競拳這個字在提摩太前書出現了很多次
[00:02:29.000 --> 00:02:30.000]  出現了八次
[00:02:30.000 --> 00:02:32.000]  好像不止八次
[00:02:32.000 --> 00:02:33.000]  我先看看數字
[00:02:33.000 --> 00:02:35.000]  是八次
[00:02:35.000 --> 00:02:37.000]  接著提摩太後書又出現一次
[00:02:37.000 --> 00:02:39.000]  又提多書又再提一次
[00:02:39.000 --> 00:02:42.000]  整卷新約書卷裡面出現了十五次
[00:02:42.000 --> 00:02:45.000]  但是保羅自己所提到這個字
[00:02:45.000 --> 00:02:47.000]  提到十次
[00:02:47.000 --> 00:02:49.000]  其餘的五次是彼得
[00:02:49.000 --> 00:02:51.000]  是彼得所講的
[00:02:51.000 --> 00:02:54.000]  無論是在《仕逃人傳》
[00:02:54.000 --> 00:02:56.000]  或者是彼得後書所講
[00:02:56.000 --> 00:02:59.000]  競拳究竟有什麼特別呢
[00:02:59.000 --> 00:03:01.000]  競拳究竟有什麼秘密呢
[00:03:01.000 --> 00:03:04.000]  其實這裡提到第三章的時候
[00:03:04.000 --> 00:03:06.000]  提到競拳的奧秘
[00:03:06.000 --> 00:03:12.000]  原來競拳奧秘背後的主角是主耶穌基督
[00:03:12.000 --> 00:03:15.000]  我們競拳的對象是主耶穌基督
[00:03:15.000 --> 00:03:19.000]  因為主耶穌基督到成肉身住在我們中間
[00:03:19.000 --> 00:03:23.000]  祂將我們的罪能夠赦免給你
[00:03:23.000 --> 00:03:25.000]  所以我們能夠將榮耀都歸給
[00:03:25.000 --> 00:03:27.000]  將榮耀歸給我們天父 上帝
