
[00:00:00.000 --> 00:00:02.480]  -大家冷不冷? -大家冷不冷?
[00:00:02.480 --> 00:00:04.200]  所以我們都很期待
[00:00:04.200 --> 00:00:06.480]  之後我們有愛心午飯
[00:00:06.480 --> 00:00:08.120]  -一起亂下胃 -我們期待了
[00:00:08.120 --> 00:00:11.320]  我們之後有愛心午飯可以暖胃
[00:00:11.320 --> 00:00:14.520]  我自己家裡是我太太煮飯的時候
[00:00:14.520 --> 00:00:16.960]  有時候都會她叫我
[00:00:16.960 --> 00:00:18.640]  我在家的時候
[00:00:18.640 --> 00:00:21.200]  我太太做飯會叫我
[00:00:21.200 --> 00:00:23.040]  今晚你負責煮這個
[00:00:23.040 --> 00:00:24.840]  你負責處理這件事
[00:00:24.840 --> 00:00:28.000]  今天晚上你負責煮這個處理那個
[00:00:28.000 --> 00:00:30.120]  我就會回應她
[00:00:30.120 --> 00:00:31.240]  我就回應說
[00:00:31.240 --> 00:00:33.400]  -我不懂的 -我不會
[00:00:33.400 --> 00:00:36.040]  不要吧 我煮的那些不能吃的
[00:00:36.040 --> 00:00:38.840]  我做的飯是不能吃的
[00:00:38.840 --> 00:00:42.400]  有沒有試過有人叫你幫忙
[00:00:42.400 --> 00:00:44.880]  那有沒有試過有人叫你幫忙
[00:00:44.880 --> 00:00:48.720]  或者邀請你擔任一個崗位
[00:00:48.720 --> 00:00:50.800]  或者邀請你擔任一個崗位
[00:00:50.800 --> 00:00:53.760]  還是你又不想做 又不懂做
[00:00:53.760 --> 00:00:56.400]  又覺得自己又不夠資格呢
[00:00:56.400 --> 00:00:58.800]  但是你不想做 不懂做
[00:00:58.800 --> 00:01:01.040]  又覺得自己不夠資格
[00:01:01.040 --> 00:01:04.840]  到底什麼是合適 什麼是不合適呢
[00:01:04.840 --> 00:01:08.040]  到底什麼是合適 什麼是不合適呢
[00:01:08.040 --> 00:01:12.800]  我們再次回到薩姆爾基尚的系列
[00:01:12.800 --> 00:01:15.560]  我們再次回到薩姆爾基尚的系列
[00:01:15.560 --> 00:01:19.360]  今天我們聚焦在第九章和第十章
[00:01:19.360 --> 00:01:22.360]  今天我們聚焦在九章和十章
[00:01:22.360 --> 00:01:26.120]  感謝主席剛才選讀了部分的經文
[00:01:26.120 --> 00:01:29.040]  感謝主席剛才選讀了部分的經文
[00:01:29.040 --> 00:01:32.760]  不過今天的訊息我們都會跨越這兩章的經文
