
[00:00:00.000 --> 00:00:03.420]  今天我們要講的這個比喻
[00:00:03.420 --> 00:00:06.560]  其實是一般人來說
[00:00:06.560 --> 00:00:11.380]  給它一個名稱叫做「煞網」的比喻
[00:00:11.380 --> 00:00:13.160]  我稍後也會講
[00:00:13.160 --> 00:00:17.540]  這個「煞網」的比喻名稱似乎不是太貼切
[00:00:17.540 --> 00:00:23.360]  稍後會跟大家繼續講為什麼我認為不太貼切
[00:00:23.360 --> 00:00:26.880]  其實今天的這個比喻毫無疑問
[00:00:26.880 --> 00:00:29.440]  是講地獄 是講審判
[00:00:29.440 --> 00:00:32.780]  是一個很可怕的一個訊息
[00:00:32.780 --> 00:00:38.720]  經文是記載在《馬太福音》13章47至50節
[00:00:38.720 --> 00:00:45.580]  剛才也讀過那些經文
[00:00:45.580 --> 00:00:52.260]  其實這個經文的重心可以說在《馬太福音》13章50節
[00:00:52.260 --> 00:00:53.560]  這個經文說
[00:00:53.560 --> 00:00:58.840]  「雕在火爐裡,在那裡必要哀哭切此念」
[00:00:58.840 --> 00:01:00.500]  是很可怕的
[00:01:00.500 --> 00:01:05.140]  「雕在火爐裡,在那裡必要哀哭切此念」
[00:01:05.140 --> 00:01:10.980]  耶穌基督其實在祂的教導當中時時提到地獄
[00:01:10.980 --> 00:01:13.300]  祂時時提醒我們
[00:01:13.300 --> 00:01:17.820]  如果我們拒絕接受祂的人會有什麼後果
[00:01:17.820 --> 00:01:21.840]  耶穌基督的教導相信其中最可怕的
[00:01:21.840 --> 00:01:25.200]  就是《馬太福音》23章33節
[00:01:25.200 --> 00:01:30.160]  經文說「你們怎能逃脫地獄的刑罰呢?」
[00:01:30.160 --> 00:01:33.880]  「你們怎能逃脫地獄的刑罰呢?」
[00:01:33.880 --> 00:01:38.500]  這正是我們今天所講的殺網的比喻
[00:01:38.500 --> 00:01:40.500]  這個網就是一網打盡
[00:01:40.500 --> 00:01:44.700]  沒有人能夠逃脫地獄的懲罰
[00:01:44.700 --> 00:01:48.540]  除非我們接受耶穌基督
[00:01:48.540 --> 00:01:51.760]  這是耶穌基督親自講的
[00:01:51.760 --> 00:01:53.760]  我們覺得很奇怪
[00:01:53.760 --> 00:01:59.280]  有很多人都說耶穌基督是從來不審判人的
[00:01:59.280 --> 00:02:01.780]  但是耶穌基督講地獄
[00:02:01.780 --> 00:02:07.500]  比祂講其他的教導更加多
[00:02:07.500 --> 00:02:12.480]  耶穌基督講地獄是多過祂講愛的
[00:02:12.480 --> 00:02:16.060]  在若干年前曾經有一個電視台
[00:02:16.060 --> 00:02:19.140]  訪問了一個很年輕的女孩
[00:02:19.140 --> 00:02:22.500]  這個女孩相信是中學的女學生
[00:02:22.500 --> 00:02:26.380]  他們訪問她,問她在人生中有甚麼願望
[00:02:26.380 --> 00:02:28.380]  有甚麼期望
[00:02:28.380 --> 00:02:30.860]  你猜這個女學生怎麼說呢?
[00:02:30.860 --> 00:02:34.000]  她說「我想快點死」
[00:02:34.000 --> 00:02:35.760]  那個訪問她的人問她
[00:02:35.760 --> 00:02:37.940]  「你為甚麼想快點死?」
[00:02:37.940 --> 00:02:40.640]  這個女孩說「我想去地獄」
[00:02:40.640 --> 00:02:42.360]  「地獄很好玩」
