
[00:00:00.000 --> 00:00:08.680]  我請大家坐在一起同心再祈禱
[00:00:08.680 --> 00:00:10.880]  主耶穌感謝祢
[00:00:10.880 --> 00:00:14.800]  感謝祢住在我們生命裏面
[00:00:14.800 --> 00:00:18.120]  感謝祢成為我們喜樂的源頭
[00:00:18.120 --> 00:00:20.080]  感謝祢今天讓我們早上一起
[00:00:20.080 --> 00:00:23.480]  有機會讀祢自己的話
[00:00:23.480 --> 00:00:25.680]  我們祈求親愛的聖靈
[00:00:25.680 --> 00:00:27.640]  就是真理的聖靈
[00:00:27.640 --> 00:00:31.680]  引導我們進入祢的真道當中
[00:00:31.680 --> 00:00:33.880]  讓我們因為祢自己的說話
[00:00:33.880 --> 00:00:38.120]  我們能夠行在喜樂滿足的人生裏面
[00:00:38.120 --> 00:00:39.280]  我們仰望祈禱
[00:00:39.280 --> 00:00:41.160]  奉耶穌的聖名祈求
[00:00:41.160 --> 00:00:43.440]  Amen
[00:00:43.440 --> 00:00:46.800]  今天跟大家思想《路加福音》第十章的一段
[00:00:46.800 --> 00:00:48.240]  大家會熟悉的經文
[00:00:48.240 --> 00:00:52.200]  我們思想喜樂的源由
[00:00:52.200 --> 00:00:53.320]  生活上的一些經歷
[00:00:53.320 --> 00:00:56.040]  可能大家都有一些同類的體會
[00:00:56.040 --> 00:01:00.360]  就是有些時候以為自己沒有的
[00:01:00.360 --> 00:01:03.520]  但其實原來是有的
[00:01:03.520 --> 00:01:05.680]  有一次我自己有一個經歷
[00:01:05.680 --> 00:01:08.160]  就是和太太去做一些運動
[00:01:08.160 --> 00:01:09.920]  去跑步
[00:01:09.920 --> 00:01:13.640]  當日天氣是很猛烈的陽光
[00:01:13.640 --> 00:01:15.760]  所以一邊跑的時候
[00:01:15.760 --> 00:01:19.400]  就是戴著一副太陽眼鏡
[00:01:19.400 --> 00:01:23.040]  一邊跑的時候突然間發覺
[00:01:23.040 --> 00:01:27.960]  為甚麼沒有了太陽眼鏡
[00:01:27.960 --> 00:01:29.960]  我全身摸
[00:01:29.960 --> 00:01:32.920]  沒有 當然是掉了
[00:01:32.920 --> 00:01:35.280]  我和旁邊的太太說
[00:01:35.280 --> 00:01:37.920]  不見了太陽眼鏡
[00:01:37.920 --> 00:01:39.520]  太太看著我
[00:01:39.520 --> 00:01:43.680]  你不就戴著了
[00:01:43.680 --> 00:01:46.360]  自己戴著忘記了
[00:01:46.360 --> 00:01:48.760]  不察覺自己在戴著
[00:01:48.760 --> 00:01:51.240]  然後竟然四處全身在搜索
[00:01:51.240 --> 00:01:54.840]  發覺原來在戴著
[00:01:54.840 --> 00:01:57.040]  這件事我當時也笑了一輪
[00:01:57.040 --> 00:01:58.840]  但是心軟突然間體會一件事
