
[00:00:00.000 --> 00:00:03.900]  有一個大學教授邀請他的學生填一份問卷
[00:00:03.900 --> 00:00:06.900]  這份問卷只有兩個問題
[00:00:06.900 --> 00:00:10.900]  第一個問題就是他很愛他
[00:00:10.900 --> 00:00:13.900]  他長得非常漂亮
[00:00:13.900 --> 00:00:17.900]  但是有一天他不幸地遇到交通意外
[00:00:17.900 --> 00:00:20.900]  臉上留下醜陋的疤痕
[00:00:20.900 --> 00:00:25.900]  你覺得他是不是好像以前一樣這麼愛他呢
[00:00:25.900 --> 00:00:26.900]  答案有三個
[00:00:26.900 --> 00:00:28.900]  A 一定會
[00:00:28.900 --> 00:00:30.900]  B 一定不會
[00:00:30.900 --> 00:00:32.900]  C 可能會
[00:00:32.900 --> 00:00:34.900]  第二條問題
[00:00:34.900 --> 00:00:36.900]  他很愛他
[00:00:36.900 --> 00:00:39.900]  他事業有成
[00:00:39.900 --> 00:00:42.900]  但是有一天他破產了
[00:00:42.900 --> 00:00:48.900]  你覺得他好像以前一樣這麼愛他嗎
[00:00:48.900 --> 00:00:50.900]  答案都是一樣有三個
[00:00:50.900 --> 00:00:51.900]  A 一定會
[00:00:51.900 --> 00:00:53.900]  B 一定不會
[00:00:53.900 --> 00:00:55.900]  C 可能會
[00:00:55.900 --> 00:00:58.900]  同學們很快就完成了問卷
[00:00:58.900 --> 00:01:00.900]  答案是怎樣呢
[00:01:00.900 --> 00:01:02.900]  第一條
[00:01:02.900 --> 00:01:06.900]  有80%的同學答C
[00:01:06.900 --> 00:01:07.900]  C是甚麼
[00:01:07.900 --> 00:01:08.900]  可能會
[00:01:08.900 --> 00:01:09.900]  第二條
[00:01:09.900 --> 00:01:11.900]  那些答案就參差一點
[00:01:11.900 --> 00:01:14.900]  30%的人答A 一定會
[00:01:14.900 --> 00:01:17.900]  30%答一定不會
[00:01:17.900 --> 00:01:21.900]  40%的人答可能會
[00:01:21.900 --> 00:01:22.900]  教授跟大家說
[00:01:22.900 --> 00:01:28.900]  可能大家在潛意識上覺得他和他的關係是戀人的關係
[00:01:28.900 --> 00:01:30.900]  但是我想跟大家說
[00:01:30.900 --> 00:01:33.900]  他就是他的爸爸
[00:01:33.900 --> 00:01:36.900]  他就是他的媽媽
[00:01:36.900 --> 00:01:38.900]  大家聽完之後
[00:01:38.900 --> 00:01:40.900]  答案會不會不同呢
[00:01:40.900 --> 00:01:44.900]  然後整個班房的氣氛都轉為嚴肅
[00:01:44.900 --> 00:01:48.900]  教授請同學再答多一次
[00:01:48.900 --> 00:01:54.900]  結果100%的同學都選擇A
[00:01:54.900 --> 00:01:57.900]  一定會繼續愛他
[00:01:57.900 --> 00:02:02.900]  這個世界有一種愛是細水流長
[00:02:02.900 --> 00:02:05.900]  不會因為環境而轉變的愛
[00:02:05.900 --> 00:02:07.900]  就是父母的愛
[00:02:07.900 --> 00:02:10.900]  但是父母畢竟都是普通的人
[00:02:10.900 --> 00:02:11.900]  有瑕疵
[00:02:11.900 --> 00:02:13.900]  有不完美的地方
[00:02:13.900 --> 00:02:16.900]  但是我們所信的神的愛
[00:02:16.900 --> 00:02:18.900]  卻比天更高
[00:02:18.900 --> 00:02:20.900]  比海更深
[00:02:20.900 --> 00:02:23.900]  聖經二福所書裡面形容神的愛
[00:02:23.900 --> 00:02:26.900]  是何等的長闊高深
[00:02:26.900 --> 00:02:30.900]  耶穌形容神的眷顧
[00:02:30.900 --> 00:02:32.900]  是無微不至
[00:02:32.900 --> 00:02:34.900]  以至我們每一條頭髮
[00:02:34.900 --> 00:02:36.900]  祂都數過
[00:02:36.900 --> 00:02:38.900]  之前我說過
