
[00:00:00.000 --> 00:00:02.720]  好 今天我們會看到《時事記》
[00:00:02.720 --> 00:00:05.000]  我們查到第六次了
[00:00:05.000 --> 00:00:08.620]  這次的題目是較為特別一點的
[00:00:08.620 --> 00:00:13.020]  就叫做「謙招選滿受益」
[00:00:13.020 --> 00:00:16.260]  中國人有一句話怎麼說呢?
[00:00:16.260 --> 00:00:19.280]  就是「滿招選謙受益」
[00:00:19.280 --> 00:00:23.840]  意思就是如果你自滿、自傲、太驕傲的時候
[00:00:23.840 --> 00:00:26.100]  你只會招致虧損
[00:00:26.100 --> 00:00:28.520]  其他人就不會滿意你
[00:00:28.520 --> 00:00:30.240]  甚至看輕你
[00:00:30.240 --> 00:00:32.720]  而一個謙虛的人
[00:00:32.720 --> 00:00:34.320]  他就會有益處了
[00:00:34.320 --> 00:00:38.100]  因為他樂於聽別人的指引
[00:00:38.100 --> 00:00:41.440]  他願意向別人學習
[00:00:41.440 --> 00:00:44.260]  更加不會逞強
[00:00:44.260 --> 00:00:46.260]  對他來說是一個祝福
[00:00:46.260 --> 00:00:52.600]  所以也可以套用在我們的生活和信仰上
[00:00:52.600 --> 00:00:55.000]  如果我們有看過
[00:00:55.000 --> 00:01:00.480]  若書當他面對耶利哥城很難打贏的時候
[00:01:00.480 --> 00:01:02.060]  他去倚靠神
[00:01:02.060 --> 00:01:07.480]  結果可以打到耶利哥城全部倒塌了
[00:01:07.480 --> 00:01:10.140]  但後來他自以為自己很厲害
[00:01:10.140 --> 00:01:11.720]  去打艾城
[00:01:11.720 --> 00:01:13.140]  他說那個人很少
[00:01:13.140 --> 00:01:14.960]  派二、三千人上去就行了
[00:01:14.960 --> 00:01:17.860]  結果就在艾城那裡失敗了
[00:01:17.860 --> 00:01:20.080]  而我自己也有這個經歷
[00:01:20.080 --> 00:01:25.300]  在我這麼多年超過五十年的侍奉
[00:01:25.300 --> 00:01:29.840]  有幾次我自己也面對一些失敗或者打擊
[00:01:29.840 --> 00:01:32.940]  都是當我以為自己很厲害
[00:01:32.940 --> 00:01:34.620]  飄飄然的時候
[00:01:34.620 --> 00:01:36.140]  這樣就出問題了
[00:01:36.140 --> 00:01:38.140]  所以真的學到
[00:01:38.140 --> 00:01:40.880]  原來我們需要謙卑倚靠神
[00:01:40.880 --> 00:01:42.880]  神是敵黨驕傲的人
[00:01:42.880 --> 00:01:45.240]  但是次因比謙卑的人
[00:01:45.240 --> 00:01:48.680]  但今天我的題目剛剛相反
[00:01:48.680 --> 00:01:51.240]  就是謙招選
[00:01:51.240 --> 00:01:53.480]  但滿就受益
[00:01:53.480 --> 00:01:54.780]  當然
[00:01:54.780 --> 00:01:58.260]  我這個滿和謙是有不同的解讀的
[00:01:58.260 --> 00:02:00.260]  透過《時詩記》
[00:02:00.260 --> 00:02:02.960]  我們就可以看真理了
[00:02:02.960 --> 00:02:05.220]  我們這次先看《時詩記》
[00:02:05.220 --> 00:02:07.220]  第四章第一到第九節
[00:02:07.220 --> 00:02:08.260]  如果你記得
[00:02:08.260 --> 00:02:10.260]  之前有三詩會
[00:02:10.260 --> 00:02:11.580]  有三個時詩
[00:02:11.580 --> 00:02:14.540]  但是這三個時詩都算是好的
[00:02:14.540 --> 00:02:16.140]  特別是《訛陀列》
[00:02:16.140 --> 00:02:17.740]  但是講的很少
[00:02:17.740 --> 00:02:21.320]  但是我們最熟悉的就是《底波拉》
[00:02:21.320 --> 00:02:24.480]  我們一起來看第四章第一到第九節
[00:02:24.480 --> 00:02:27.180]  好 先請Yvonne替我們讀出來
[00:02:47.740 --> 00:02:49.740]  以色列人就呼求耶和華
[00:02:49.740 --> 00:02:52.480]  有一位女星之名叫底波拉
[00:02:52.480 --> 00:02:54.000]  是拉比多的妻
[00:02:54.000 --> 00:02:56.000]  當時在以色列的史詩
[00:02:56.000 --> 00:02:59.800]  她住在以法連山地拉瑪和伯特利中間
[00:02:59.800 --> 00:03:01.800]  在底波拉的中樹下
[00:03:01.800 --> 00:03:05.540]  以色列人都上她那裡去聽判斷
[00:03:05.540 --> 00:03:09.400]  她打發人從拿佛塔利的基底詩
[00:03:09.400 --> 00:03:14.400]  將亞比·羅恩的兒子巴拉·趙鳥蘭對她說
[00:03:14.400 --> 00:03:17.060]  耶和華以色列的神吩咐她說
[00:03:17.060 --> 00:03:22.140]  「你率領一萬拿佛塔利和西布倫人上塔珀山去
[00:03:22.140 --> 00:03:28.200]  我必使耶賓的將軍西西拉率領他的車輛和全軍往基遜河
[00:03:28.200 --> 00:03:29.480]  到你那裡去
[00:03:29.480 --> 00:03:31.740]  我必將他交在你手中」
[00:03:31.740 --> 00:03:35.320]  巴拉說:「你若同我去我就去
[00:03:35.320 --> 00:03:37.520]  你若不同我去我就不去」
[00:03:37.520 --> 00:03:39.940]  底波拉說:「我必與你同去
