
[00:00:00.000 --> 00:00:04.480]  我相信弟兄姊妹信主多年了
[00:00:04.480 --> 00:00:09.280]  一般都盼望著好好地去服侍主
[00:00:09.280 --> 00:00:13.680]  在服侍主的過程當中
[00:00:13.680 --> 00:00:19.720]  不會排除很多時候我們也會遇到一些困難
[00:00:19.720 --> 00:00:23.840]  我們今天在侍奉主的過程裡
[00:00:23.840 --> 00:00:28.880]  除了努力付代價去服侍主
[00:00:28.880 --> 00:00:31.120]  我們也要知道
[00:00:31.120 --> 00:00:34.280]  我們的服侍是不是只有主呢?
[00:00:34.280 --> 00:00:37.560]  是討主喜悅的呢?
[00:00:37.560 --> 00:00:43.800]  有人說服侍是基督徒的特徵
[00:00:43.800 --> 00:00:49.840]  基督徒是透過服侍將愛心流動
[00:00:49.840 --> 00:00:53.960]  所以基督徒不要疏忽服侍
[00:00:53.960 --> 00:00:56.320]  但是在教會裡
[00:00:56.320 --> 00:00:59.600]  我們經常聽到別人說
[00:00:59.600 --> 00:01:03.640]  教會裡那麼多人不用我了
[00:01:03.640 --> 00:01:08.400]  我相信關鍵不是人多還是人少
[00:01:08.400 --> 00:01:14.040]  關鍵是你的生命是不是被活出來
[00:01:14.040 --> 00:01:15.600]  為什麼呢?
[00:01:15.600 --> 00:01:21.000]  有人說侍奉的生命好像一條河流
[00:01:21.000 --> 00:01:24.360]  如果有人注水進去
[00:01:24.360 --> 00:01:27.200]  沒有水流出來
[00:01:27.200 --> 00:01:30.240]  那這條是什麼樣的河呢?
[00:01:30.240 --> 00:01:34.080]  是一條死的河
[00:01:34.080 --> 00:01:35.840]  有水進
[00:01:35.840 --> 00:01:37.560]  沒有水出
[00:01:37.560 --> 00:01:40.080]  這就是死河
[00:01:40.080 --> 00:01:44.080]  有水進又有水出
[00:01:44.080 --> 00:01:47.000]  才是活水
[00:01:47.000 --> 00:01:49.520]  是流動的水
[00:01:49.520 --> 00:01:52.520]  當你不斷在教會裡接受別人的服侍
[00:01:52.520 --> 00:01:56.200]  當你不斷在教會裡接受別人的服侍
[00:01:56.200 --> 00:01:57.320]  而沒有機會去服侍
[00:01:57.320 --> 00:02:00.400]  你的生命也會萎縮
[00:02:00.400 --> 00:02:03.480]  好像停頓的生命
[00:02:03.480 --> 00:02:07.360]  所以你不要理會有多少人侍奉
[00:02:07.360 --> 00:02:09.360]  而是你要祈禱
[00:02:09.360 --> 00:02:13.560]  求神讓你有侍奉的機會
[00:02:13.560 --> 00:02:19.120]  以致你的生命能夠成為流通的管子
[00:02:19.120 --> 00:02:22.520]  祝福身邊的人
[00:02:22.520 --> 00:02:26.040]  當然有些人服侍主
[00:02:26.040 --> 00:02:28.160]  有不同的原因
[00:02:28.160 --> 00:02:35.840]  有些人服侍神是為了發揮自己的恩賜
[00:02:35.840 --> 00:02:39.680]  但是如果這樣的目的
[00:02:39.680 --> 00:02:41.840]  那就非常危險
[00:02:41.840 --> 00:02:47.240]  因為很容易陷入自我中心裡
[00:02:47.240 --> 00:02:49.520]  真正的侍奉
[00:02:49.520 --> 00:02:51.520]  最後只有一個原因
[00:02:51.520 --> 00:02:54.840]  就是為了愛主
[00:02:54.840 --> 00:02:59.160]  所以你每一次服侍主的時候
[00:02:59.160 --> 00:03:01.280]  你要問自己
[00:03:01.280 --> 00:03:03.520]  你是不是愛主
[00:03:03.520 --> 00:03:07.720]  你的動機是不是為了服侍主
[00:03:07.720 --> 00:03:09.880]  如果你是這樣的話
[00:03:09.880 --> 00:03:14.160]  你一定會蒙主悅納
[00:03:14.160 --> 00:03:20.120]  路加福音七章三十六到五十節
[00:03:20.120 --> 00:03:25.600]  看看怎樣可以帶出愛的福事
[00:03:25.600 --> 00:03:34.520]  經文裡面敘述有一個有錢的法利塞人西門
[00:03:34.520 --> 00:03:38.720]  他接待耶穌到他家裡吃飯
[00:03:38.720 --> 00:03:47.800]  現代人就知道帶你回家吃飯對你很好的了
[00:03:47.800 --> 00:03:50.680]  他真是沒話可說了
[00:03:50.680 --> 00:03:55.920]  可能他吃飯的地方比較公開
[00:03:55.920 --> 00:03:57.960]  正在吃飯的時候
[00:03:57.960 --> 00:04:01.560]  走進了一個有罪的人
[00:04:01.560 --> 00:04:04.280]  他是一個妓女
[00:04:04.280 --> 00:04:07.680]  引起了西門的不滿
[00:04:07.680 --> 00:04:11.520]  但耶穌就作出回應
[00:04:11.520 --> 00:04:18.280]  路加福音七章三十九節提到法利塞人
[00:04:18.280 --> 00:04:22.080]  看見了心裡就想
