
[00:00:00.000 --> 00:00:02.720]  今日我們面對的世界
[00:00:02.720 --> 00:00:04.720]  病疫是橫行
[00:00:04.720 --> 00:00:09.420]  病疫橫行就像病疫在震動烈國
[00:00:09.420 --> 00:00:12.500]  讓那些真的以為自己很強大
[00:00:12.500 --> 00:00:16.540]  是很有霸權、很有軍事、經濟
[00:00:16.540 --> 00:00:19.420]  或者政治的力量操縱世界的
[00:00:19.420 --> 00:00:24.200]  原來都是面對病疫是完全沒有辦法的
[00:00:24.200 --> 00:00:26.220]  一粒細細的
[00:00:26.220 --> 00:00:29.020]  一眼都看不到這麼小的病毒
[00:00:29.200 --> 00:00:32.000]  人類的驕傲都要變為謙卑
[00:00:32.000 --> 00:00:36.500]  而今日我們世界的困難不單止是因為病的問題
[00:00:36.500 --> 00:00:39.600]  而是世界正在撕裂當中
[00:00:39.600 --> 00:00:44.500]  很多人都是因著不同的觀點而彼此攻擊
[00:00:44.500 --> 00:00:47.800]  世上那些強國在博弈
[00:00:47.800 --> 00:00:50.700]  互相去妖魔化對方
[00:00:50.700 --> 00:00:54.700]  而現世的人隨著不同的看法
[00:00:54.700 --> 00:00:57.300]  都會被他人所妖魔化
[00:00:57.800 --> 00:01:00.200]  所以做人在這個時代是會有喜樂的
[00:01:00.200 --> 00:01:04.500]  我們怎會找到真正內在的喜樂呢?
[00:01:04.500 --> 00:01:08.000]  但詩人曾經這樣說過
[00:01:08.000 --> 00:01:12.800]  「住在至高者隱密處,必住在全能者的任下。」
[00:01:12.800 --> 00:01:20.000]  住在至高者隱密的地方是在全能的保護之下
[00:01:20.000 --> 00:01:23.400]  上帝叫我們在亂局中要安息平靜
[00:01:23.400 --> 00:01:27.600]  在靈性的隱密處可以找到祂跟祂聊天
[00:01:28.300 --> 00:01:33.700]  人能否找到宇宙至高之處的至善至美的境界呢?
[00:01:33.700 --> 00:01:36.900]  至高者的原文是El Elyon
[00:01:36.900 --> 00:01:43.000]  El Elyon這個字根就是超越向上提升自己
[00:01:43.000 --> 00:01:45.500]  而El就是真神
