
[00:00:00.000 --> 00:00:02.200]  好,大師父,讓我們在靈性主導之先
[00:00:02.200 --> 00:00:06.000]  我們一起再次以禱告打開我們這段靈性主導的時間
[00:00:06.000 --> 00:00:16.240]  師父,我多謝你給了我們可以回到你的教會當中
[00:00:16.240 --> 00:00:19.000]  屬神的子民群體裡面,一起仰望你
[00:00:19.000 --> 00:00:23.720]  並且讓我們可以一同在主力的說話上面去學習
[00:00:24.280 --> 00:00:33.680]  很想我們的生命能夠不斷地去開始累積認識主理的生命是怎樣的一個樣式
[00:00:33.680 --> 00:00:40.960]  讓我們在今天就可以活在地上,檢驗出屬於神子民應有的見證
[00:00:40.960 --> 00:00:44.600]  我們再次為這段靈性主導的時間交上
[00:00:44.600 --> 00:00:49.000]  無論是實體重化的、網上重化的
[00:00:49.000 --> 00:00:55.720]  或是為了每一個大興建的、渴望主理道理的、屬主理的子民
[00:00:55.720 --> 00:00:57.280]  都同心同腹
[00:00:57.280 --> 00:01:00.640]  普普供靠,主耶穌基督,德聖革命致以靠
[00:01:00.640 --> 00:01:01.640]  阿們
[00:01:01.640 --> 00:01:10.240]  不知道大家對於健康這件事是否很關注
[00:01:10.240 --> 00:01:13.000]  其實我也很關注
[00:01:13.000 --> 00:01:21.920]  很多時候聽到一些關於健康有關的資訊
[00:01:21.920 --> 00:01:29.520]  其中一件事就是談論到人的體重如何好好管理
[00:01:29.520 --> 00:01:37.320]  我想大家都會對於自己的體重有很大的關注
[00:01:37.320 --> 00:01:43.760]  因為體重反映出或導致不同健康的問題
[00:01:43.760 --> 00:01:50.320]  其中一件事就是關於物理治療上
[00:01:50.320 --> 00:01:53.400]  關乎一個人身體的機能
[00:01:53.400 --> 00:01:57.400]  如何延展、運作,我很有興趣
[00:01:57.400 --> 00:02:07.960]  有一次我和一位師兄,讓我聯想一屆的一位無毒友
[00:02:07.960 --> 00:02:11.240]  在物理治療上遇到他
[00:02:11.240 --> 00:02:16.440]  他一見到我便說「這麼巧,我是師兄」
[00:02:16.440 --> 00:02:23.720]  「剛好你又來到我們當中,我有機會給你一些治療」
[00:02:23.720 --> 00:02:27.440]  我便說「也對,不知為何我的醫生會找你」
[00:02:27.440 --> 00:02:29.680]  於是便介紹我來這裏
[00:02:29.680 --> 00:02:31.680]  他說「你好像過重了」
[00:02:31.680 --> 00:02:34.280]  我說「是的,過重了一點」
[00:02:34.280 --> 00:02:39.840]  但我說「很奇怪,做極運動也好像無法減肥」
[00:02:39.840 --> 00:02:43.600]  我說「以前我每天游泳」
[00:02:43.600 --> 00:02:51.320]  他便給了我一堂很快的人體結構學介紹
[00:02:51.320 --> 00:02:56.240]  他說「你知道一個人的身體有多少塊肌肉嗎?」
[00:02:56.240 --> 00:03:01.520]  我說「我不是讀生物科,更加沒有讀醫學」
[00:03:01.520 --> 00:03:03.120]  「不太認識」
[00:03:03.120 --> 00:03:12.720]  他說「人體的身上大約有600至700塊肌肉」
[00:03:12.720 --> 00:03:16.320]  「肌肉基本上分開三大類」
[00:03:16.320 --> 00:03:23.640]  我說「這個我知道,基本上三大類都要經過操練」
[00:03:23.640 --> 00:03:27.000]  「才能保持狀態」
[00:03:27.000 --> 00:03:28.920]  我說「是的,這個我也知道」
[00:03:28.920 --> 00:03:31.520]  「中學時老師也有說過」
[00:03:31.520 --> 00:03:39.080]  「有些肌肉是自動動的,叫做不隨意肌」
[00:03:39.080 --> 00:03:41.360]  「你知道甚麼是不隨意肌嗎?」
[00:03:41.360 --> 00:03:42.880]  「不隨意肌包括甚麼呢?」
[00:03:42.880 --> 00:03:46.800]  「心臟裡面的肌肉,心臟肌肉就是不隨意肌」
[00:03:46.800 --> 00:03:51.760]  「不是你用意念使肌肉不動」
[00:03:51.760 --> 00:03:57.760]  「不可以的,心臟有多強的意念都沒辦法使它不動」
[00:03:57.760 --> 00:03:59.920]  「但有些叫做隨意肌」
[00:03:59.920 --> 00:04:03.680]  「隨意肌分開很多類別」
[00:04:03.680 --> 00:04:08.120]  「隨意肌是要透過操練」
[00:04:08.120 --> 00:04:11.360]  「不隨意肌和隨意肌都是一樣的」
[00:04:11.360 --> 00:04:12.800]  「它要不斷動」
[00:04:12.800 --> 00:04:16.000]  「才能保持狀態」
[00:04:16.000 --> 00:04:17.680]  我覺得很奇怪
[00:04:17.680 --> 00:04:20.800]  我說「師兄,既然你在這方面有研究」
[00:04:20.800 --> 00:04:22.840]  「不如說多一點給我聽」
[00:04:22.840 --> 00:04:27.840]  「為甚麼肌肉要動才能保持狀態呢?」
[00:04:27.840 --> 00:04:29.440]  他說「原來是這樣的」
[00:04:29.440 --> 00:04:32.040]  「肌肉會流失的」
[00:04:32.040 --> 00:04:35.280]  「當你不動肌肉的時候」
[00:04:35.280 --> 00:04:39.000]  「肌肉會漸漸萎縮、消失」
[00:04:39.000 --> 00:04:41.920]  「這叫肌肉流失」
[00:04:41.920 --> 00:04:45.440]  「如果你要保持狀態」
[00:04:45.440 --> 00:04:47.200]  「你就要動它的時候」
[00:04:47.200 --> 00:04:49.400]  「原來每次動肌肉」
[00:04:49.400 --> 00:04:52.640]  「就會在肌肉之間產生一種」
[00:04:52.640 --> 00:04:54.400]  「些微的撕裂」
[00:04:54.400 --> 00:04:57.160]  「些微而已,不是受傷那種」
[00:04:57.160 --> 00:04:59.080]  「些微的撕裂」
[00:04:59.080 --> 00:05:02.600]  「當這種些微的撕裂」
[00:05:02.600 --> 00:05:05.720]  「爆開了肌肉之後」
[00:05:05.720 --> 00:05:09.480]  「原來肌肉會分泌一些物體」
[00:05:09.480 --> 00:05:11.480]  「然後很快修復」
[00:05:11.480 --> 00:05:14.400]  「所以,譬如你要做運動也好」
[00:05:14.400 --> 00:05:16.680]  「你不是說我要為了減肥」
[00:05:16.680 --> 00:05:19.240]  「因為我三個星期後要結婚」
[00:05:19.240 --> 00:05:21.160]  「要保持最健美的狀態」
[00:05:21.160 --> 00:05:23.560]  「沒有肚腩」
[00:05:23.560 --> 00:05:26.880]  惟中人說有肚腩了
[00:05:26.880 --> 00:05:29.280]  不過你結了婚不用擔心那麼多
[00:05:29.280 --> 00:05:32.160]  「但是,如果我三個星期後要結婚」
[00:05:32.160 --> 00:05:34.520]  「我現在要減肥」
