
[00:00:00.000 --> 00:00:02.000]  耶穌在生的時候
[00:00:02.000 --> 00:00:06.000]  祂傳福音
[00:00:06.000 --> 00:00:08.000]  祂的工作
[00:00:08.000 --> 00:00:10.000]  常常受到一羣人
[00:00:10.000 --> 00:00:12.000]  攻擊
[00:00:12.000 --> 00:00:14.000]  批評
[00:00:14.000 --> 00:00:16.000]  在祂的
[00:00:16.000 --> 00:00:18.000]  講道里面
[00:00:18.000 --> 00:00:22.000]  有一種的比喻
[00:00:22.000 --> 00:00:24.000]  特別是針對
[00:00:24.000 --> 00:00:26.000]  這個情況
[00:00:26.000 --> 00:00:28.000]  來用來說的
[00:00:30.000 --> 00:00:32.000]  這種爲着向批評者
[00:00:32.000 --> 00:00:34.000]  來解釋的
[00:00:34.000 --> 00:00:36.000]  這種的比喻
[00:00:36.000 --> 00:00:38.000]  是有三類
[00:00:38.000 --> 00:00:40.000]  第一類呢
[00:00:40.000 --> 00:00:42.000]  就是解釋爲什麼福音
[00:00:42.000 --> 00:00:44.000]  要傳給那些
[00:00:44.000 --> 00:00:46.000]  社會
[00:00:46.000 --> 00:00:48.000]  鄙視的人
[00:00:48.000 --> 00:00:50.000]  好像罪人
[00:00:50.000 --> 00:00:52.000]  妓女和稅吏
[00:00:52.000 --> 00:00:56.000]  這一類的比喻
[00:00:56.000 --> 00:00:58.000]  其中一個呢
[00:00:58.000 --> 00:01:00.000]  就好像說
[00:01:00.000 --> 00:01:02.000]  只有病人需要福音
[00:01:02.000 --> 00:01:04.000]  需要醫生
[00:01:04.000 --> 00:01:06.000]  好人是不需要的
[00:01:06.000 --> 00:01:08.000]  第二類呢
[00:01:08.000 --> 00:01:10.000]  就是指出
[00:01:10.000 --> 00:01:12.000]  連那些批評者
[00:01:12.000 --> 00:01:14.000]  他們都需要福音
[00:01:14.000 --> 00:01:16.000]  這一類的比喻呢
[00:01:16.000 --> 00:01:18.000]  就好像說那羣
[00:01:18.000 --> 00:01:20.000]  拒絕去赴婚宴的
[00:01:20.000 --> 00:01:22.000]  這一種的比喻
[00:01:22.000 --> 00:01:24.000]  就屬於這一類的
[00:01:24.000 --> 00:01:26.000]  第三類呢
[00:01:26.000 --> 00:01:28.000]  很特別的
[00:01:28.000 --> 00:01:30.000]  是按着
[00:01:30.000 --> 00:01:32.000]  神的恩慈和
[00:01:32.000 --> 00:01:34.000]  大愛這個本性
[00:01:34.000 --> 00:01:36.000]  你是向人解釋
[00:01:36.000 --> 00:01:38.000]  福音
[00:01:38.000 --> 00:01:40.000]  是爲所有人
[00:01:40.000 --> 00:01:42.000]  不只是那些
[00:01:42.000 --> 00:01:44.000]  被社會
[00:01:44.000 --> 00:01:46.000]  藐視的人
[00:01:46.000 --> 00:01:48.000]  屬於這一類的比喻
[00:01:48.000 --> 00:01:50.000]  最出名的
[00:01:50.000 --> 00:01:52.000]  就是浪子比喻
[00:01:52.000 --> 00:01:54.000]  但是
[00:01:54.000 --> 00:01:56.000]  浪子比喻
[00:01:56.000 --> 00:01:58.000]  那個浪子
[00:01:58.000 --> 00:02:00.000]  不只是
[00:02:00.000 --> 00:02:02.000]  家裏面
[00:02:02.000 --> 00:02:04.000]  的小兒子
[00:02:04.000 --> 00:02:06.000]  後來離開了家
[00:02:06.000 --> 00:02:08.000]  事實上這個浪子比喻
[00:02:08.000 --> 00:02:10.000]  也都是
[00:02:10.000 --> 00:02:12.000]  說到那個
[00:02:12.000 --> 00:02:14.000]  哥哥
[00:02:14.000 --> 00:02:16.000]  在空間上
[00:02:16.000 --> 00:02:18.000]  他一直
[00:02:18.000 --> 00:02:20.000]  和爸爸是很相近
[00:02:20.000 --> 00:02:22.000]  但是
[00:02:22.000 --> 00:02:24.000]  在心靈上
[00:02:24.000 --> 00:02:26.000]  他和爸爸隔得更加的遠
[00:02:26.000 --> 00:02:28.000]  一種更加
[00:02:28.000 --> 00:02:30.000]  危險的浪子
[00:02:30.000 --> 00:02:32.000]  一個很可能
[00:02:32.000 --> 00:02:34.000]  覺得不需要
[00:02:34.000 --> 00:02:36.000]  歸家的浪子
[00:02:36.000 --> 00:02:38.000]  所以我們今天要看的
