
[00:00:00.000 --> 00:00:07.000]  在前文的《馬可.福音》十章32至34節
[00:00:07.000 --> 00:00:10.960]  經文裏面是主他第三次
[00:00:10.960 --> 00:00:15.280]  去預言他自己要受難
[00:00:15.280 --> 00:00:18.600]  面對死亡和復活的事
[00:00:18.600 --> 00:00:20.600]  在30節
[00:00:20.600 --> 00:00:29.000]  是跟門徒去面對逼迫一些事蹟
[00:00:30.000 --> 00:00:35.000]  當門徒想到在耶路撒冷將會有逼迫
[00:00:35.000 --> 00:00:37.000]  去等待他們的時候
[00:00:37.000 --> 00:00:40.000]  都會很驚訝
[00:00:40.000 --> 00:00:45.000]  雖然耶穌清楚地向門徒講明
[00:00:45.000 --> 00:00:49.000]  將會發生在他身上的事情
[00:00:49.000 --> 00:00:56.000]  可惜門徒沒有聽清楚主的話是什麼意思
[00:00:56.000 --> 00:01:00.000]  耶穌說他是彌賽亞
[00:01:00.000 --> 00:01:02.000]  他就是基督
[00:01:02.000 --> 00:01:05.000]  是一位受高的君王
[00:01:05.000 --> 00:01:12.000]  門徒以為耶穌是一位好戰的王
[00:01:12.000 --> 00:01:18.000]  當主講到他要死和復活的事情的時候
[00:01:18.000 --> 00:01:21.000]  門徒以為是他們聽不明白
[00:01:21.000 --> 00:01:26.000]  因為主經常用比喻來教導
[00:01:26.000 --> 00:01:31.000]  主表明這些事是神已經早有計劃
[00:01:31.000 --> 00:01:34.000]  不是偶然發生的事情
[00:01:34.000 --> 00:01:37.000]  這裡提到西比太的兒子
[00:01:37.000 --> 00:01:42.000]  雅各約翰向耶穌提出了請求
[00:01:42.000 --> 00:01:48.000]  在他的國內為他們預備有尊貴的位份
[00:01:48.000 --> 00:01:52.000]  門徒和當日很多猶太人一樣
[00:01:52.000 --> 00:01:57.000]  對舊約先知預言的有關神的角度
[00:01:57.000 --> 00:02:00.000]  抱著一個錯誤的觀念
[00:02:00.000 --> 00:02:05.000]  他們以為耶穌在地上建立一個王國
[00:02:05.000 --> 00:02:13.000]  將以色列和羅馬的政權壓迫之下解放出來
[00:02:13.000 --> 00:02:17.000]  雅各和約翰要求一個
[00:02:17.000 --> 00:02:20.000]  坐在主的右邊
[00:02:20.000 --> 00:02:24.000]  除了主之外,他在最高位
[00:02:24.000 --> 00:02:28.000]  和在主的左邊,次高位
[00:02:28.000 --> 00:02:35.000]  在《馬太福音》20章的20至21節提到
[00:02:35.000 --> 00:02:40.000]  雅各和約翰的母親請求耶穌讓他們兩個兒子
[00:02:40.000 --> 00:02:45.000]  在神的角度得著這些特別的地位
[00:02:45.000 --> 00:02:51.000]  他想孩子得著提升,得著尊榮
[00:02:51.000 --> 00:02:57.000]  但這些慾望可能使孩子著迷
[00:02:57.000 --> 00:03:00.000]  迷行在正路當中
[00:03:00.000 --> 00:03:03.000]  父母對孩子的期望
[00:03:03.000 --> 00:03:10.000]  需要符合神在孩子身上的一些獨特計劃
[00:03:10.000 --> 00:03:13.000]  有人認為雅各和約翰的母親
[00:03:13.000 --> 00:03:16.000]  是耶穌母親瑪利亞的姐妹
[00:03:16.000 --> 00:03:20.000]  因為這些親戚的關係
