
[00:00:00.000 --> 00:00:07.000]  今天跟大家分享一個題目叫《山河水族傳說:洪淫沙明祿》
[00:00:07.000 --> 00:00:11.000]  以上是《宣誓十一章》第23節
[00:00:11.000 --> 00:00:16.000]  同樣是網友們去看看這段經文
[00:00:16.000 --> 00:00:19.000]  我會從三頁開始帶大家看看
[00:00:19.000 --> 00:00:20.000]  《陳方飛》
[00:00:20.000 --> 00:00:22.000]  《望遇你》
[00:00:22.000 --> 00:00:23.000]  《美女》
[00:00:23.000 --> 00:00:24.000]  《劉興華》
[00:00:24.000 --> 00:00:25.000]  《武漢山路》
[00:00:25.000 --> 00:00:26.000]  《武樓下》
[00:00:26.000 --> 00:00:28.000]  《啟奴位》
[00:00:28.000 --> 00:00:29.000]  《武漢河》
[00:00:29.000 --> 00:00:33.000]  《山河水》是甚麼意思呢?
[00:00:33.000 --> 00:00:38.000]  山河水通常是一個無路可逃的絕境
[00:00:38.000 --> 00:00:42.000]  在上個星期天的五十三點鐘
[00:00:42.000 --> 00:00:50.000]  在白飛的利比亞國家的東部城市
[00:00:50.000 --> 00:00:51.000]  叫姜蘭
[00:00:51.000 --> 00:00:59.000]  姜蘭是德爾蘭,令蒙那一晚在凌晨的時間
[00:00:59.000 --> 00:01:07.000]  就像有炸彈一樣炸下來
[00:01:07.000 --> 00:01:15.000]  令兩座水壩崩塌
[00:01:15.000 --> 00:01:25.000]  當時有個豐富的巨鳥叫做丹尼爾
[00:01:25.000 --> 00:01:27.000]  或者叫丹尼爾
[00:01:27.000 --> 00:01:30.000]  在巨鳥摧殘的時候
[00:01:30.000 --> 00:01:35.000]  在洪災的水壩崩塌
[00:01:35.000 --> 00:01:40.000]  現在差不多過萬人已經死了
[00:01:40.000 --> 00:01:45.000]  現在上月也受到孤立
[00:01:45.000 --> 00:01:48.000]  即是說,當地的庄民或人民
[00:01:48.000 --> 00:01:50.000]  上月也有那麼多
[00:01:50.000 --> 00:01:51.000]  所以現在在吃飯的時候
[00:01:51.000 --> 00:01:54.000]  我的想法是真實的
[00:01:54.000 --> 00:02:00.000]  我覺得在一個這樣的情況之下
[00:02:00.000 --> 00:02:03.000]  其實真是幾部分
[00:02:03.000 --> 00:02:06.000]  可謂是山河的羊群
[00:02:06.000 --> 00:02:14.000]  比比亞是一個經年戰爭
[00:02:14.000 --> 00:02:17.000]  長期局勢都不穩定的國家
[00:02:17.000 --> 00:02:20.000]  一場戰亂
[00:02:20.000 --> 00:02:22.000]  過了幾年的劣勢
[00:02:22.000 --> 00:02:26.000]  幾年的寄福
[00:02:26.000 --> 00:02:29.000]  所以我繼續與所聞
[00:02:29.000 --> 00:02:39.000]  福漏天伏人,連夜雨,全破又雨,人同頭逃
[00:02:39.000 --> 00:02:42.000]  這個如期來的
[00:02:42.000 --> 00:02:45.000]  像海嘯那樣的洪水
[00:02:45.000 --> 00:02:49.000]  將整個城市剷平了
[00:02:49.000 --> 00:02:52.000]  大部分的城市都崩塌了
[00:02:52.000 --> 00:02:55.000]  所以現在有些市民說
[00:02:55.000 --> 00:02:58.000]  我們搬到城市就真實了
[00:02:58.000 --> 00:03:00.000]  我可以吞噬我的同志
[00:03:00.000 --> 00:03:02.000]  我們合約全部都死了
[00:03:02.000 --> 00:03:04.000]  甚至有些行權者
[00:03:04.000 --> 00:03:07.000]  去到巴加西,即是附近的城市
[00:03:07.000 --> 00:03:10.000]  他說,沒錯,我好像是安全局
[00:03:10.000 --> 00:03:15.000]  但一切都未完改變
