
[00:00:00.000 --> 00:00:02.000]  挺智媒朋友平安
[00:00:02.000 --> 00:00:06.000]  感謝神今天可以在尖沙咀浸信會
[00:00:06.000 --> 00:00:08.000]  和大家分享神的話
[00:00:08.000 --> 00:00:11.000]  很感謝羅牧師的邀請
[00:00:11.000 --> 00:00:14.000]  亦都感恩因為尖沙咀浸信會
[00:00:14.000 --> 00:00:19.000]  不住的為我們的侍功禱告和支持
[00:00:19.000 --> 00:00:22.000]  我們知道如果不是靠著我們的禱告
[00:00:22.000 --> 00:00:26.000]  我們沒有辦法做出永恆的影響
[00:00:26.000 --> 00:00:31.000]  真心音樂侍功是1997年
[00:00:31.000 --> 00:00:35.000]  在美國侯斯頓這個地方成立的
[00:00:35.000 --> 00:00:38.000]  我們沒有違背天上而來的異象
[00:00:38.000 --> 00:00:42.000]  我們忠心用音樂和我們的生命
[00:00:42.000 --> 00:00:46.000]  來將人帶到神的同在裡面
[00:00:46.000 --> 00:00:49.000]  幫助教會來敬拜神
[00:00:49.000 --> 00:00:53.000]  因為我們知道敬拜是一件永恆的侍奉
[00:00:53.000 --> 00:00:55.000]  有一天耶穌要將我們每一個人
[00:00:55.000 --> 00:00:57.000]  帶到天上去
[00:00:57.000 --> 00:00:58.000]  那裡不再有眼淚
[00:00:58.000 --> 00:01:00.000]  不再有傷痛
[00:01:00.000 --> 00:01:01.000]  不再有疾病
[00:01:01.000 --> 00:01:03.000]  也不再有黑暗
[00:01:03.000 --> 00:01:06.000]  只有耶穌永遠的同在
[00:01:06.000 --> 00:01:09.000]  所以我們用生命來去服侍祂
[00:01:09.000 --> 00:01:12.000]  因為我們知道我們要永永遠遠的
[00:01:12.000 --> 00:01:14.000]  來去敬拜祂
[00:01:14.000 --> 00:01:16.000]  但是在我們服侍的當中
[00:01:16.000 --> 00:01:21.000]  我發現教導人敬拜是不可能的事
[00:01:21.000 --> 00:01:23.000]  曾經有個牧師說
[00:01:23.000 --> 00:01:28.000]  教導人敬拜就好像教導人談戀愛一樣
[00:01:28.000 --> 00:01:30.000]  是不可能的
[00:01:30.000 --> 00:01:33.000]  只是粵語殘片才有那些橋段
[00:01:33.000 --> 00:01:36.000]  你教他怎樣去追女生
[00:01:36.000 --> 00:01:38.000]  或者追男生
[00:01:38.000 --> 00:01:40.000]  這一代不知道怎樣了
[00:01:40.000 --> 00:01:42.000]  所以是不可能的
[00:01:42.000 --> 00:01:45.000]  但是既然敬拜是神的心意
[00:01:45.000 --> 00:01:48.000]  我們知道神在祂的話語裡面
[00:01:48.000 --> 00:01:51.000]  會教導我們怎樣去回應祂
[00:01:51.000 --> 00:01:53.000]  怎樣去敬拜祂
