
[00:00:00.000 --> 00:00:05.000]  感謝主的恩典 讓我來分享神的說話
[00:00:05.000 --> 00:00:11.000]  亦是我在尖沙咀浸信會的最後一次講道
[00:00:11.000 --> 00:00:17.000]  感謝主的恩典 多謝執事會 多謝教睦同工
[00:00:17.000 --> 00:00:22.000]  我們有機會在尖沙咀浸信會受按 成為牧師
[00:00:22.000 --> 00:00:27.000]  多謝主任牧師羅太 牧師的提攜和指導
[00:00:27.000 --> 00:00:33.000]  多謝辦事處的幹事 工友 一同協助
[00:00:33.000 --> 00:00:37.000]  讓我來到這裡 學習 成長
[00:00:37.000 --> 00:00:41.000]  更加得蒙頂姐妹的照顧
[00:00:41.000 --> 00:00:45.000]  在主裡面 雖然在不同的地方
[00:00:45.000 --> 00:00:51.000]  但我們仍然是主代一家 我們江湖再見
[00:00:51.000 --> 00:00:57.000]  在正道之前 我們同心祈禱
[00:01:21.000 --> 00:01:23.000]  帶領我們進入真理
[00:01:23.000 --> 00:01:26.000]  恭應將以下環節交託仰望
[00:01:26.000 --> 00:01:28.000]  求主保守 引領祈禱
[00:01:28.000 --> 00:01:32.000]  賴奉耶穌基督 聖命祈求 阿們
[00:01:52.000 --> 00:01:56.000]  被監禁或囚禁這段時間
[00:01:56.000 --> 00:02:03.000]  來向這四間教會或個人 所寫的書信
[00:02:03.000 --> 00:02:07.000]  當時保羅身處在凌雨
[00:02:07.000 --> 00:02:12.000]  在監獄裡 不能失去自由
[00:02:12.000 --> 00:02:17.000]  但聽聞教會發生問題 內部不和
[00:02:17.000 --> 00:02:23.000]  在信仰裡面 面對挑戰 受不下異端的攻擊 誘惑
[00:02:23.000 --> 00:02:26.000]  他未能親身來到當中
[00:02:26.000 --> 00:02:30.000]  於是他來收書 用書銜
[00:02:30.000 --> 00:02:35.000]  來按當時有專職的遊帝人員
[00:02:35.000 --> 00:02:43.000]  去送上用蒲草紙所寫成的書銜
[00:02:43.000 --> 00:02:48.000]  親身來信道 去收信人
[00:02:48.000 --> 00:02:50.000]  大多數是教會領袖
[00:02:50.000 --> 00:02:52.000]  教會領袖收到書信後
[00:02:52.000 --> 00:02:54.000]  就會在公開的場合
[00:02:54.000 --> 00:02:55.000]  就像現在這樣
[00:02:55.000 --> 00:02:58.000]  公開來宣讀
[00:02:58.000 --> 00:03:02.000]  讓姐妹們一起來聆聽
[00:03:02.000 --> 00:03:06.000]  保羅所寫的書信當中的教導
[00:03:06.000 --> 00:03:12.000]  而這些書信 被教會收集 傳遞
[00:03:12.000 --> 00:03:16.000]  經歷了一段時間之後
[00:03:16.000 --> 00:03:20.000]  在大公教會的會議
[00:03:20.000 --> 00:03:24.000]  在書信 書卷的致正
[00:03:24.000 --> 00:03:27.000]  和聖靈的引導下
[00:03:27.000 --> 00:03:31.000]  來視為正典
[00:03:31.000 --> 00:03:37.000]  然後被收納 成為我們今天的新約聖經
[00:03:37.000 --> 00:03:41.000]  昔日 保羅被囚在羅馬
[00:03:41.000 --> 00:03:46.000]  等候羅馬皇帝薩戈親自來審判
[00:03:46.000 --> 00:03:52.000]  就像今天 我們去不服這個地方法院
[00:03:52.000 --> 00:03:54.000]  我就上訴到高等法院
[00:03:54.000 --> 00:03:58.000]  高等法院再上訴到終審法院
[00:03:58.000 --> 00:04:00.000]  終審法院一錘定音
[00:04:00.000 --> 00:04:03.000]  這個就不能再犯案
[00:04:03.000 --> 00:04:08.000]  保羅就運用他自己是羅馬公民的身份
[00:04:08.000 --> 00:04:13.000]  上訴到當時的皇帝凱撒
[00:04:13.000 --> 00:04:17.000]  來審訊他的案件
[00:04:17.000 --> 00:04:22.000]  但由冰冰看守 放在其他地方
[00:04:22.000 --> 00:04:26.000]  容許其他人來探訪
[00:04:26.000 --> 00:04:29.000]  就像之前疫情一樣
[00:04:29.000 --> 00:04:32.000]  我們要不在家居隔離
[00:04:32.000 --> 00:04:37.000]  要不送去方艙社區隔離設施
[00:04:37.000 --> 00:04:42.000]  聽到名字 或者看到電視直播
[00:04:42.000 --> 00:04:46.000]  或者去現場直播
[00:04:46.000 --> 00:04:48.000]  看到那些貨櫃場
[00:04:48.000 --> 00:04:50.000]  看到那些還在流水
[00:04:50.000 --> 00:04:53.000]  風會吹進來的那些情景
[00:04:53.000 --> 00:04:59.000]  當時保羅也是不遑多讓
[00:04:59.000 --> 00:05:02.000]  沒有此景的等待
[00:05:02.000 --> 00:05:05.000]  羅馬皇帝不是說你見就見
[00:05:05.000 --> 00:05:08.000]  去國事這麼多
[00:05:08.000 --> 00:05:10.000]  一個人一個人走來
[00:05:10.000 --> 00:05:12.000]  馬上見你 馬上審你案
[00:05:12.000 --> 00:05:14.000]  他就不得了
[00:05:14.000 --> 00:05:17.000]  排期都不知道排到多久
[00:05:17.000 --> 00:05:19.000]  在無此景的等待
[00:05:19.000 --> 00:05:26.000]  是需要人照顧和接濟
[00:05:26.000 --> 00:05:27.000]  在這樣的情景下
[00:05:27.000 --> 00:05:31.000]  去收書給這個菲律賓的教會
[00:05:31.000 --> 00:05:33.000]  一方面要多謝他
[00:05:33.000 --> 00:05:35.000]  送來的物資
[00:05:35.000 --> 00:05:39.000]  供應他身體上的需要
[00:05:39.000 --> 00:05:40.000]  更加多謝他
[00:05:40.000 --> 00:05:46.000]  差派伊巴忽提到現場照顧他
[00:05:46.000 --> 00:05:49.000]  伊巴忽提病好了
[00:05:49.000 --> 00:05:52.000]  就帶了這封書信
[00:05:52.000 --> 00:05:55.000]  回到菲律賓的教會
[00:05:55.000 --> 00:05:58.000]  道謝
[00:05:58.000 --> 00:06:01.000]  如果你是保羅
[00:06:01.000 --> 00:06:05.000]  有機會寫這封書信
[00:06:05.000 --> 00:06:07.000]  給你的米飯班主
[00:06:07.000 --> 00:06:08.000]  真是靠他
[00:06:08.000 --> 00:06:11.000]  吃粥吃飯真是靠他
[00:06:11.000 --> 00:06:16.000]  那你會寫些什麼呢?
[00:06:16.000 --> 00:06:17.000]  你想想
[00:06:17.000 --> 00:06:18.000]  如果你代入保羅的情景
[00:06:18.000 --> 00:06:20.000]  你會寫些什麼呢?
[00:06:20.000 --> 00:06:23.000]  我記得我小時候
[00:06:23.000 --> 00:06:27.000]  我們死坑死底
[00:06:27.000 --> 00:06:32.000]  依宿蝕
[00:06:32.000 --> 00:06:35.000]  將物資寄去
[00:06:35.000 --> 00:06:38.000]  帶給國內的親友
[00:06:38.000 --> 00:06:41.000]  然後他們就收書
[00:06:41.000 --> 00:06:44.000]  一封信函下來
[00:06:44.000 --> 00:06:46.000]  最少是兩頁紙
[00:06:46.000 --> 00:06:48.000]  第一頁千字文
[00:06:48.000 --> 00:06:49.000]  千多謝
[00:06:49.000 --> 00:06:51.000]  萬多謝
[00:06:51.000 --> 00:06:52.000]  滔滔不絕江水
[00:06:52.000 --> 00:06:54.000]  寫到水蛇充滿腸
[00:06:54.000 --> 00:06:55.000]  多謝
[00:06:55.000 --> 00:06:58.000]  但後來那一頁才是真章
[00:06:58.000 --> 00:06:59.000]  是說什麼呢?
[00:06:59.000 --> 00:07:02.000]  我還想我們還有什麼缺陷
[00:07:02.000 --> 00:07:04.000]  有什麼需要
[00:07:04.000 --> 00:07:07.000]  有什麼不足和缺乏
[00:07:07.000 --> 00:07:09.000]  但宗觀
[00:07:09.000 --> 00:07:13.000]  菲律賓書和其他的三封監獄書信
[00:07:13.000 --> 00:07:15.000]  保羅都沒有列出
[00:07:15.000 --> 00:07:16.000]  沒有窮舉
[00:07:16.000 --> 00:07:21.000]  他在物質上的缺陷和需要
[00:07:21.000 --> 00:07:23.000]  你會覺得很出奇
[00:07:23.000 --> 00:07:26.000]  保羅是不是天生異稟
[00:07:26.000 --> 00:07:31.000]  不用吃不用住
[00:07:31.000 --> 00:07:35.000]  我今天講到的兩個重點
[00:07:35.000 --> 00:07:39.000]  因為保羅是以福音為先的關注
[00:07:39.000 --> 00:07:43.000]  以及他是以福音為先的實踐
[00:07:43.000 --> 00:07:44.000]  第十二節
[00:07:44.000 --> 00:07:45.000]  弟兄們
[00:07:45.000 --> 00:07:48.000]  我願意你們知道
[00:07:48.000 --> 00:07:52.000]  我所遭遇的事更叫福音興旺
[00:07:52.000 --> 00:07:56.000]  是回應九到十一節我所禱告的
[00:07:56.000 --> 00:08:00.000]  就是你們看愛心和各樣知識上多而又多
[00:08:00.000 --> 00:08:03.000]  使你們能夠分辨是非
[00:08:03.000 --> 00:08:05.000]  作誠實無過的人
[00:08:05.000 --> 00:08:06.000]  直到基督的日子
[00:08:06.000 --> 00:08:08.000]  並靠著耶穌基督
[00:08:08.000 --> 00:08:10.000]  結滿人意的果子
[00:08:10.000 --> 00:08:13.000]  叫榮耀歸於神
[00:08:13.000 --> 00:08:17.000]  保羅就是作為一個現身說法的榜樣
[00:08:17.000 --> 00:08:22.000]  是怎樣在知識和見識上多而又多
[00:08:22.000 --> 00:08:24.000]  能夠分辨是非
[00:08:24.000 --> 00:08:26.000]  能夠結滿人意的果子
[00:08:26.000 --> 00:08:29.000]  叫榮耀歸於神
[00:08:29.000 --> 00:08:33.000]  保羅願意肥立彼教信徒知道的
[00:08:33.000 --> 00:08:35.000]  是有關於我的事
[00:08:35.000 --> 00:08:38.000]  或者是發生在身上的事
[00:08:38.000 --> 00:08:41.000]  要由第十三節和十四節補充
[00:08:41.000 --> 00:08:45.000]  這個事就是指保羅被囚
[00:08:45.000 --> 00:08:47.000]  被捆綁
[00:08:47.000 --> 00:08:49.000]  而福音興旺
[00:08:49.000 --> 00:08:52.000]  就是說進展
[00:08:52.000 --> 00:08:55.000]  就是說在這個情況
[00:08:55.000 --> 00:08:57.000]  竟然是相反
[00:08:57.000 --> 00:09:00.000]  是因減不加
[00:09:00.000 --> 00:09:04.000]  保羅超脫了現實的處境
[00:09:04.000 --> 00:09:06.000]  從被囚的環境
[00:09:06.000 --> 00:09:08.000]  看到事實的真相
[00:09:08.000 --> 00:09:10.000]  從自身的限制
[00:09:10.000 --> 00:09:13.000]  看到福音不被爛了
[00:09:13.000 --> 00:09:15.000]  這個就是迴響聖傳
[00:09:15.000 --> 00:09:18.000]  二十一章開始
[00:09:18.000 --> 00:09:24.000]  他由耶路撒冷來還願
[00:09:24.000 --> 00:09:28.000]  然後在耶路撒冷聖殿裏面被捉拿
[00:09:28.000 --> 00:09:30.000]  一幕一幕
[00:09:30.000 --> 00:09:35.000]  怎樣千辛萬苦排除萬難
[00:09:35.000 --> 00:09:37.000]  來到羅馬這個地方
[00:09:37.000 --> 00:09:40.000]  先是被人毆打
[00:09:40.000 --> 00:09:43.000]  然後被下在監牢裏面
[00:09:43.000 --> 00:09:48.000]  然後去面對很多不同的官員的質詢
[00:09:48.000 --> 00:09:54.000]  他曾經在巡撫面前
[00:09:54.000 --> 00:09:57.000]  在阿基伯王分封王面前
[00:09:57.000 --> 00:09:59.000]  來自辯
[00:09:59.000 --> 00:10:02.000]  去漏夜被帶到凱撒利亞
[00:10:02.000 --> 00:10:05.000]  逃避猶太人的追殺
[00:10:05.000 --> 00:10:10.000]  到二十一章真的上路了
[00:10:10.000 --> 00:10:13.000]  去到羅馬這個地方之前
[00:10:13.000 --> 00:10:16.000]  經歷海難
[00:10:16.000 --> 00:10:19.000]  船隻被拋來拋去
[00:10:19.000 --> 00:10:23.000]  在大風大浪幾乎沒頂
[00:10:23.000 --> 00:10:29.000]  最終能夠去到瑪爾他島來登陸
[00:10:29.000 --> 00:10:31.000]  但又被蛇咬
[00:10:31.000 --> 00:10:33.000]  但又無餓無愛
[00:10:33.000 --> 00:10:38.000]  最終來到羅馬等候審判
[00:10:38.000 --> 00:10:40.000]  作為讀者
[00:10:40.000 --> 00:10:47.000]  當然很想知道保羅上訴的結果
[00:10:47.000 --> 00:10:50.000]  我以前初信的時候
[00:10:50.000 --> 00:10:55.000]  因為哲行傳就好像章回小說一樣
[00:10:55.000 --> 00:10:56.000]  一幕又一幕
[00:10:56.000 --> 00:10:59.000]  我一口氣看完又再看
[00:10:59.000 --> 00:11:04.000]  情節很吸引很緊湊
[00:11:04.000 --> 00:11:09.000]  就好像看金庸的武俠小說
[00:11:09.000 --> 00:11:11.000]  《神鵰俠侶》
[00:11:11.000 --> 00:11:14.000]  楊過來到絕情谷
[00:11:14.000 --> 00:11:19.000]  見到小龍女克子在懸崖上說
[00:11:19.000 --> 00:11:22.000]  十八年後再相見
[00:11:22.000 --> 00:11:26.000]  我就想十八年後會不會真的出現
[00:11:26.000 --> 00:11:29.000]  整個故事發生就是情節說這些
[00:11:29.000 --> 00:11:32.000]  十八年間楊過怎樣去生活
[00:11:32.000 --> 00:11:36.000]  到最後他終於能夠去重逢
[00:11:36.000 --> 00:11:40.000]  同樣作為讀者的我們
[00:11:40.000 --> 00:11:45.000]  都很想知道保羅上訴的結果
[00:11:45.000 --> 00:11:48.000]  但偏偏路加醫生不風一轉
[00:11:48.000 --> 00:11:50.000]  在最後的時間
[00:11:50.000 --> 00:11:54.000]  在哲行傳二十八章來到港島
[00:11:54.000 --> 00:11:59.000]  保羅在自己所租的房子住了足足兩年
[00:11:59.000 --> 00:12:01.000]  凡來見他的人
[00:12:01.000 --> 00:12:06.000]  他全都接待放膽講論神國的道
[00:12:06.000 --> 00:12:09.000]  將主耶穌基督的事教導人
[00:12:09.000 --> 00:12:12.000]  並沒有人禁止
[00:12:12.000 --> 00:12:17.000]  可以看到路加很明白
[00:12:17.000 --> 00:12:21.000]  保羅的關注不在自身
[00:12:21.000 --> 00:12:25.000]  他更加關心福音的發展
[00:12:25.000 --> 00:12:28.000]  按一般人的看法
[00:12:28.000 --> 00:12:33.000]  失去自由必是令到福音的工作大受限制
[00:12:33.000 --> 00:12:35.000]  就好像先前疫情
[00:12:35.000 --> 00:12:39.000]  教會不能公開聚會
[00:12:39.000 --> 00:12:43.000]  我們都只是網上來看崇拜
[00:12:43.000 --> 00:12:46.000]  網上來參與團契
[00:12:46.000 --> 00:12:50.000]  出來行山都不可以
[00:12:50.000 --> 00:12:52.000]  都不可以一齊拍照
[00:12:52.000 --> 00:12:56.000]  不可以公開在會
[00:12:56.000 --> 00:13:00.000]  但這是否難阻到福音的工作呢?
[00:13:00.000 --> 00:13:02.000]  當真
[00:13:02.000 --> 00:13:03.000]  果然
[00:13:03.000 --> 00:13:06.000]  透過網絡不同的時區的人
[00:13:06.000 --> 00:13:09.000]  可以一齊相見
[00:13:09.000 --> 00:13:11.000]  我們看到
[00:13:11.000 --> 00:13:18.000]  由肢體帶領在遠在澳洲的家人
[00:13:18.000 --> 00:13:20.000]  信耶穌
[00:13:20.000 --> 00:13:22.000]  透過網絡
[00:13:22.000 --> 00:13:29.000]  然後將資訊交給當地的教會
[00:13:29.000 --> 00:13:31.000]  由澳洲的牧者跟進
[00:13:31.000 --> 00:13:33.000]  最後他的親戚
[00:13:33.000 --> 00:13:37.000]  能夠在澳洲受浸加入教會
[00:13:37.000 --> 00:13:40.000]  我也知道有某些教會
[00:13:40.000 --> 00:13:42.000]  在疫情的時間
