
[00:00:00.000 --> 00:00:05.080]  多謝大家今天班教會特別是一個福音主日
[00:00:05.080 --> 00:00:07.080]  多謝鋼福堂
[00:00:07.080 --> 00:00:12.740]  我印象中這幾年都是一月份講福音主日
[00:00:12.740 --> 00:00:16.600]  我經常在想為什麼鋼福堂經常找我一月呢
[00:00:16.600 --> 00:00:20.420]  我猜 我猜我的人好像
[00:00:20.420 --> 00:00:23.960]  看他的樣子好像希望多一點
[00:00:23.960 --> 00:00:27.640]  講一些年頭的事可能樣子是對的
[00:00:27.640 --> 00:00:30.920]  我猜 我相信都是猜錯了
[00:00:30.920 --> 00:00:34.200]  但是不要緊 我們選了一個很有希望的題目
[00:00:34.200 --> 00:00:38.500]  這個題目其實都挺傷感的
[00:00:38.500 --> 00:00:43.080]  因為在聖誕那段時間
[00:00:43.080 --> 00:00:46.280]  以前我教的大學有同事自殺
[00:00:46.280 --> 00:00:49.000]  後來校長就找我回大學
[00:00:49.000 --> 00:00:53.360]  和教職員講哀傷輔導
[00:00:53.360 --> 00:00:55.920]  講了幾個講座請參加者
[00:00:55.920 --> 00:00:57.920]  寫一些回應給我
[00:00:57.920 --> 00:01:01.360]  就覺得聽到什麼是很特別的感覺
[00:01:01.360 --> 00:01:06.480]  突然間在二百多行字裏面
[00:01:06.480 --> 00:01:08.480]  最多出現的那一行字
[00:01:08.480 --> 00:01:13.540]  他們是寫不要在絕路找希望
[00:01:13.540 --> 00:01:16.360]  所以我看到這句說話覺得都好
[00:01:16.360 --> 00:01:19.320]  用來借在今天的題目都有意思
[00:01:19.320 --> 00:01:22.920]  不要在絕路找希望
[00:01:22.920 --> 00:01:25.400]  挺深奧的題目 希望
[00:01:25.400 --> 00:01:27.400]  但是我想起我小時候
[00:01:27.400 --> 00:01:30.520]  我媽媽是一個診所護士
[00:01:30.520 --> 00:01:32.520]  每次我喉嚨痛傷風
[00:01:32.520 --> 00:01:34.520]  我就去找我媽
[00:01:34.520 --> 00:01:38.000]  我媽媽自己開藥給我吃的
[00:01:38.000 --> 00:01:43.000]  每次聞到診所那一層消毒藥水的蚕
[00:01:43.000 --> 00:01:45.000]  已經覺得快要好了
[00:01:45.000 --> 00:01:47.480]  所以那層蚕聞著聞著
[00:01:47.480 --> 00:01:50.080]  就對那層蚕有了希望的感覺
[00:01:50.080 --> 00:01:52.080]  覺得快要好了
[00:01:52.080 --> 00:01:54.600]  人都是這樣的
[00:01:54.600 --> 00:01:56.600]  有些東西得了
[00:01:56.600 --> 00:01:58.600]  就覺得那些東西以後都是可以的
[00:01:58.600 --> 00:02:00.600]  這些東西是可以的
[00:02:00.600 --> 00:02:04.600]  七年前我太太患了胰臟癌
[00:02:04.600 --> 00:02:08.600]  在五年前她回到天堂
[00:02:08.600 --> 00:02:13.600]  我從此對於診所那些消毒藥水蚕
[00:02:13.600 --> 00:02:16.600]  就不是很有希望
[00:02:16.600 --> 00:02:21.600]  覺得原來入醫院都不一定好得回
[00:02:21.600 --> 00:02:23.600]  所以那層蚕對我而言
[00:02:23.600 --> 00:02:25.600]  已經不是以前那種感覺
[00:02:25.600 --> 00:02:27.600]  那麼有希望的感覺
[00:02:27.600 --> 00:02:29.600]  人生都像這樣
[00:02:29.600 --> 00:02:31.600]  你很靠的東西
[00:02:31.600 --> 00:02:33.600]  覺得行不通
[00:02:33.600 --> 00:02:35.600]  你就慢慢放下
[00:02:35.600 --> 00:02:37.600]  覺得不行的
[00:02:37.600 --> 00:02:40.600]  我經常遇到很多人都很危急
[00:02:40.600 --> 00:02:42.600]  有一個傳道人
[00:02:42.600 --> 00:02:44.600]  是我的好朋友一個女士
[00:02:44.600 --> 00:02:46.600]  30歲
