
[00:00:00.000 --> 00:00:02.000]  我相信大家也同意
[00:00:02.000 --> 00:00:10.280]  我們這一代在生活上的物質
[00:00:10.280 --> 00:00:13.680]  的確比我們上一代豐裕
[00:00:13.680 --> 00:00:19.320]  所以有些時候當我們收拾家居時
[00:00:19.320 --> 00:00:25.320]  總會收拾到一些放了很久又沒什麼用的東西
[00:00:25.320 --> 00:00:28.800]  當然你有幾個方法去處理
[00:00:28.800 --> 00:00:34.000]  第一,扔掉它,好像很浪費
[00:00:34.000 --> 00:00:39.240]  不如轉贈給有需要的人
[00:00:39.240 --> 00:00:43.280]  又或者你說,不,我保留它
[00:00:43.280 --> 00:00:48.280]  不過我會稍微做一點手腳
[00:00:48.280 --> 00:00:53.040]  去下點功夫,希望可以改一改
[00:00:53.040 --> 00:00:56.240]  它的用途仍然用得著
[00:00:56.240 --> 00:00:59.160]  例如這樣
[00:00:59.160 --> 00:01:01.600]  這些想法也挺有趣的
[00:01:01.600 --> 00:01:07.920]  有沒有人試過用你的iPhone盒裝牛油
[00:01:07.920 --> 00:01:11.440]  我想也沒有吧
[00:01:11.440 --> 00:01:17.760]  其實生命的蛻變也是一樣的
[00:01:17.760 --> 00:01:23.480]  可以因著主耶穌介入在我們的生命裡
[00:01:23.480 --> 00:01:26.560]  變得渙然一新
[00:01:26.560 --> 00:01:32.160]  今天就跟大家講到《仙路行傳》第22章
[00:01:32.160 --> 00:01:37.600]  裡面其實是寄述了保羅生命的見證
[00:01:37.600 --> 00:01:41.600]  和當中的改變
[00:01:41.600 --> 00:01:46.520]  整本《仙路行傳》一共有三個地方
[00:01:46.520 --> 00:01:50.800]  描述了保羅歸主的經歷
[00:01:50.800 --> 00:01:54.960]  很早的時候,第九章有描述過
[00:01:54.960 --> 00:01:58.240]  然後來到今天第22章
[00:01:58.240 --> 00:02:03.720]  後一點點,第26章也會再講
[00:02:03.720 --> 00:02:09.520]  兩個星期前,我跟大家分享第21章的時候
[00:02:09.520 --> 00:02:12.840]  其實我只是分享了前半節
[00:02:12.840 --> 00:02:17.640]  那裡就講到保羅要回到耶路撒冷
[00:02:17.640 --> 00:02:22.240]  當中和弟兄姊妹之間的那份情
[00:02:22.240 --> 00:02:25.640]  其實第21章的下半節
[00:02:25.640 --> 00:02:29.360]  就是描述到他已經回到耶路撒冷了
[00:02:29.360 --> 00:02:33.040]  弟兄姊妹很歡喜地接待他
[00:02:33.040 --> 00:02:35.480]  在那裡過了幾天之後
[00:02:35.480 --> 00:02:39.160]  他就去到聖殿去敬拜
[00:02:39.160 --> 00:02:42.800]  不過當他去聖殿敬拜
[00:02:42.800 --> 00:02:44.400]  問題就來了
[00:02:44.400 --> 00:02:48.960]  因為有其他猶太人誣告他
[00:02:48.960 --> 00:02:54.880]  你為什麼把外邦人帶進去聖殿?
[00:02:54.880 --> 00:02:59.000]  於是就引起了一個很大的問題
[00:02:59.000 --> 00:03:02.360]  甚至發生了暴亂
[00:03:02.360 --> 00:03:09.520]  所以羅馬衛隊的上尉唯有用鐵鏈鎖住保羅
[00:03:09.520 --> 00:03:14.680]  把他綑綁起來,帶進去刑樓
[00:03:14.680 --> 00:03:17.520]  當他進去的時候
[00:03:17.520 --> 00:03:22.400]  保羅就向千夫長提出了一個要求
[00:03:22.400 --> 00:03:24.880]  「你可不可以給我一個機會」
[00:03:24.880 --> 00:03:30.280]  「讓我去和那些指控我的猶太人」
[00:03:30.280 --> 00:03:33.280]  「有一個申辯的機會」
