
[00:00:00.000 --> 00:00:03.440]  我們上次講過說 迦拉泰書是
[00:00:03.440 --> 00:00:08.160]  這個馬丁路德改教當中很重要的一本書
[00:00:08.160 --> 00:00:12.120]  整本正經裡面 羅馬書跟迦拉泰書
[00:00:12.120 --> 00:00:15.680]  這兩卷書都是在講到陰性稱義
[00:00:15.680 --> 00:00:17.240]  一個非常重要的
[00:00:17.240 --> 00:00:20.120]  陰性稱義是整個馬丁路德
[00:00:20.120 --> 00:00:23.560]  1517年改教的一個非常重要的一件事情
[00:00:23.560 --> 00:00:25.680]  如果沒有這一個改教
[00:00:25.680 --> 00:00:27.440]  今天我們還在怎麼樣
[00:00:28.400 --> 00:00:32.880]  我們還在田主教的那樣子的信仰的裡面
[00:00:32.880 --> 00:00:38.280]  甚至是在要買贖罪劍 要來贖罪
[00:00:38.280 --> 00:00:43.400]  你犯了多少罪 大罪多一點錢 小罪少一點錢
[00:00:43.400 --> 00:00:46.120]  在這種的信仰裡面
[00:00:46.120 --> 00:00:47.840]  現在就是說
[00:00:47.840 --> 00:00:50.880]  所以保羅在
[00:00:50.880 --> 00:00:54.920]  迦拉泰書 我們在前面講到說
[00:00:55.760 --> 00:00:59.560]  保羅其實從第一章一直到第二章的第十節
[00:00:59.560 --> 00:01:01.840]  他一直在講什麼呢
[00:01:01.840 --> 00:01:06.600]  他一直在講到他所傳的這個福音
[00:01:06.600 --> 00:01:08.720]  是一個真實的福音
[00:01:08.720 --> 00:01:11.120]  他所傳的福音不是二手福音
[00:01:11.120 --> 00:01:12.840]  是一個正確的福音
[00:01:12.840 --> 00:01:16.000]  這個福音是不是你所信的這個福音呢
[00:01:16.000 --> 00:01:21.480]  我想我們需要重新的來思考
[00:01:21.480 --> 00:01:23.440]  我們自己的信仰
[00:01:25.440 --> 00:01:26.560]  在第一節第二節
[00:01:26.560 --> 00:01:30.920]  保羅他講到說他說過了十四年
[00:01:30.920 --> 00:01:33.480]  我們剛才讀這段聖經
[00:01:33.480 --> 00:01:36.360]  他跟巴拉巴又上耶路撒冷去
[00:01:36.360 --> 00:01:38.360]  並帶著提多同去
[00:01:38.360 --> 00:01:41.240]  保羅就在這裡他講什麼呢
[00:01:41.240 --> 00:01:44.040]  他說過了十四年他又去了
[00:01:44.040 --> 00:01:48.520]  那表明一件事情十四年是一段不短的時間是不是
[00:01:48.520 --> 00:01:51.960]  我們大概知道一下
[00:01:52.160 --> 00:01:57.800]  保羅他大概是在主後三十二年信主的
[00:01:57.800 --> 00:02:01.080]  在達馬斯路上他遇見了這位主他信了耶穌
[00:02:01.080 --> 00:02:04.880]  所以從他信主的那一天開始
[00:02:04.880 --> 00:02:07.520]  一直過了十四年的時間
[00:02:07.520 --> 00:02:08.960]  所以是幾年啊
[00:02:08.960 --> 00:02:11.400]  三十二加十四多少
[00:02:11.400 --> 00:02:15.440]  四十六年在主後四十六年的時候
[00:02:15.440 --> 00:02:19.560]  保羅第二次的他訪問耶路撒冷
[00:02:19.560 --> 00:02:22.080]  他這次去做什麼呢
[00:02:22.520 --> 00:02:25.480]  他說他跟巴拉巴一同上耶路撒冷去
[00:02:25.480 --> 00:02:29.400]  並且帶著提多同去等一下我們會提提多
[00:02:29.400 --> 00:02:31.160]  那麼第二節他接著說
[00:02:31.160 --> 00:02:33.680]  他說我是奉啟示上去的
[00:02:33.680 --> 00:02:36.000]  所以表明一件事情
[00:02:36.000 --> 00:02:40.880]  保羅說他所領受的這個福音在第一章裡面就講說
[00:02:40.880 --> 00:02:42.760]  他所領受的福音是什麼呢
[00:02:42.760 --> 00:02:45.760]  你看在第一章第十一節
[00:02:45.760 --> 00:02:48.400]  保羅說弟兄們我告訴你們
