
[00:00:00.000 --> 00:00:01.940]  各位頂英姐妹,復活節
[00:00:01.940 --> 00:00:05.820]  你們復活了嗎?
[00:00:05.820 --> 00:00:10.180]  你們不覺得復活節好像大家更累嗎?
[00:00:10.180 --> 00:00:14.260]  我今天早上大家預備侍奉前祈禱
[00:00:14.260 --> 00:00:16.320]  我覺得大家都很累
[00:00:16.320 --> 00:00:17.640]  復活節
[00:00:17.640 --> 00:00:20.660]  為甚麼我們復活節這麼累呢?
[00:00:20.660 --> 00:00:25.660]  對於我們來說,都幾天了
[00:00:25.660 --> 00:00:29.420]  我們星期四有立聖餐祈禱會
[00:00:29.420 --> 00:00:32.260]  星期五有壽虎節崇拜
[00:00:32.260 --> 00:00:35.340]  星期五亦有頂英姐妹幫忙
[00:00:35.340 --> 00:00:40.600]  參與餐福戶外燒烤福音聚會
[00:00:40.600 --> 00:00:46.460]  星期六昨天,餐福亦有藝人見證報道會
[00:00:46.460 --> 00:00:48.180]  今天是我們復活主日
[00:00:48.180 --> 00:00:49.900]  復活節
[00:00:49.900 --> 00:00:52.760]  亦有很多學生要預備考試
[00:00:52.760 --> 00:00:55.140]  復活節
[00:00:55.140 --> 00:00:59.220]  亦有很多家庭要照顧小朋友,很忙碌
[00:00:59.460 --> 00:01:01.500]  或者有些人很忙去玩
[00:01:01.500 --> 00:01:05.420]  你的心呢?
[00:01:05.420 --> 00:01:09.060]  今日此時此刻
[00:01:09.060 --> 00:01:11.100]  你的心
[00:01:11.100 --> 00:01:12.780]  有沒有力呢?
[00:01:12.780 --> 00:01:17.640]  你和神的關係,屬靈生命的狀況
[00:01:17.640 --> 00:01:19.700]  怎樣呢?
[00:01:19.700 --> 00:01:26.220]  今天我們看這一段經文
[00:01:26.560 --> 00:01:31.400]  你會看見一開始是有一段對話
[00:01:31.400 --> 00:01:37.140]  有兩個人的出現
[00:01:37.140 --> 00:01:40.200]  你有留意,有聲音嗎?
[00:01:40.200 --> 00:01:42.540]  有,OK
[00:01:42.540 --> 00:01:46.800]  在這段路途上有兩個人
[00:01:46.800 --> 00:01:51.680]  一個人有名字,叫做甲劉巴
[00:01:51.680 --> 00:01:56.000]  那些是譯音,所以很蹺口
[00:01:56.000 --> 00:01:57.320]  甲劉巴
[00:01:57.320 --> 00:01:59.880]  這個門徒有名叫甲劉巴
[00:01:59.880 --> 00:02:03.400]  聖經裏面,特別在路加福音有記載這個人的名字
[00:02:03.400 --> 00:02:05.360]  那另外一個門徒叫甚麼名字?
[00:02:05.360 --> 00:02:09.760]  就是叫門徒,不知叫甚麼名字
[00:02:09.760 --> 00:02:13.560]  很有趣,當我們看路加福音這段記載的時候
[00:02:13.560 --> 00:02:18.320]  好像路加很想我們知道這一段經歷
[00:02:18.320 --> 00:02:21.520]  是有兩個門徒在這一段時間
[00:02:21.520 --> 00:02:23.220]  遇見神的經歷
[00:02:23.940 --> 00:02:26.120]  所以今天不如我們試一下
[00:02:26.120 --> 00:02:28.680]  來一個角色扮演
[00:02:28.680 --> 00:02:33.200]  給我一個有名的角色,我叫甲劉巴
[00:02:33.200 --> 00:02:35.860]  就是其中一個人
[00:02:35.860 --> 00:02:37.900]  那另外一個人是誰呢?
[00:02:37.900 --> 00:02:41.400]  聖經裏面沒有出過名
[00:02:41.400 --> 00:02:44.780]  路加福音的作者很想我們試一下
[00:02:44.780 --> 00:02:47.360]  其實這個門徒就是你
[00:02:47.360 --> 00:02:51.020]  待會我們會一直有些對話
[00:02:52.020 --> 00:02:55.660]  那你試一下在心裏面回答我的問題,好嗎?
[00:02:55.660 --> 00:02:58.580]  你試一下,我一直說的時候
[00:02:58.580 --> 00:03:02.480]  你在心裏面回答我的問題,跟我聊天
[00:03:02.480 --> 00:03:04.780]  預備好了沒有?
[00:03:04.780 --> 00:03:09.200]  你要進入一個狀態
[00:03:09.200 --> 00:03:12.860]  因為這段經文,兩個門徒是很憂愁的
[00:03:12.860 --> 00:03:21.120]  咦?
[00:03:22.160 --> 00:03:24.400]  你好啊,很久沒見你了
[00:03:24.400 --> 00:03:26.920]  這麼巧在這裏遇見你
[00:03:26.920 --> 00:03:29.120]  你去哪裏啊?
[00:03:29.120 --> 00:03:34.860]  去二馬五司嗎?我也是啊
[00:03:34.860 --> 00:03:38.060]  真是這麼巧,我們一起走吧,好嗎?
[00:03:38.060 --> 00:03:42.080]  你最近怎樣啊?
[00:03:42.080 --> 00:03:46.940]  你最近好不好啊?
[00:03:52.020 --> 00:03:56.420]  唉,我也是啊,我都不太好
[00:03:56.420 --> 00:04:03.320]  你知道的,耶穌已經死了
[00:04:03.320 --> 00:04:07.560]  耶穌死了就好像我一個很好的朋友
[00:04:07.560 --> 00:04:09.180]  離開了我那樣
[00:04:09.180 --> 00:04:15.360]  很突然,我沒有想過會是這樣的
