
[00:00:00.000 --> 00:00:04.100]  來讀一段聖經 是在詩篇23篇的第3節
[00:00:04.100 --> 00:00:05.880]  只有一段聖經
[00:00:05.880 --> 00:00:07.420]  讓我們一起來唸 來
[00:00:07.420 --> 00:00:10.500]  他使我的靈魂甦醒
[00:00:10.500 --> 00:00:12.040]  為自己的名
[00:00:12.040 --> 00:00:15.360]  引導我走一路 我們再唸一次好不好 來
[00:00:15.360 --> 00:00:18.180]  他使我的靈魂甦醒
[00:00:18.180 --> 00:00:19.700]  為自己的名
[00:00:19.700 --> 00:00:21.760]  引導我走一路
[00:00:21.760 --> 00:00:23.300]  這邊有英文的版本
[00:00:23.300 --> 00:00:25.860]  English Standard Version 我們一起來唸一次 來
[00:00:26.100 --> 00:00:33.780]  He restores my soul, he leads me in paths of righteousness for his name's sake
[00:00:33.780 --> 00:00:37.100]  過去我們家回台灣六個禮拜
[00:00:37.100 --> 00:00:39.400]  感謝神平安回來了
[00:00:39.400 --> 00:00:42.480]  謝謝大家為我們的禱告 我們非常的感動
[00:00:42.480 --> 00:00:45.800]  我們也很感謝神 看到大家齊心的在為
[00:00:45.800 --> 00:00:47.340]  台灣這片
[00:00:47.340 --> 00:00:49.400]  我們深愛的土地禱告
[00:00:49.400 --> 00:00:53.480]  看到疫情的確也似乎是穩定控制住了
[00:00:53.480 --> 00:00:55.800]  神仍然是垂聽禱告的神 Amen
[00:00:56.040 --> 00:00:57.320]  我們拍手讚美主好不好
[00:00:57.320 --> 00:01:05.000]  真是為這世界的疫情禱告 真希望能夠早日能夠
[00:01:05.000 --> 00:01:07.300]  恢復一個正常的一個生活
[00:01:07.300 --> 00:01:11.640]  現在很多的變種病毒真的是要注意
[00:01:11.640 --> 00:01:13.700]  特別有一種變種病毒
[00:01:13.700 --> 00:01:15.740]  就是讓人整天待在家裡
[00:01:15.740 --> 00:01:19.080]  不運動一直吃越變越腫
[00:01:19.080 --> 00:01:22.660]  的變種病毒
[00:01:23.420 --> 00:01:27.020]  有人說 亞誠牧師你從台灣回來並沒有變種耶
[00:01:27.020 --> 00:01:28.540]  感謝主
[00:01:28.540 --> 00:01:30.080]  其實說真的啦
[00:01:30.080 --> 00:01:32.380]  祝福大家真的是要平安
[00:01:32.380 --> 00:01:34.180]  蒙神的保守
[00:01:34.180 --> 00:01:37.760]  說到疫情我們也感謝神過去教會在
[00:01:37.760 --> 00:01:39.560]  這一年半來我們
[00:01:39.560 --> 00:01:42.120]  這個開始了一個生命和
[00:01:42.120 --> 00:01:44.680]  這個你一直都在見證集
[00:01:44.680 --> 00:01:45.440]  那
[00:01:45.440 --> 00:01:51.840]  第一個系列就是這個生命和疫情見證集 那時候我們在為這個見證集籌備的時候
[00:01:51.840 --> 00:01:52.860]  我們在想說
[00:01:53.380 --> 00:01:55.420]  會不會有人投稿啊
[00:01:55.420 --> 00:01:56.960]  疫情在這個
[00:01:56.960 --> 00:02:01.560]  這個大環境的低氣壓籠罩之下有人會
[00:02:01.560 --> 00:02:03.100]  會投稿嗎
[00:02:03.100 --> 00:02:05.160]  我們就禱告主啊讓這個
[00:02:05.160 --> 00:02:07.720]  投稿要像雪花般的飄來
[00:02:07.720 --> 00:02:08.740]  而不是像
[00:02:08.740 --> 00:02:11.300]  這個頭皮屑般的飄下來
[00:02:11.300 --> 00:02:14.360]  感謝主竟然有33篇
[00:02:14.360 --> 00:02:15.900]  翩翩精彩的見證
[00:02:15.900 --> 00:02:17.440]  真是見證到了
[00:02:17.440 --> 00:02:20.000]  不管在什麼情況下主一直都在
[00:02:20.000 --> 00:02:22.040]  Hallelujah
[00:02:23.080 --> 00:02:24.100]  我們也看到
[00:02:24.100 --> 00:02:27.940]  隨著疫情的開啟後社會也開始經歷了
[00:02:27.940 --> 00:02:29.480]  恢復與更新
[00:02:29.480 --> 00:02:35.360]  所以我們也開始來要推廣第二個系列就叫做
[00:02:35.360 --> 00:02:38.440]  恢復與更新的這樣一個系列
[00:02:38.440 --> 00:02:41.000]  我們相信不只是這個
[00:02:41.000 --> 00:02:42.280]  社會的開啟
[00:02:42.280 --> 00:02:45.600]  我們更是看見透過耶穌基督保血
[00:02:45.600 --> 00:02:46.620]  祂的救恩
[00:02:46.620 --> 00:02:49.440]  我們的生命要經歷恢復與更新
[00:02:49.700 --> 00:02:54.560]  探望這一次的一個邀請也能夠如雪花般的飄來
[00:02:54.560 --> 00:02:57.120]  講到這個頭皮屑我就發現
[00:02:57.120 --> 00:03:01.220]  自從我剃光頭之後我就再也沒有頭皮屑的煩惱了
[00:03:01.220 --> 00:03:03.780]  所以如果你有這方面煩惱
[00:03:03.780 --> 00:03:05.580]  We can talk about it
[00:03:05.580 --> 00:03:09.920]  我要說實在話我們大家都需要
[00:03:09.920 --> 00:03:11.460]  不斷的經歷
[00:03:11.460 --> 00:03:12.480]  恢復
[00:03:12.480 --> 00:03:13.760]  與更新
[00:03:13.760 --> 00:03:15.560]  不論你是
[00:03:15.560 --> 00:03:17.340]  剛信主的朋友
[00:03:17.860 --> 00:03:20.420]  或是你已經是沙場的老將
[00:03:20.420 --> 00:03:23.500]  無論你是剛做完覺知禱告
[00:03:23.500 --> 00:03:26.560]  或是你已經是神學院多年的裝備
[00:03:26.560 --> 00:03:28.360]  我們都需要
[00:03:28.360 --> 00:03:29.900]  常常的
[00:03:29.900 --> 00:03:30.920]  被主
[00:03:30.920 --> 00:03:32.720]  來恢復與更新
[00:03:32.720 --> 00:03:35.020]  不然你可以想像嗎為什麼
[00:03:35.020 --> 00:03:38.600]  受過最頂尖最棒的神學
[00:03:38.600 --> 00:03:39.620]  訓練
