
[00:00:00.000 --> 00:00:03.640]  各位弟姐妹午安 主內平安
[00:00:03.640 --> 00:00:06.840]  很感恩在今天的崇拜裏面
[00:00:06.840 --> 00:00:10.760]  可以在實體和大家一起崇拜
[00:00:10.760 --> 00:00:13.920]  在過去這幾個禮拜
[00:00:13.920 --> 00:00:16.800]  遇見一些弟兄姊妹
[00:00:16.800 --> 00:00:19.800]  分享在過去的日子
[00:00:19.800 --> 00:00:25.720]  即是在大約不能回來實體崇拜的時間
[00:00:25.720 --> 00:00:29.680]  和他們在日常生活裏面的經歷
[00:00:29.680 --> 00:00:35.480]  他們都會有很多大大小小不同的經歷
[00:00:35.480 --> 00:00:38.400]  當遇到困難的時候
[00:00:38.400 --> 00:00:42.160]  就會知道這個艱難
[00:00:42.160 --> 00:00:46.800]  但亦都會懂得去仰望我們的神
[00:00:46.800 --> 00:00:52.000]  之後亦都會遭遇很多不同種種的情況
[00:00:52.000 --> 00:00:57.200]  亦都會去仰望我們的神
[00:00:57.200 --> 00:01:02.760]  今日就盼望藉著啟示錄裏面的訊息
[00:01:02.760 --> 00:01:06.720]  讓我們都有一個提醒
[00:01:06.720 --> 00:01:10.760]  啟示錄裏面有一個語言的特色
[00:01:10.760 --> 00:01:12.640]  就是在當中
[00:01:12.640 --> 00:01:16.440]  如果大家都有去查考過啟示錄的話
[00:01:16.440 --> 00:01:21.960]  都會發現很多時候會有關地上的事情
[00:01:21.960 --> 00:01:23.800]  然後天上的事情
[00:01:23.800 --> 00:01:26.000]  地上 天上
[00:01:26.000 --> 00:01:29.840]  這樣一幕一幕地呈現出來
[00:01:29.840 --> 00:01:31.240]  它的語言特色
[00:01:31.240 --> 00:01:34.200]  都會有很多不同的學者
[00:01:34.200 --> 00:01:36.120]  都會有一些的看法
[00:01:36.120 --> 00:01:39.000]  因為在經文的脈絡裏面
[00:01:39.000 --> 00:01:42.800]  就會看到一幕一幕的景象
[00:01:42.800 --> 00:01:45.360]  而如果在原文裏面去看
[00:01:45.360 --> 00:01:48.600]  其實這一幕一幕的景象是連接著的
[00:01:48.600 --> 00:01:51.440]  就會是用一個「and」這樣去連接著
[00:01:51.440 --> 00:01:57.040]  如果中文去翻譯可能會用「和」、「以及」
[00:01:57.040 --> 00:01:59.360]  正如我今日所選取的經文就是
[00:01:59.360 --> 00:02:02.960]  第21章裏面亦都是連接著上面
[00:02:02.960 --> 00:02:05.280]  19章一直都是有一個「and」
[00:02:05.280 --> 00:02:10.000]  然後第22章亦都是「and」這樣去連接著
[00:02:10.000 --> 00:02:13.400]  若果大家都有很多年前
[00:02:13.400 --> 00:02:15.760]  有一幅畫
[00:02:15.760 --> 00:02:18.080]  叫做「清明上河圖」
[00:02:18.080 --> 00:02:19.680]  大家如果有看過
[00:02:19.680 --> 00:02:22.400]  可以移動的,整幅很大
[00:02:22.400 --> 00:02:25.920]  你一邊走一邊去看
[00:02:25.920 --> 00:02:28.480]  啟示錄的情況其實都類似這樣
[00:02:28.480 --> 00:02:31.240]  就是一個很大
[00:02:31.240 --> 00:02:33.560]  一個看完整幅的景象
[00:02:33.560 --> 00:02:36.480]  不過它就是捲著
[00:02:36.480 --> 00:02:39.480]  有些學者就認為這是一個螺旋式
[00:02:39.480 --> 00:02:45.880]  就是約翰一邊走一邊去看書訣
[00:02:45.880 --> 00:02:48.560]  亦都有一些學者就認為
[00:02:48.560 --> 00:02:52.120]  這個啟示錄的特色就是
[00:02:52.120 --> 00:02:53.400]  「剝洋蔥式」
[00:02:53.400 --> 00:02:57.880]  大家可能會有些很深刻的經歷
[00:02:57.880 --> 00:03:01.240]  一邊剝一邊流眼淚
