
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹,早晨!
[00:00:02.000 --> 00:00:07.000]  很感恩今天有機會和大家分享神的話語
[00:00:07.000 --> 00:00:09.000]  開始之前我們做一個祈禱
[00:00:09.000 --> 00:00:13.000]  慈悲的天父,上帝
[00:00:13.000 --> 00:00:16.000]  我們獻上感恩,我們獻上讚美
[00:00:16.000 --> 00:00:19.000]  多謝你賜下寶貴的話語
[00:00:19.000 --> 00:00:22.000]  讓我們能夠更加去認識你
[00:00:22.000 --> 00:00:25.000]  我願將以下的時間交在你的手
[00:00:25.000 --> 00:00:27.000]  求你親自帶領
[00:00:27.000 --> 00:00:31.000]  讓我們說的和聽的都有得著
[00:00:31.000 --> 00:00:34.000]  祈禱奉主聖名祈求,阿們
[00:00:34.000 --> 00:00:37.000]  這幾年來因為疫情
[00:00:37.000 --> 00:00:40.000]  我們外出都經常戴著口罩
[00:00:40.000 --> 00:00:42.000]  不知道你有沒有試過
[00:00:42.000 --> 00:00:46.000]  因為戴著口罩就認錯人
[00:00:46.000 --> 00:00:49.000]  我試過有一次在街上
[00:00:49.000 --> 00:00:53.000]  走過去叫一個戴著口罩的女士
[00:00:53.000 --> 00:00:55.000]  大聲地跟她說
[00:00:55.000 --> 00:00:57.000]  很久沒見你阿姨
[00:00:57.000 --> 00:01:00.000]  後來我才發現原來我認錯了人
[00:01:00.000 --> 00:01:02.000]  還要叫人家阿姨
[00:01:02.000 --> 00:01:04.000]  所以都很尷尬
[00:01:04.000 --> 00:01:08.000]  但認錯人都不及看錯人那麼嚴重
[00:01:08.000 --> 00:01:10.000]  因為看錯的人
[00:01:10.000 --> 00:01:13.000]  通常都是我們認識了一段時間的人
[00:01:13.000 --> 00:01:16.000]  看錯人的結果可以是正面
[00:01:16.000 --> 00:01:18.000]  也可以是負面
[00:01:18.000 --> 00:01:20.000]  原來你是這樣的人
[00:01:20.000 --> 00:01:22.000]  我看錯了你
[00:01:22.000 --> 00:01:24.000]  原來你是這樣的人
[00:01:24.000 --> 00:01:27.000]  不好意思,我一直以來都看錯了你
[00:01:27.000 --> 00:01:30.000]  剛才這些情況都只會是
[00:01:30.000 --> 00:01:32.000]  造成我們人與人之間
[00:01:32.000 --> 00:01:34.000]  相處的尷尬或者誤會
[00:01:34.000 --> 00:01:38.000]  但今天想和大家分享的這段經文
[00:01:38.000 --> 00:01:41.000]  就是提醒我們千萬不要認錯神
[00:01:41.000 --> 00:01:45.000]  以致影響了我們基督徒的生命
[00:01:45.000 --> 00:01:47.000]  影響了我們去認識
