
[00:00:00.000 --> 00:00:03.000]  今早讓我們思想一下
[00:00:03.000 --> 00:00:08.000]  穿越苦難的能力
[00:00:08.000 --> 00:00:11.000]  自己很深深地覺得
[00:00:11.000 --> 00:00:14.000]  在現在這個世代裏
[00:00:14.000 --> 00:00:16.000]  在這個社會
[00:00:16.000 --> 00:00:19.000]  世界的一個大環境之下
[00:00:19.000 --> 00:00:23.000]  我們基督徒很需要一種能力
[00:00:23.000 --> 00:00:25.000]  是甚麼能力呢?
[00:00:25.000 --> 00:00:29.000]  就是穿越苦難的能力
[00:00:29.000 --> 00:00:31.000]  為甚麼呢?
[00:00:31.000 --> 00:00:33.000]  因為在這個世代裏
[00:00:33.000 --> 00:00:35.000]  我們很如實地
[00:00:35.000 --> 00:00:39.000]  很真實地在經歷一些苦難
[00:00:39.000 --> 00:00:42.000]  一些患難的難度
[00:00:42.000 --> 00:00:45.000]  而使我們很艱難
[00:00:45.000 --> 00:00:47.000]  至少可以這樣說
[00:00:47.000 --> 00:00:50.000]  比從前更加艱難
[00:00:50.000 --> 00:00:53.000]  我們會有很多的迷惘
[00:00:53.000 --> 00:00:56.000]  很多的挫敗感
[00:00:56.000 --> 00:00:59.000]  也有很多的無奈
[00:00:59.000 --> 00:01:02.000]  但是每一天我們都要去面對
[00:01:02.000 --> 00:01:06.000]  所以既然這個環境是這樣的話
[00:01:06.000 --> 00:01:11.000]  我們就盼望我們能夠有一種能力去面對
[00:01:11.000 --> 00:01:13.000]  去面對這些的困難
[00:01:13.000 --> 00:01:16.000]  這些的苦楚
[00:01:16.000 --> 00:01:21.000]  使我們仍然可以因然地生活
[00:01:21.000 --> 00:01:23.000]  所以求主幫助我們
[00:01:23.000 --> 00:01:25.000]  可以在祂的裏面
[00:01:25.000 --> 00:01:28.000]  可以在祂的話語裏面得著幫助
[00:01:28.000 --> 00:01:31.000]  得著指引
[00:01:31.000 --> 00:01:35.000]  既然我們都很想得著這種能力
[00:01:35.000 --> 00:01:40.000]  究竟可以向誰去學呢?
[00:01:40.000 --> 00:01:45.000]  有誰在這方面給我們有很好的指引
[00:01:45.000 --> 00:01:49.000]  又有很好的見證呢?
[00:01:49.000 --> 00:01:52.000]  如果你問我
[00:01:52.000 --> 00:01:55.000]  我最講的一位很熟悉的人物
[00:01:55.000 --> 00:01:58.000]  相信大家都猜得到
[00:01:58.000 --> 00:02:03.000]  就是向保羅學習
[00:02:03.000 --> 00:02:07.000]  仕途保羅在這一方面
[00:02:07.000 --> 00:02:10.000]  是真的有美好的見證
[00:02:10.000 --> 00:02:16.000]  他亦往往經歷過一些事情之後
[00:02:16.000 --> 00:02:18.000]  成功了
[00:02:18.000 --> 00:02:23.000]  他又將這些經歷一些的亮光指引
[00:02:23.000 --> 00:02:25.000]  告訴我們
[00:02:25.000 --> 00:02:30.000]  所以我們是很值得向保羅學習
[00:02:30.000 --> 00:02:35.000]  有時候我想起保羅面對苦難的時候
[00:02:35.000 --> 00:02:39.000]  我覺得我想想一個名詞去形容他
[00:02:39.000 --> 00:02:42.000]  是一個什麼名詞呢?
[00:02:42.000 --> 00:02:44.000]  或者你都用過也說不定
[00:02:44.000 --> 00:02:49.000]  我都覺得這樣去描述保羅都挺對的
[00:02:49.000 --> 00:02:52.000]  他是什麼人物呢?
[00:02:52.000 --> 00:02:58.000]  他是一個穿越苦難的北島翁
[00:02:58.000 --> 00:03:04.000]  他是一個穿越苦難的北島翁
[00:03:04.000 --> 00:03:07.000]  很多苦難淋到他身上
[00:03:07.000 --> 00:03:08.000]  他都經歷
[00:03:08.000 --> 00:03:10.000]  他不迴避
[00:03:10.000 --> 00:03:12.000]  他是穿越這些苦難
[00:03:12.000 --> 00:03:18.000]  但是他繼續是一個北島翁
[00:03:18.000 --> 00:03:21.000]  當我準備這次講題的時候
[00:03:21.000 --> 00:03:25.000]  我又忽然間想起我二月的講題
[00:03:25.000 --> 00:03:28.000]  在逆境中堅強的時候
[00:03:28.000 --> 00:03:31.000]  其實講的都是保羅
[00:03:31.000 --> 00:03:34.000]  講的都是哥倫多後書
[00:03:34.000 --> 00:03:36.000]  大家有沒有留意到
[00:03:36.000 --> 00:03:38.000]  今天是哥倫多後書的第一章
[00:03:38.000 --> 00:03:41.000]  上一次用的經文是哥倫多後書的第四章
[00:03:41.000 --> 00:03:43.000]  第七到八節
[00:03:43.000 --> 00:03:45.000]  然後忽然間我又想起
[00:03:45.000 --> 00:03:51.000]  保羅曾經列出他的受苦的清單
[00:03:51.000 --> 00:03:52.000]  江河的危險
[00:03:52.000 --> 00:03:53.000]  盜賊的危險
[00:03:53.000 --> 00:03:54.000]  哪裡又害我
[00:03:54.000 --> 00:03:55.000]  哪裡又患難
