
[00:00:00.000 --> 00:00:04.800]  持續了四個多月的新冠狀病毒全球蔓延
[00:00:04.800 --> 00:00:09.120]  持續了四個多月的新冠狀病毒在全球蔓延
[00:00:09.120 --> 00:00:11.240]  成為一個所謂的流行病
[00:00:11.240 --> 00:00:13.240]  成為一個所謂的流行病
[00:00:13.240 --> 00:00:18.880]  嚴重的,好像歐美的國家也是一個很嚴重的感染
[00:00:18.880 --> 00:00:22.600]  嚴重好像歐美國家一樣有一個很嚴重的感染
[00:00:22.600 --> 00:00:25.560]  全球感染的人數邁向三百萬
[00:00:25.560 --> 00:00:28.600]  全球感染的人數邁向三百萬
[00:00:28.600 --> 00:00:30.960]  死亡的人數也超過二十多萬
[00:00:30.960 --> 00:00:32.880]  死亡人數已經超過二十萬
[00:00:32.880 --> 00:00:36.360]  大部分的國家現在都採取封關的措施
[00:00:36.360 --> 00:00:39.720]  大部分的國家現在採取封關的措施
[00:00:39.720 --> 00:00:42.680]  強制市民的社交外出
[00:00:42.680 --> 00:00:45.200]  強制市民的社交外出
[00:00:45.200 --> 00:00:48.120]  所有的社交場合也都封閉
[00:00:48.120 --> 00:00:49.920]  所有的社交場合也都封閉
[00:00:49.920 --> 00:00:51.760]  減低感染的風險
[00:00:51.760 --> 00:00:53.640]  減低感染的風險
[00:00:53.640 --> 00:00:59.400]  更加可怕是整個醫療系統出現一個超負荷的情況
[00:00:59.400 --> 00:01:03.880]  更可怕的是醫療系統有一個超負荷的情況出現
[00:01:03.880 --> 00:01:03.920]  更可怕的是醫療系統有一個超負荷的情況出現
[00:01:03.920 --> 00:01:05.720]  我美國的朋友告訴我
[00:01:05.720 --> 00:01:07.200]  我美國的朋友告訴我
[00:01:07.200 --> 00:01:09.720]  他說如果你懷疑自己受到感染
[00:01:09.720 --> 00:01:11.400]  他說如果你懷疑自己受到感染
[00:01:11.400 --> 00:01:13.560]  政府是不會給你提供測試的
[00:01:13.560 --> 00:01:15.520]  政府是不會給你提供測試的
[00:01:15.520 --> 00:01:17.000]  直至你病發
[00:01:17.000 --> 00:01:17.960]  直至你病發
[00:01:17.960 --> 00:01:20.120]  或者有一個嚴重的階段才給你測試
[00:01:20.120 --> 00:01:22.000]  或者有一個嚴重的階段才給你測試
[00:01:22.000 --> 00:01:23.920]  因為缺乏測試的疫苗
[00:01:23.920 --> 00:01:26.040]  因為缺乏測試的疫苗
[00:01:26.040 --> 00:01:29.400]  有些國家甚至連提供一張病床都無能為力
