
[00:00:00.000 --> 00:00:02.240]  很多時候當我們在復活節的時候
[00:00:02.240 --> 00:00:05.720]  我們都是紀念到耶穌基督從死裏面復活
[00:00:05.720 --> 00:00:08.520]  使得我們可以輕易
[00:00:08.520 --> 00:00:13.180]  但是當我們看回正如剛纔所讀的羅馬書第一章
[00:00:13.180 --> 00:00:16.320]  基本上我是想看第四節
[00:00:16.320 --> 00:00:20.020]  不過如果只是讀一次聖經好像不太夠
[00:00:20.020 --> 00:00:24.080]  那就讀頭頭兩三節
[00:00:24.080 --> 00:00:25.840]  但是請大家特別留意的是
[00:00:25.840 --> 00:00:29.080]  其實復活節我們除了紀念耶穌基督
[00:00:29.080 --> 00:00:31.200]  祂從死裏面復活之外
[00:00:31.200 --> 00:00:32.720]  其實我們要問一件事
[00:00:32.720 --> 00:00:35.400]  祂爲何要從死裏面復活呢?
[00:00:35.400 --> 00:00:40.140]  或者說祂從死裏面復活的意義是什麼呢?
[00:00:40.140 --> 00:00:44.680]  所以在這裏保羅就告訴我們
[00:00:44.680 --> 00:00:46.840]  按聖潔的靈說
[00:00:46.840 --> 00:00:48.560]  我是從新葉館那裏讀的
[00:00:48.560 --> 00:00:50.800]  因爲從死人中復活
[00:00:50.800 --> 00:00:56.720]  顯明祂是大有能力的神的兒子
[00:00:56.720 --> 00:00:58.840]  耶穌基督的復活
[00:00:58.840 --> 00:01:04.400]  當然與我們的救恩有絕對的關係
[00:01:04.400 --> 00:01:07.840]  但是這個關係是從哪裏衍生的呢?
[00:01:07.840 --> 00:01:11.080]  是從祂因爲祂是神那裏出來的
[00:01:11.080 --> 00:01:12.320]  唯有祂是神
[00:01:12.320 --> 00:01:16.680]  祂才能夠做到這一切的事情
[00:01:16.680 --> 00:01:20.720]  祂可以成爲無罪的
[00:01:20.720 --> 00:01:22.200]  代替我們有罪的
[00:01:22.200 --> 00:01:25.440]  在十字架上死亡
[00:01:25.440 --> 00:01:26.680]  正因爲祂是神
[00:01:26.680 --> 00:01:29.640]  祂有赦罪的權並
[00:01:29.640 --> 00:01:31.880]  所以說很重要的一件事就是
[00:01:31.880 --> 00:01:34.160]  從死人中復活
[00:01:34.160 --> 00:01:37.600]  顯明祂是大有能力的神的兒子
[00:01:37.600 --> 00:01:40.920]  當我們看回的時候
[00:01:40.920 --> 00:01:44.480]  耶穌的一生
[00:01:44.480 --> 00:01:47.120]  當然我們說祂是道成肉身
[00:01:47.120 --> 00:01:49.840]  但是我們再看回福音書的時候
[00:01:49.840 --> 00:01:51.160]  當祂出
[00:01:51.160 --> 00:01:58.440]  或者說當聖靈將胎兒
[00:01:58.440 --> 00:02:04.640]  耶穌基督放在瑪利亞的福中的時候
[00:02:04.640 --> 00:02:05.920]  在那裏
[00:02:05.920 --> 00:02:07.200]  老家怎麼說呢?
[00:02:07.200 --> 00:02:12.280]  其實是在大能者的陰祕下
[00:02:12.280 --> 00:02:19.360]  瑪利亞就接受了從天上而來的胎兒
[00:02:19.360 --> 00:02:21.640]  在那一刻開始
[00:02:21.640 --> 00:02:25.760]  都是神的一個屬性在那裏
[00:02:25.760 --> 00:02:27.880]  唯有在祂出生的時候
[00:02:27.880 --> 00:02:29.680]  道成肉身
[00:02:29.680 --> 00:02:34.240]  祂的一生就是說祂整個在人那裏
[00:02:34.240 --> 00:02:36.920]  作爲人祂的一個生活
[00:02:36.920 --> 00:02:39.400]  祂的一個活動
[00:02:39.400 --> 00:02:41.280]  但是當祂從死裏復活的時候
[00:02:41.280 --> 00:02:42.840]  就在這裏說
[00:02:42.840 --> 00:02:44.760]  再一次證明祂是神的兒子
[00:02:44.760 --> 00:02:46.920]  其實祂本身就是神的兒子
[00:02:46.920 --> 00:02:52.560]  只不過祂在世的時候
[00:02:52.560 --> 00:02:57.480]  祂將本來是屬於祂的神的團並
[00:02:57.480 --> 00:03:00.000]  神的尊榮種種
[00:03:00.000 --> 00:03:02.280]  保留在菲律賓書裏告訴我們
[00:03:02.280 --> 00:03:05.080]  是放下祂倒空自己
[00:03:05.080 --> 00:03:10.720]  爲了要成就我們的救贖
[00:03:10.720 --> 00:03:13.240]  所以當我們在這個復活節的時候
[00:03:13.240 --> 00:03:17.200]  當我們在這個紀念耶穌基督從死裏復活的時候
[00:03:17.200 --> 00:03:20.000]  不要忘記一件事
[00:03:20.000 --> 00:03:22.920]  復活的意思是什麼
[00:03:22.920 --> 00:03:24.720]  再一次告訴我們
[00:03:24.720 --> 00:03:27.440]  耶穌基督是神
[00:03:27.440 --> 00:03:29.240]  或者說我們今天所信的
[00:03:29.240 --> 00:03:33.120]  我們是信那位全能至高者的神
[00:03:33.120 --> 00:03:35.000]  很多時候我們說信耶穌信耶穌
[00:03:35.000 --> 00:03:36.640]  但是我們有沒有想到
[00:03:36.640 --> 00:03:38.760]  原來耶穌就是神
[00:03:38.760 --> 00:03:40.720]  祂就是三一神
