
[00:00:00.000 --> 00:00:04.200]  今天分享的題目是從醫治到拯救
[00:00:04.200 --> 00:00:08.280]  我不知道你有沒有試過收到很開心的禮物
[00:00:08.280 --> 00:00:09.760]  但是你收完之後
[00:00:09.760 --> 00:00:13.920]  你開心到你忘記了去感謝送禮物給你的那個
[00:00:13.920 --> 00:00:17.640]  我小時候這件事情就常常發生在我身上的
[00:00:17.640 --> 00:00:20.960]  因為其實我爸爸就很疼我們全家
[00:00:20.960 --> 00:00:22.480]  我爸爸也很疼我
[00:00:22.480 --> 00:00:24.880]  但是小時候爸爸做生意很忙
[00:00:24.880 --> 00:00:26.280]  所以我不是經常看到我爸爸
[00:00:26.280 --> 00:00:28.440]  但是每一次爸爸在家裡面的時候
[00:00:28.440 --> 00:00:31.680]  他也會用不同的方式讓我們去經歷愛
[00:00:31.680 --> 00:00:34.760]  我很記得有一次我快要生日了
[00:00:34.760 --> 00:00:36.520]  於是我媽媽就問我
[00:00:36.520 --> 00:00:39.320]  你想要什麼生日禮物?
[00:00:39.320 --> 00:00:43.600]  我就跟媽媽說我想要一架玩具飛機
[00:00:43.600 --> 00:00:46.240]  過了一段時間
[00:00:46.240 --> 00:00:47.440]  有一天吃完早餐
[00:00:47.440 --> 00:00:48.760]  我媽媽就說
[00:00:48.760 --> 00:00:49.920]  你進爸爸的房間吧
[00:00:49.920 --> 00:00:51.840]  爸爸要跟你說
[00:00:51.840 --> 00:00:54.080]  小時候不是常常看到爸爸的
[00:00:54.080 --> 00:00:56.040]  通常要進爸爸的房間
[00:00:56.480 --> 00:00:58.480]  也是我做了一些錯事
[00:00:58.480 --> 00:01:00.280]  所以我就說
[00:01:00.280 --> 00:01:02.080]  進爸爸的房間?
[00:01:02.080 --> 00:01:04.600]  我又回想一下最近有沒有頑皮過呢?
[00:01:04.600 --> 00:01:06.640]  有沒有做過錯事呢?
[00:01:06.640 --> 00:01:09.400]  帶著很擔心的心進了爸爸的房間
[00:01:09.400 --> 00:01:10.280]  進了爸爸的房間之後
[00:01:10.280 --> 00:01:11.240]  爸爸就跟我說
[00:01:11.240 --> 00:01:12.720]  他說媽媽跟我說
[00:01:12.720 --> 00:01:15.480]  你很想要一架飛機做生日禮物
[00:01:15.480 --> 00:01:17.520]  這架玩具飛機是送給你的
[00:01:17.520 --> 00:01:20.840]  那一刻我又擔心變為極度開心
[00:01:20.840 --> 00:01:21.720]  於是一開門那一刻
[00:01:21.720 --> 00:01:23.400]  哇!飛機啊!
[00:01:23.400 --> 00:01:24.200]  想著那架飛機
[00:01:24.200 --> 00:01:25.080]  然後飛走了
