
[00:00:00.000 --> 00:00:07.440]  有一個來自意大利的大提琴家
[00:00:07.440 --> 00:00:10.480]  他同時是一個作曲家
[00:00:10.480 --> 00:00:12.720]  亦是一個指揮家
[00:00:12.720 --> 00:00:17.480]  他的名字叫做帕布羅·卡薩爾斯
[00:00:17.480 --> 00:00:22.400]  英文翻譯為西班牙文
[00:00:22.400 --> 00:00:30.480]  他是被譽為二十世紀最傑出的大提琴家
[00:00:30.480 --> 00:00:37.920]  亦是有史以來最偉大的大提琴家之一
[00:00:37.920 --> 00:00:40.160]  他年紀很大
[00:00:40.160 --> 00:00:43.720]  到他九十五歲的時候
[00:00:43.720 --> 00:00:47.200]  他接受一位年輕人的訪問
[00:00:47.200 --> 00:00:56.200]  他說:「卡薩爾斯先生,你已經九十五歲了
[00:00:56.200 --> 00:01:01.600]  你亦是有史以來最偉大的大提琴手
[00:01:01.600 --> 00:01:07.920]  為何你每天仍然要練習六小時琴呢?」
[00:01:07.920 --> 00:01:12.520]  九十五歲,很厲害吧?
[00:01:12.520 --> 00:01:25.080]  這位殿堂級的大提琴家回答:「因為我覺得我還在進步中」
[00:01:25.080 --> 00:01:32.840]  成性是一個很漫長的歷程
[00:01:32.840 --> 00:01:39.960]  我不知道大家覺得你在信仰路上走得怎樣
[00:01:39.960 --> 00:01:44.720]  很快去到尼西米記第十三章
[00:01:44.720 --> 00:01:49.600]  亦是成卷書最後一章
[00:01:49.600 --> 00:01:53.680]  還記得在第九章的時候
[00:01:53.680 --> 00:01:57.560]  那次我和大家分享訊息
[00:01:57.560 --> 00:02:01.440]  題目是「或壓為忌」
[00:02:01.440 --> 00:02:07.200]  講述以色列民和上帝重新一次去納約
[00:02:07.200 --> 00:02:11.240]  不過經過了第十章、第十一章
[00:02:11.240 --> 00:02:15.640]  甚至第十二章的城牆奉獻禮
[00:02:15.640 --> 00:02:24.480]  這群以色列民的生命仍然有很多需要修正的地方
[00:02:24.480 --> 00:02:29.840]  我想請大家一起讀讀頭三節
[00:02:29.840 --> 00:02:31.160]  預備起
[00:02:31.160 --> 00:02:35.360]  當日人唸摩西的律法書給百姓聽
[00:02:35.360 --> 00:02:37.640]  御見書上寫著說
[00:02:37.640 --> 00:02:41.720]  「阿們人和摩訶人永不可入神的會
[00:02:41.720 --> 00:02:46.480]  因為他們沒有拿食物和水來迎接以色列人
[00:02:46.480 --> 00:02:49.280]  且僱了巴蘭就助他們
[00:02:49.280 --> 00:02:52.880]  但我們的神使那就助便為祝福」
[00:02:52.880 --> 00:02:55.160]  以色列民聽見這律法
[00:02:55.160 --> 00:02:58.880]  就與一切閒雜人絕交
[00:02:58.880 --> 00:03:02.880]  第一節一開始就提到「當日」
[00:03:02.880 --> 00:03:05.680]  這個「當日」究竟是何時呢?
[00:03:05.680 --> 00:03:09.120]  不同的聖經學者有不同的解說
[00:03:09.120 --> 00:03:12.480]  有些人說是一個籠統的時段
[00:03:12.480 --> 00:03:18.440]  有些人說是奉獻城牆的時候
[00:03:18.440 --> 00:03:19.920]  無論如何
[00:03:19.920 --> 00:03:25.720]  尼歇米尼在這裡要求這群以色列民
[00:03:25.720 --> 00:03:31.200]  將阿們人和摩訶人排除在神的會
[00:03:31.200 --> 00:03:33.920]  即是崇拜之外
[00:03:33.920 --> 00:03:39.400]  目的是要將以色列人和外邦人分別出來
[00:03:39.400 --> 00:03:42.360]  他繼續在第二節提到
[00:03:42.360 --> 00:03:45.600]  其實在歷史當中多年以來
[00:03:45.600 --> 00:03:47.720]  阿們人和摩訶人
[00:03:47.720 --> 00:03:53.560]  都是不斷地搞擾這群以色列民
[00:03:53.560 --> 00:03:58.880]  當這群以色列民聽見律法書是這樣說
[00:03:58.880 --> 00:04:01.600]  於是經文在第三節就說
[00:04:01.600 --> 00:04:05.480]  他們「與一切閒雜人絕交」
[00:04:05.480 --> 00:04:09.200]  「絕交」就譯得強烈一點
[00:04:09.200 --> 00:04:13.680]  其實只是說跟他們分離而已
[00:04:13.680 --> 00:04:19.480]  他們不容許這群外邦人進入聖殿敬拜
[00:04:19.480 --> 00:04:23.000]  目的是不想他們受到
[00:04:23.000 --> 00:04:27.000]  這些異族惡習去影響他們
[00:04:27.000 --> 00:04:29.200]  只是這樣說而已
[00:04:29.200 --> 00:04:34.240]  不過做起來又是另一回事
[00:04:34.240 --> 00:04:41.440]  究竟這群以色列民是怎樣破壞神的律法呢?
[00:04:41.440 --> 00:04:47.160]  第十三章一共提到有四方面
[00:04:47.160 --> 00:04:52.000]  第一方面是第四至第九節
[00:04:52.000 --> 00:04:53.400]  經文這樣說
[00:04:53.400 --> 00:04:57.880]  先是蒙派管理我們神殿中庫房的祭司
[00:04:57.880 --> 00:05:01.080]  以利亞什與多比亞結親
[00:05:01.080 --> 00:05:03.640]  便為他預備一間大屋子
[00:05:03.640 --> 00:05:08.080]  就是從前修傳掃祭、雨香、氣鳴
[00:05:08.080 --> 00:05:10.360]  和照命令供給利美人
[00:05:10.360 --> 00:05:13.960]  歌唱的、守門的、五穀、新酒
[00:05:13.960 --> 00:05:15.480]  和油的十分之一
[00:05:15.480 --> 00:05:19.160]  並歸祭司舉祭的屋子
[00:05:19.160 --> 00:05:21.040]  那時我不在耶路撒冷
[00:05:21.040 --> 00:05:24.760]  因為巴比倫王亞達洩西三十二年
[00:05:24.760 --> 00:05:27.800]  我回到王那裡過了多日
[00:05:27.800 --> 00:05:30.080]  我向王告假
[00:05:30.080 --> 00:05:31.400]  我來到耶路撒冷
[00:05:31.400 --> 00:05:35.800]  便知道以利亞什為多比亞在神殿的院內
[00:05:35.800 --> 00:05:39.120]  預備屋子的那件惡事
[00:05:39.120 --> 00:05:40.360]  我甚惱怒
[00:05:40.360 --> 00:05:45.520]  便把多比亞的一切家具從屋裡都拋出去
[00:05:45.520 --> 00:05:47.800]  吩咐人結證這屋子
[00:05:47.800 --> 00:05:53.720]  把神殿的氣鳴和掃祭、雨香又搬進去
[00:05:53.720 --> 00:05:57.200]  看到剛才第六節的描述
[00:05:57.200 --> 00:06:00.480]  便會知道這件事發生在
[00:06:00.480 --> 00:06:04.320]  尼西米不在耶路撒冷的時候
[00:06:04.320 --> 00:06:06.320]  當時他是省長
[00:06:06.320 --> 00:06:10.520]  但是他要回去見亞達洩西王
[00:06:10.520 --> 00:06:11.880]  在那段時間
[00:06:11.880 --> 00:06:16.320]  當他沒有盯緊這群以色列民
[00:06:16.320 --> 00:06:18.320]  又出事了
[00:06:18.320 --> 00:06:19.880]  第四節這樣說
[00:06:19.880 --> 00:06:25.480]  「先是蒙派管理我們神殿中庫房的祭司以利亞什
[00:06:25.480 --> 00:06:28.080]  與多比亞結親」
[00:06:28.080 --> 00:06:29.560]  多比亞是誰呢?
[00:06:29.560 --> 00:06:32.080]  這個大名可能大家都有點印象
[00:06:32.080 --> 00:06:36.000]  因為在尼西米記第二、第四、第六章
[00:06:36.000 --> 00:06:42.480]  都分別描述他大力反對以色列民重建城牆
[00:06:42.480 --> 00:06:44.200]  而以利亞什呢?
[00:06:44.200 --> 00:06:46.760]  這裡告訴我們他是祭司
[00:06:46.760 --> 00:06:54.280]  他明知道上帝是禁止以色列民跟外族通婚
[00:06:54.280 --> 00:06:57.840]  但這裡說他跟他們結親
[00:06:57.840 --> 00:06:59.840]  所以無可置疑
[00:06:59.840 --> 00:07:03.200]  他是在踐踏神的律法
[00:07:03.200 --> 00:07:04.680]  不僅如此
[00:07:04.680 --> 00:07:08.040]  以利亞什還要為多比亞
[00:07:08.040 --> 00:07:12.680]  在神殿的院內預備一間屋
[00:07:12.680 --> 00:07:18.200]  經文說本來這間屋是用來存放百姓的貢獻
[00:07:18.200 --> 00:07:21.000]  以及給祭司使用
[00:07:21.000 --> 00:07:24.680]  是一個聖潔的房間
[00:07:24.680 --> 00:07:26.680]  既然是聖潔的房間
[00:07:26.680 --> 00:07:29.920]  平民百姓都不能進去
[00:07:29.920 --> 00:07:34.560]  竟然用來給多比亞用
[00:07:34.560 --> 00:07:37.440]  玷污這個地方
[00:07:37.440 --> 00:07:39.440]  尼西米知道這件事
[00:07:39.440 --> 00:07:46.320]  馬上採取一些相當強硬的行動去撥亂反正
[00:07:46.320 --> 00:07:54.520]  那裡形容他將多比亞的家屍全都扔出去
[00:07:54.520 --> 00:07:56.200]  重新結正
[00:07:56.200 --> 00:08:00.120]  將這間屋恢復原狀
[00:08:00.120 --> 00:08:03.640]  因為尼西米深深知道
[00:08:03.640 --> 00:08:06.840]  沒有經過糾正的錯誤
[00:08:06.840 --> 00:08:09.600]  只會變本加厲
[00:08:09.600 --> 00:08:14.080]  像雪球一樣越滾越大
[00:08:14.080 --> 00:08:15.600]  有朝一日
[00:08:15.600 --> 00:08:21.240]  他們必然會承受這個惡果
