
[00:00:00.000 --> 00:00:01.280]  各位親愛的電影節目你們好
[00:00:01.280 --> 00:00:04.080]  我們又開始星期三的《茶經》了
[00:00:04.080 --> 00:00:05.680]  從歲守到年終
[00:00:05.680 --> 00:00:07.600]  神眷顧我們很重要的一句話
[00:00:07.600 --> 00:00:11.940]  就是我們天天仰望天天的彌大去抱擁
[00:00:11.940 --> 00:00:15.360]  剛剛在預備4月的《時詩記》
[00:00:15.360 --> 00:00:18.060]  第一章講到他們怎樣成功呢?
[00:00:18.060 --> 00:00:19.480]  成功有一樣東西
[00:00:19.480 --> 00:00:22.700]  第一點就是他們要不斷禱告仰望神
[00:00:22.700 --> 00:00:25.280]  如果我們每天禱告仰望神的時候
[00:00:25.280 --> 00:00:28.040]  我們必定得到那個力量
[00:00:28.040 --> 00:00:32.060]  我們今天會看到最後兩次登山變相
[00:00:32.060 --> 00:00:33.360]  我們來看後傳
[00:00:33.360 --> 00:00:35.620]  就是《深藥歷微》
[00:00:35.620 --> 00:00:38.560]  我們過去看到耶穌與三個愛徒
[00:00:38.560 --> 00:00:41.940]  彼得、雅各、約翰登山
[00:00:41.940 --> 00:00:44.820]  然後耶穌就變了他的形象
[00:00:44.820 --> 00:00:49.100]  就讓你看到主耶穌基督榮耀的真相
[00:00:49.100 --> 00:00:52.820]  因為耶穌下山後沒多久就要去耶路撒冷
[00:00:52.820 --> 00:00:55.300]  為人的員工被釘十字架
[00:00:55.300 --> 00:00:56.620]  受苦受死
[00:00:56.620 --> 00:00:59.640]  所以讓你們看到耶穌的真相
[00:00:59.640 --> 00:01:04.020]  讓他們有信心、有能力去面對更大的挑戰
[00:01:04.020 --> 00:01:06.860]  承擔更偉大的使命
[00:01:06.860 --> 00:01:10.420]  但是其實當他們下山的時候
[00:01:10.420 --> 00:01:13.420]  他們就已經遇到不同的挑戰了
[00:01:13.420 --> 00:01:15.660]  記不記得我們說
[00:01:15.660 --> 00:01:20.220]  上山休息就是為了下山面對挑戰
[00:01:20.220 --> 00:01:23.460]  有時候我們都需要停下來休息一下
