
[00:00:00.000 --> 00:00:02.640]  昨晚是中秋的追月
[00:00:02.640 --> 00:00:04.800]  不知道大家有沒有去追月
[00:00:04.800 --> 00:00:05.840]  看看月亮
[00:00:05.840 --> 00:00:09.400]  昨天我看到月亮仍然很明亮
[00:00:09.400 --> 00:00:12.680]  求神讓我們今天在聖經中
[00:00:12.680 --> 00:00:15.720]  同樣能夠找到一些亮光
[00:00:15.720 --> 00:00:18.080]  使我們能夠明白主道
[00:00:18.080 --> 00:00:19.080]  遵主道而行
[00:00:19.080 --> 00:00:20.640]  我們一起同心禱告
[00:00:20.640 --> 00:00:26.720]  好,我們一起禱告
[00:00:28.520 --> 00:00:30.520]  感謝主,我們讚美你
[00:00:30.520 --> 00:00:33.080]  今天是首聖餐的主日
[00:00:33.080 --> 00:00:34.720]  感謝主帶領各位頂子妹
[00:00:34.720 --> 00:00:37.000]  來到教會去敬拜你
[00:00:37.000 --> 00:00:39.240]  去聆聽你的話語
[00:00:39.240 --> 00:00:40.640]  求神賜我們每一位
[00:00:40.640 --> 00:00:43.200]  都有一顆受教的心
[00:00:43.200 --> 00:00:44.520]  幫助我們
[00:00:44.520 --> 00:00:47.280]  叫我們專心地聆聽你的話語
[00:00:47.280 --> 00:00:50.400]  而不是去幫別人去聆聽
[00:00:50.400 --> 00:00:51.280]  求主在這一刻
[00:00:51.280 --> 00:00:53.520]  讓我們同在聖靈引領
[00:00:53.520 --> 00:00:56.640]  叫孩子和頂子妹以謙卑的心
[00:00:56.640 --> 00:00:59.120]  去領受上帝的教導
[00:00:59.120 --> 00:00:59.960]  感恩教託
[00:00:59.960 --> 00:01:01.320]  奉主耶穌基督
[00:01:01.320 --> 00:01:02.640]  得聖的名祈求
[00:01:02.640 --> 00:01:03.360]  阿們
[00:01:03.360 --> 00:01:09.800]  在9月至到11月
[00:01:09.800 --> 00:01:12.520]  我們教目都是以《使徒行傳》
[00:01:12.520 --> 00:01:15.200]  和各位頂子妹去宣講
[00:01:15.200 --> 00:01:18.360]  去和大家分享的
[00:01:18.360 --> 00:01:20.200]  今天我會用《使徒行傳》
[00:01:20.200 --> 00:01:24.400]  九章十字到三十一節
