
[00:00:00.000 --> 00:00:05.000]  (主席)很高興能夠跟大家繼續看推後推拉這個教會
[00:00:05.000 --> 00:00:07.000]  (主席)讓我看看經文
[00:00:07.000 --> 00:00:09.000]  (主席)推後推拉這個教會
[00:00:09.000 --> 00:00:14.000]  (主席)上一次我已經和大家給了一個introduction
[00:00:14.000 --> 00:00:17.000]  (主席)啟熟裏面第2,3,4,5,6,7個教會
[00:00:17.000 --> 00:00:21.000]  (主席)推後推拉應該是第4個教會
[00:00:21.000 --> 00:00:27.000]  (主席)這個教會的篇幅是很長的
[00:00:27.000 --> 00:00:31.000]  (主席)它的篇幅長到差不多7個教會的書信裏面
[00:00:31.000 --> 00:00:37.000]  (主席)這個教會的篇幅比士美娜教會的篇幅長3倍
[00:00:37.000 --> 00:00:40.000]  (主席)是不是等於很多東西要講呢?
[00:00:40.000 --> 00:00:41.000]  (主席)也未必一定
[00:00:41.000 --> 00:00:43.000]  (主席)我們入正題
[00:00:43.000 --> 00:00:45.000]  (主席)看看第18節開始
[00:00:45.000 --> 00:00:49.000]  (主席)你要寫信給推後推拉教會的使者
[00:00:49.000 --> 00:00:53.000]  (主席)說神的兒子那為眼睛如火焰
[00:00:53.000 --> 00:00:57.000]  (主席)雙腳像發亮的銅的這樣說
[00:00:57.000 --> 00:01:01.000]  (主席)這個形容眼目如同火焰
[00:01:01.000 --> 00:01:02.000]  (主席)眼睛如火焰
[00:01:02.000 --> 00:01:04.000]  (主席)雙腳像發亮的銅
[00:01:04.000 --> 00:01:06.000]  (主席)我都曾經和大家說過
[00:01:06.000 --> 00:01:10.000]  (主席)在啟述的第1章已經形容過
[00:01:10.000 --> 00:01:13.000]  (主席)當它形容到主耶穌基督的時候
[00:01:13.000 --> 00:01:15.000]  (主席)在啟述第1章所形容的
[00:01:15.000 --> 00:01:17.000]  (主席)兩目如同火焰
[00:01:17.000 --> 00:01:18.000]  (主席)腳像光明
[00:01:18.000 --> 00:01:20.000]  (主席)同口吐出兩刃利劍
[00:01:20.000 --> 00:01:22.000]  (主席)聲音好像大水的聲音
[00:01:22.000 --> 00:01:26.000]  (主席)這些全部都是聽起來都幾恐怖
[00:01:26.000 --> 00:01:27.000]  (主席)幾嚇人的
[00:01:27.000 --> 00:01:29.000]  (主席)即是嚇怕你那種意思
[00:01:29.000 --> 00:01:31.000]  (主席)為何會這樣呢?
[00:01:31.000 --> 00:01:32.000]  (主席)我再提一次
[00:01:32.000 --> 00:01:37.000]  (主席)因為這個是主耶穌基督去審判這個形象
[00:01:37.000 --> 00:01:39.000]  (主席)是作為一個審判官的形象
[00:01:39.000 --> 00:01:41.000]  (主席)當主耶穌第一次來到這個世界的時候
[00:01:41.000 --> 00:01:43.000]  (主席)祂自己說自己什麼?
[00:01:43.000 --> 00:01:46.000]  (主席)祂說:我心裡柔和謙卑
[00:01:46.000 --> 00:01:48.000]  (主席)當然在這個四福音書
[00:01:48.000 --> 00:01:51.000]  (主席)當我們看到主耶穌第一次來到這個世界的時候
[00:01:51.000 --> 00:01:54.000]  (主席)祂的說話、行事、為人
[00:01:54.000 --> 00:01:57.000]  (主席)不是每次都是柔和謙卑的
[00:01:57.000 --> 00:01:59.000]  (主席)有時都幾強硬的
[00:01:59.000 --> 00:02:02.000]  (主席)譬如祂是潔淨聖殿的時候
[00:02:02.000 --> 00:02:04.000]  (主席)真的都幾不少的
[00:02:04.000 --> 00:02:06.000]  (主席)推倒別人的東西
[00:02:06.000 --> 00:02:08.000]  (主席)甚至拿條繩子弄到邊上打
[00:02:08.000 --> 00:02:09.000]  (主席)打什麼呢?
[00:02:09.000 --> 00:02:12.000]  (主席)一般的解釋翻譯就是打牛羊
[00:02:12.000 --> 00:02:14.000]  (主席)但是有些學者就認為
[00:02:14.000 --> 00:02:16.000]  (主席)其實祂沒有說明只是打牛羊
[00:02:16.000 --> 00:02:18.000]  (主席)無論怎樣都好
[00:02:18.000 --> 00:02:22.000]  (主席)祂肯定不是一個很柔和謙卑的表現
