
[00:00:00.000 --> 00:00:05.560]  在2025年的御府麒麟修40天裏面
[00:00:05.560 --> 00:00:09.560]  大家都知道今年我是揀選了一個主題
[00:00:09.560 --> 00:00:12.680]  主告訴我要多些認識祂
[00:00:12.680 --> 00:00:17.240]  所以我揀選了題目叫做「耶穌,我主,我神」
[00:00:17.240 --> 00:00:21.440]  由我們的心靈集中在主耶穌的身上
[00:00:21.440 --> 00:00:27.200]  由40天40個角度去看認識我們的主耶穌
[00:00:27.200 --> 00:00:30.080]  今天來到第十五天
[00:00:30.080 --> 00:00:33.360]  是主耶穌行神蹟的第四
[00:00:33.360 --> 00:00:37.200]  就是使死人復活
[00:00:37.200 --> 00:00:39.200]  主有很多神蹟
[00:00:39.200 --> 00:00:41.200]  第一個神蹟就是趕鬼
[00:00:41.200 --> 00:00:42.720]  然後醫病
[00:00:42.720 --> 00:00:45.200]  然後一路超越大自然
[00:00:45.200 --> 00:00:47.200]  使死人復活
[00:00:47.200 --> 00:00:51.200]  是一個很重要、很偉大的神蹟
[00:00:51.200 --> 00:00:54.200]  讓我們一起去看、去敬拜祂
[00:00:54.200 --> 00:00:56.200]  我們先禱告
[00:00:56.200 --> 00:00:59.200]  祈求主親賜祝福
[00:00:59.200 --> 00:01:02.200]  讓我們更多認識祢
[00:01:02.200 --> 00:01:06.200]  越多認識祢 心裏面越感到謙卑
[00:01:06.200 --> 00:01:08.200]  越向祢五體投地
[00:01:08.200 --> 00:01:11.200]  心越誠服地敬拜
[00:01:11.200 --> 00:01:15.200]  讚美祢 祢就是這位主
[00:01:15.200 --> 00:01:18.200]  竟然在高天之上
[00:01:18.200 --> 00:01:22.200]  祢誰顧每一個到祢面前的人
[00:01:22.200 --> 00:01:27.200]  主我這個人在億萬人群當中
[00:01:27.200 --> 00:01:29.200]  不值一文
[00:01:29.200 --> 00:01:31.200]  也都不是一顧
[00:01:31.200 --> 00:01:34.200]  多了不多 少了不少
[00:01:34.200 --> 00:01:39.200]  不過祢竟然就愛我這個這樣的人
[00:01:39.200 --> 00:01:42.200]  曾經來到這個世界上
[00:01:42.200 --> 00:01:45.200]  為千萬人 也都為我而死
[00:01:45.200 --> 00:01:47.200]  我就在這裏敬拜、讚美祢
[00:01:47.200 --> 00:01:50.200]  多謝祢的愛 多謝祢的顧念
[00:01:50.200 --> 00:01:54.200]  多謝祢的憐憫 多謝祢的恩典
[00:01:54.200 --> 00:01:57.200]  讚美祢 好施恩惠 廣行赦免
[00:01:57.200 --> 00:02:00.200]  饒恕每一個到祢面前的人
[00:02:00.200 --> 00:02:04.200]  多謝祢 讚美祢 是那位恩主
