
[00:00:00.000 --> 00:00:03.780]  我是教會的馮牧師
[00:00:03.780 --> 00:00:08.400]  代表我們教會歡迎今天出席這個浸禮的很多的親友
[00:00:08.400 --> 00:00:13.600]  代表教會歡迎今天出席敬禮的很多的親戚朋友
[00:00:13.600 --> 00:00:19.100]  也在這裡恭喜三位年輕人
[00:00:19.100 --> 00:00:35.620]  你們今天在眾人面前立志
[00:00:35.620 --> 00:00:41.380]  公開表示你們真心相信主耶穌基督
[00:00:41.380 --> 00:00:45.980]  並且立誓一生跟隨祂
[00:00:45.980 --> 00:00:48.980]  受浸歸入基督
[00:00:48.980 --> 00:00:52.140]  你們是一個蒙福的人
[00:00:52.140 --> 00:00:55.780]  從小就認識耶穌基督
[00:00:55.780 --> 00:00:59.300]  不像馮牧師
[00:00:59.300 --> 00:01:03.900]  我從小在教會學校讀書
[00:01:03.900 --> 00:01:07.420]  聖經的真理聽了很多
[00:01:07.420 --> 00:01:10.900]  卻不願意接受真神
[00:01:10.900 --> 00:01:14.500]  走了很多冤枉的路
[00:01:14.500 --> 00:01:19.380]  浸禮的起點是相信
[00:01:19.380 --> 00:01:24.820]  相信耶穌基督成為你個人的救主
[00:01:24.820 --> 00:01:28.660]  有一位弟兄跟我提到
[00:01:28.660 --> 00:01:32.140]  他說當年在某一間本來我們很相熟的教會
[00:01:32.140 --> 00:01:38.060]  現在變得不太熟了
[00:01:38.060 --> 00:01:42.780]  他說有九位牧師跟他說
[00:01:42.780 --> 00:01:46.260]  你只要懂得背《約翰福音》三章十六節就可以受浸了
[00:01:46.260 --> 00:01:49.340]  他說你只要懂得背《約翰福音》三章十六節
[00:01:49.340 --> 00:01:50.700]  你就可以受浸了
[00:01:50.700 --> 00:01:55.060]  你們就很可憐了
[00:01:55.060 --> 00:01:57.100]  謝姑娘要你背十幾二十節經文
[00:01:57.100 --> 00:02:00.940]  謝姑娘要你們背十幾遍經文
[00:02:00.940 --> 00:02:04.340]  你們可以浸二十次都可以
[00:02:04.340 --> 00:02:05.940]  我不敢說他錯
[00:02:05.940 --> 00:02:08.980]  我不敢說那位牧師錯
[00:02:08.980 --> 00:02:12.260]  因為我不知道裡面的細節
[00:02:12.260 --> 00:02:18.540]  懂得背《約翰福音》三章十六節只是一個起點
[00:02:18.540 --> 00:02:22.140]  但可惜很多基督徒停留在《約翰福音》三章十六節
[00:02:22.140 --> 00:02:25.540]  很可惜很多基督徒停留在《約翰福音》三章十六節
[00:02:25.540 --> 00:02:27.580]  他以為做基督徒出來行走江湖
[00:02:27.580 --> 00:02:29.380]  《約翰福音》三章十六節就萬能基
[00:02:29.380 --> 00:02:30.340]  可以什麼都搞定
[00:02:30.340 --> 00:02:32.620]  他以為當一個基督徒
[00:02:32.620 --> 00:02:36.100]  把《約翰福音》三章十六節背起來
[00:02:36.100 --> 00:02:39.380]  就可以走一生的路了
[00:02:39.380 --> 00:02:44.620]  但他只是相信耶穌基督成為個人的救主
[00:02:44.620 --> 00:02:50.260]  沒有相信耶穌是他生命的主
[00:02:50.260 --> 00:02:55.100]  他沒有想過這份救恩是何等的寶貴
[00:02:55.100 --> 00:03:01.420]  你想想上帝的兒子耶穌基督為我們成就這份救恩
[00:03:01.420 --> 00:03:08.420]  我想想看上帝的兒子耶穌基督為我們成就這份救恩
[00:03:08.420 --> 00:03:10.420]  我常說這是中價的救恩
[00:03:10.420 --> 00:03:13.100]  不是廉價的恩典
[00:03:13.100 --> 00:03:15.860]  你想想你買的東西越便宜,你越不珍惜
[00:03:15.860 --> 00:03:18.860]  你想想看你買的東西越便宜,你就越不珍惜
[00:03:18.860 --> 00:03:22.380]  你花幾千元、幾萬元買個手袋,你會不會隨街頂?
[00:03:22.380 --> 00:03:26.820]  你花幾千元、幾萬元買一個手袋,你會不會隨處放呢?
[00:03:26.820 --> 00:03:30.700]  今早牧師就用長輩的身份去提醒你們
[00:03:30.700 --> 00:03:34.220]  今天牧師早上就用長輩的身份去提醒三位
[00:03:34.220 --> 00:03:42.780]  等一下我洗濕你們的頭,我要負責任的
[00:03:42.780 --> 00:03:45.500]  我要保證你們的幸福
[00:03:45.500 --> 00:03:53.660]  如果你們從來沒有想過藉著今天早上的敬禮
[00:03:53.660 --> 00:03:56.300]  向上帝立志
[00:03:56.300 --> 00:04:03.340]  向在座每一位親友和教會的弟兄姊妹
[00:04:03.340 --> 00:04:06.580]  你要立志一生過一個為主而活的生活
[00:04:06.580 --> 00:04:10.180]  你要立志一生過一個為主而活的生活
[00:04:10.180 --> 00:04:11.940]  過一個榮耀上帝的生活
[00:04:11.940 --> 00:04:14.060]  過一個榮耀上帝的生活
[00:04:14.060 --> 00:04:16.780]  其實贈與不贈是沒有分別的
[00:04:16.780 --> 00:04:21.700]  其實要不要受敬是沒有分別的
[00:04:21.700 --> 00:04:24.100]  極其量教會多了三個
[00:04:24.100 --> 00:04:25.740]  頂多是多了三個
[00:04:25.740 --> 00:04:31.940]  我經常都說Sit, Meet, Dismit, Eat, Go Home to Sleep的會有
[00:04:31.940 --> 00:04:34.820]  牧師常常說就是坐下聚會
[00:04:34.820 --> 00:04:37.180]  三會午餐回家睡覺的會有
[00:04:37.180 --> 00:04:41.820]  多了三個和多了三十個又少了三個有什麼分別呢?
[00:04:41.820 --> 00:04:47.220]  多了三個少了三十個又少了三個有什麼分別呢?
[00:04:47.220 --> 00:04:50.780]  所以我們等一下會送那個侍奉人員手冊給你們
[00:04:50.780 --> 00:04:55.100]  所以等一下我們會送那個侍奉人員的手冊給你們
[00:04:55.100 --> 00:04:56.500]  所以你們以後要侍奉
[00:04:56.500 --> 00:04:57.900]  所以你們三位以後要侍奉
[00:04:57.900 --> 00:05:00.500]  既然出來浸是預了要還的
[00:05:00.500 --> 00:05:02.420]  你記得今天出來受敬
[00:05:02.420 --> 00:05:04.180]  你早晚都要還給教會
[00:05:04.180 --> 00:05:05.820]  有人開玩笑的說
[00:05:05.820 --> 00:05:09.980]  浸信會是要相信、要受浸、要開會
[00:05:09.980 --> 00:05:11.140]  有人開玩笑說
[00:05:11.140 --> 00:05:14.220]  精心會就是要受敬、要相信、要開會
[00:05:14.220 --> 00:05:15.820]  浸信會的體制
[00:05:15.820 --> 00:05:18.580]  浸禮有兩重的意義
[00:05:18.580 --> 00:05:22.300]  精心會的體制在經理裡面有兩種的意義
[00:05:22.300 --> 00:05:25.500]  在屬靈的意義就是你真心受浸歸入基督
[00:05:25.500 --> 00:05:28.260]  在屬靈的意義上就是你真心受敬
[00:05:28.260 --> 00:05:30.820]  加入歸入基督
[00:05:30.820 --> 00:05:32.340]  在行政的層面
[00:05:32.340 --> 00:05:33.500]  在行政的層面
