
[00:00:00.000 --> 00:00:03.000]  (主席)各位頂子妹早晨
[00:00:03.000 --> 00:00:09.720]  在這個疫症裏祝願各人平安
[00:00:09.720 --> 00:00:12.240]  這些日子以來
[00:00:12.240 --> 00:00:15.400]  我越來越為頂子妹
[00:00:15.400 --> 00:00:22.040]  是否能夠建立一個穩固的信仰根基而焦急
[00:00:22.040 --> 00:00:24.480]  信仰要穩固
[00:00:24.480 --> 00:00:28.040]  必須對整本聖經所描述的
[00:00:28.040 --> 00:00:34.120]  神的救贖的作為有一個深刻的了解
[00:00:34.120 --> 00:00:37.520]  崇基禮拜堂採用的經課系統
[00:00:37.520 --> 00:00:42.520]  已經大致涵蓋整本聖經的重要經文
[00:00:42.520 --> 00:00:44.560]  我們每個禮拜讀的經課
[00:00:44.560 --> 00:00:46.760]  這個系統的好處
[00:00:46.760 --> 00:00:53.960]  是根據主耶穌的生死復活再來編排
[00:00:53.960 --> 00:00:58.560]  用這個經課系統的經文來說
[00:00:58.560 --> 00:01:03.120]  肯定能夠幫助頂子妹了解主耶穌的福音
[00:01:03.120 --> 00:01:05.160]  這是很重要的
[00:01:05.160 --> 00:01:11.880]  不過這個經課系統稍稍忽略了聖經的正典
[00:01:11.880 --> 00:01:15.920]  如何藉著一卷又一卷的書
[00:01:15.920 --> 00:01:19.800]  連續地一步又一步地
[00:01:19.800 --> 00:01:25.040]  向人透露神的救贖的作為
[00:01:25.040 --> 00:01:29.760]  為了讓頂子妹能夠連貫地明白聖經
[00:01:29.760 --> 00:01:31.200]  從今日起
[00:01:31.200 --> 00:01:36.800]  我打算逐卷逐卷順序地說
[00:01:36.800 --> 00:01:39.000]  即是說順序地
[00:01:39.000 --> 00:01:43.600]  每次說一卷書的某些重要章節
[00:01:43.600 --> 00:01:50.720]  順道交代一下這卷書整體神學的用心
[00:01:50.720 --> 00:01:53.960]  如此六十六卷書
[00:01:53.960 --> 00:01:58.200]  就要用六十六個禮拜才能夠說完
[00:01:58.200 --> 00:02:00.240]  人生有限
[00:02:00.240 --> 00:02:02.120]  世事無常
[00:02:02.120 --> 00:02:05.120]  我也很想知道
[00:02:05.120 --> 00:02:07.160]  會不會有一天
[00:02:07.160 --> 00:02:10.000]  我能夠真的說完它
[00:02:10.000 --> 00:02:13.960]  我希望這種講道的方法
[00:02:13.960 --> 00:02:18.000]  能夠幫助頂子妹對整本的聖經
[00:02:18.000 --> 00:02:21.280]  有一個較全面的認識
[00:02:21.280 --> 00:02:23.640]  現在都是一年之始
[00:02:23.640 --> 00:02:28.960]  我就以聖經的第一卷書「創世紀」作為開始
[00:02:28.960 --> 00:02:33.040]  中國人的儒家文化建基於四書五經
[00:02:33.040 --> 00:02:37.680]  剛好我們聖經新約有四卷福音書
[00:02:37.680 --> 00:02:42.800]  舊約有五經,猶太人稱之為「Torah」
[00:02:42.800 --> 00:02:45.520]  重點是透過一些教訓
[00:02:45.520 --> 00:02:50.080]  教導我們如何做一個面對上帝的人
[00:02:50.080 --> 00:02:52.200]  新約有四卷福音書
