
[00:00:00.000 --> 00:00:04.200]  今日我同大家講嘅呢篇訊息呢其實係呢年多已經不停嘅
[00:00:04.200 --> 00:00:06.200]  裏面啲內容有部份嘅內容呢
[00:00:06.200 --> 00:00:08.700]  係我年紀裏面不停喺度諗緊嘅
[00:00:08.700 --> 00:00:10.200]  所以唔係新嘅嘢
[00:00:10.200 --> 00:00:11.700]  不過無可否認
[00:00:11.700 --> 00:00:15.200]  都係喺我去到美國休息嘅時候呢
[00:00:15.200 --> 00:00:17.700]  咁就呢個訊息呢就開始成形
[00:00:17.700 --> 00:00:20.200]  再加上呢就讀TWA嘅時候呢
[00:00:20.200 --> 00:00:23.000]  今日有最少有兩段經文呢
[00:00:23.000 --> 00:00:26.000]  都係呢個月嘅裏面呢TWA出現過
[00:00:26.000 --> 00:00:28.500]  所以就所有啲嘢好似不然間就將佢凝聚晒
[00:00:28.500 --> 00:00:30.500]  咁就成為我今日呢個訊息
[00:00:30.500 --> 00:00:33.000]  咁呀題目就叫天意難違
[00:00:33.000 --> 00:00:37.000]  神係咪引領我或者係預定我一生嘅路呢
[00:00:37.000 --> 00:00:39.000]  因為喺美國嘅時候遇返啲
[00:00:39.000 --> 00:00:41.500]  唔係遇返嘅即係探啲親人啦
[00:00:41.500 --> 00:00:45.000]  咁我啲細佬妹都大同我一樣咁大啦
[00:00:45.000 --> 00:00:47.000]  跟住呢佢啲仔女又大啦
[00:00:47.000 --> 00:00:49.000]  所以我嘅細佬嘅妹又結
[00:00:49.000 --> 00:00:52.500]  細佬嘅細佬嘅女結婚啦
[00:00:52.500 --> 00:00:55.000]  出年呢就話我二哥嘅仔又結婚啦
[00:00:55.000 --> 00:00:56.500]  問我返唔返去啦咁樣
[00:00:56.500 --> 00:00:59.000]  所以遇到呢啲情況嘅時候好自然就諗起
[00:00:59.000 --> 00:01:01.000]  嘩啲時間過咗㗎喇喎原來
[00:01:01.000 --> 00:01:07.500]  咁呀我都離開咗美國加拿大都接近四十年㗎喇喎
[00:01:07.500 --> 00:01:09.000]  三十五年啦
[00:01:09.000 --> 00:01:10.500]  好長嘅日子喇喎
[00:01:10.500 --> 00:01:12.000]  所以喺度諗下嘅時候呢
[00:01:12.000 --> 00:01:14.500]  原來我信耶穌跟耶穌已經四十年啦
[00:01:14.500 --> 00:01:16.500]  咁呢四十年裏面呢
[00:01:16.500 --> 00:01:20.000]  喺認識神同埋跟住神行嘅路上面
[00:01:20.000 --> 00:01:22.000]  究竟學到啲咩嘢呢
[00:01:22.000 --> 00:01:24.000]  或者睇返轉頭
[00:01:24.000 --> 00:01:28.500]  如果當年我係唔返嚟香港又會點呢
[00:01:28.500 --> 00:01:30.000]  好自然諗下㗎嘛係咪
[00:01:30.000 --> 00:01:31.500]  如果當年我唔返嚟香港
[00:01:31.500 --> 00:01:33.500]  我繼續喺加拿大咁會點呢
[00:01:33.500 --> 00:01:37.500]  咁我相信呢我身形一定係暴漲兩倍㗎
[00:01:37.500 --> 00:01:39.500]  即係冇而家咁fit㗎OK
[00:01:39.500 --> 00:01:42.500]  喺加拿大一定係有食肉呀各邊啲嘢呀
[00:01:42.500 --> 00:01:46.000]  咁呀人生都唔一樣㗎冇話好唔好嘅
[00:01:46.000 --> 00:01:48.000]  咁呀當然我梗係鍾意而家啦
[00:01:48.000 --> 00:01:50.000]  因為可以講到畀大家聽㗎嘛係咪
[00:01:50.000 --> 00:01:53.500]  如果我喺加拿大可能你聽唔到我講到喎
[00:01:53.500 --> 00:01:56.000]  你話甚至唔認識李偉健呢個人㗎喎
[00:01:56.000 --> 00:01:57.500]  唔知道有呢個人存在㗎喎
[00:01:57.500 --> 00:02:00.000]  所以諗返轉頭其實好多嘢
[00:02:00.000 --> 00:02:01.500]  啲嘢唔係偶然㗎
[00:02:01.500 --> 00:02:03.000]  對我嚟講唔係偶然㗎
[00:02:03.000 --> 00:02:05.000]  一定係有個意思喺度㗎
[00:02:05.000 --> 00:02:06.500]  咁呢個意思係點嘅係咩嘢呢
[00:02:06.500 --> 00:02:08.500]  咁我就今日藉住呢邊度呢
[00:02:08.500 --> 00:02:12.500]  係將我自己呢係攤開同大家講啦
[00:02:12.500 --> 00:02:14.000]  用我自己做個例子
[00:02:14.000 --> 00:02:16.000]  唔好有個印象呢以為呀李牧師
[00:02:16.000 --> 00:02:18.000]  喺度標榜自己猛講自己呀
[00:02:18.000 --> 00:02:20.500]  唔係嘅因為我唔講得第二個嘛
[00:02:20.500 --> 00:02:23.000]  私隱權我淨係可以講自己吖嘛
[00:02:23.000 --> 00:02:24.500]  咁我唯有將我自己打開出嚟
[00:02:24.500 --> 00:02:25.500]  話畀大家聽
[00:02:25.500 --> 00:02:27.500]  我阿神原來就咁樣帶領我啦
[00:02:27.500 --> 00:02:29.500]  希望呢你自己可以再睇下
[00:02:29.500 --> 00:02:31.500]  阿神點樣帶領你呢
[00:02:31.500 --> 00:02:34.000]  呢段時間分開三部份
[00:02:34.000 --> 00:02:37.000]  第一部份呢就先同大家讀幾段聖經
[00:02:37.000 --> 00:02:39.500]  咁幾段聖經呢其實唔使點解釋嘅
[00:02:39.500 --> 00:02:41.500]  因為好自明嘅一啲經文嚟嘅
