
[00:00:00.000 --> 00:00:07.660]  今天我們又去到拜偶像的食物的總結篇
[00:00:07.660 --> 00:00:12.100]  我們知道過去有幾篇都是有相關的
[00:00:12.100 --> 00:00:16.140]  點子製肉這麼簡單
[00:00:16.140 --> 00:00:18.140]  究竟是說什麼呢
[00:00:18.140 --> 00:00:21.640]  今天開始有一個潮語
[00:00:21.640 --> 00:00:23.640]  可能我昨天也有說過
[00:00:23.640 --> 00:00:26.160]  跟Pasada的心靈相通
[00:00:26.160 --> 00:00:27.740]  他昨天有提到這個字
[00:00:27.740 --> 00:00:30.720]  這個字我不知道大家有多認識
[00:00:30.720 --> 00:00:33.200]  如果你真的去到潮流的尖端
[00:00:33.200 --> 00:00:34.720]  你應該就聽過了
[00:00:34.720 --> 00:00:39.240]  這個潮語叫做「像極了愛情」
[00:00:39.240 --> 00:00:45.500]  這個如果大家在Facebook、IG、LINE、Twitter
[00:00:45.500 --> 00:00:49.380]  你也會發現開始很多人都提到這個字
[00:00:49.380 --> 00:00:52.540]  這個字其實是從中國興起
[00:00:52.540 --> 00:00:54.900]  接著去了台灣在去年
[00:00:54.900 --> 00:00:59.180]  今年七月潮風來到香港
[00:00:59.180 --> 00:01:01.460]  如果你說Pasada我都沒有聽過
[00:01:01.460 --> 00:01:04.900]  那就很明顯你不夠潮
[00:01:04.900 --> 00:01:07.820]  如果你去Google搜查一下
[00:01:07.820 --> 00:01:09.820]  已經近億了
[00:01:09.820 --> 00:01:12.240]  很快就有關於這個字
[00:01:12.240 --> 00:01:15.420]  究竟這個是在說什麼呢
[00:01:15.420 --> 00:01:18.660]  當然根據公開的網站說
[00:01:18.660 --> 00:01:19.680]  什麼意思呢
[00:01:19.680 --> 00:01:22.420]  很簡單這是一個造句的意思
[00:01:22.420 --> 00:01:28.060]  將「像極了愛情」放在一段話之後
[00:01:28.060 --> 00:01:33.060]  就好像畫龍點睛那麼厲害
[00:01:33.060 --> 00:01:37.220]  無論這一句是問候與深情的貼文
[00:01:37.220 --> 00:01:42.460]  你都會發現好像文青一樣不同了
[00:01:42.460 --> 00:01:47.940]  例如早上的天空晴空萬里
[00:01:47.940 --> 00:01:53.180]  下午卻下了一場傾盆大雨
[00:01:53.180 --> 00:01:53.940]  本來都一樣的
[00:01:53.940 --> 00:01:56.140]  但加上「像極了愛情」
[00:01:56.140 --> 00:01:59.780]  嘩 有點不同的感覺
[00:01:59.780 --> 00:02:03.500]  下面這一句其實本來沒有「像極了愛情」
[00:02:03.500 --> 00:02:07.740]  是台灣一個非常出名的體育主播
[00:02:07.740 --> 00:02:09.620]  叫做徐展元
