
[00:00:00.000 --> 00:00:03.900]  我們活在今時今日的自由社會裏面
[00:00:03.900 --> 00:00:07.740]  會不會特別怕一些什麼人
[00:00:07.740 --> 00:00:10.700]  我想一想我最怕惡人
[00:00:10.700 --> 00:00:12.260]  不講道理的人
[00:00:12.260 --> 00:00:13.740]  因為看得新聞多
[00:00:13.740 --> 00:00:17.760]  近來很多新聞都是有關一些人
[00:00:17.760 --> 00:00:19.940]  特別在開車的時候
[00:00:19.940 --> 00:00:23.940]  他受到刺激就會下車打人的
[00:00:23.940 --> 00:00:26.260]  所以在路上開車
[00:00:26.260 --> 00:00:29.060]  要求主持一下忍耐的果子
[00:00:29.060 --> 00:00:31.300]  不要隨便爬頭
[00:00:31.300 --> 00:00:35.700]  被人無端端插隊都要忍耐一些
[00:00:35.700 --> 00:00:39.460]  美國似乎最怕恐怖分子
[00:00:39.460 --> 00:00:42.800]  最近又有一些新聞講到
[00:00:42.800 --> 00:00:46.600]  連總統前總統都收到一些
[00:00:46.600 --> 00:00:48.860]  類似炸彈的郵件
[00:00:48.860 --> 00:00:51.000]  有人提醒美國總統
[00:00:51.000 --> 00:00:52.440]  講話低調一點
[00:00:52.440 --> 00:00:56.140]  不要那麼刺激人
[00:00:56.140 --> 00:00:59.000]  不過在戰爭的時期
[00:00:59.000 --> 00:01:00.400]  我們會怕的
[00:01:00.400 --> 00:01:03.400]  大概不是自己國家的人
[00:01:03.400 --> 00:01:06.200]  而是敵軍
[00:01:06.200 --> 00:01:07.300]  今年年初的時候
[00:01:07.300 --> 00:01:09.860]  我看了一部以第二次世界大戰
[00:01:09.860 --> 00:01:11.800]  做背景的電影
[00:01:11.800 --> 00:01:15.800]  叫做《最黑暗時刻》
[00:01:15.800 --> 00:01:18.300]  是講英國的邱吉爾總理
[00:01:18.300 --> 00:01:22.000]  他要做一個非常重要的決定
[00:01:22.000 --> 00:01:24.600]  我相信當時英國最怕的敵人
[00:01:24.600 --> 00:01:27.640]  就是德國的希特勒
[00:01:27.640 --> 00:01:31.600]  當時德軍其實一直是很強勁的
[00:01:31.600 --> 00:01:34.100]  佔領了歐洲很多的國家
[00:01:34.100 --> 00:01:36.500]  法國都被佔領了
[00:01:36.500 --> 00:01:39.300]  英國要怎樣自處呢?
[00:01:39.300 --> 00:01:43.700]  因為法國和英國隔了一個英倫海峽
[00:01:43.700 --> 00:01:47.040]  邱吉爾總理未上任之前的總理
[00:01:47.040 --> 00:01:50.000]  叫做張伯倫
[00:01:50.000 --> 00:01:56.800]  他主張要跟納粹德國簽和約
[00:01:56.800 --> 00:01:58.800]  只要德國留在歐洲
[00:01:58.800 --> 00:01:59.900]  死歐洲人而已
[00:01:59.900 --> 00:02:00.900]  不要死我們英國人
[00:02:00.900 --> 00:02:02.000]  行啦,是不是?
[00:02:02.000 --> 00:02:02.900]  最重要是和平
[00:02:02.900 --> 00:02:06.400]  不要打過來
[00:02:06.400 --> 00:02:09.600]  但是有另外一派的人就認為
[00:02:09.600 --> 00:02:10.800]  不行的
[00:02:10.800 --> 00:02:12.900]  希特勒這個人怎樣去信呢?
[00:02:12.900 --> 00:02:16.200]  你跟他簽和約都是浪費力氣的
[00:02:16.200 --> 00:02:20.400]  結果英國就換了邱吉爾上台做總理
[00:02:20.400 --> 00:02:23.000]  代替了張伯倫
[00:02:23.000 --> 00:02:26.100]  邱吉爾上台首先要面對一個問題
[00:02:26.100 --> 00:02:28.900]  就是原來有30萬軍隊
[00:02:28.900 --> 00:02:31.500]  包括英國的軍隊和盟軍
[00:02:31.500 --> 00:02:36.900]  被困在法國的一個鄧寇克的海灘
[00:02:36.900 --> 00:02:38.700]  Dunkirk
[00:02:38.700 --> 00:02:41.100]  由於後無退路
[00:02:41.100 --> 00:02:42.700]  你去到海灘旁邊
[00:02:42.700 --> 00:02:44.900]  你退了是退到大海而已
[00:02:44.900 --> 00:02:47.300]  如果德軍在那個時候
[00:02:47.300 --> 00:02:50.100]  派飛機和坦克部隊
[00:02:50.100 --> 00:02:53.600]  去攻擊那些盟軍和英國軍的話
[00:02:53.600 --> 00:02:58.100]  很可能全軍覆沒
[00:02:58.100 --> 00:02:59.700]  在這個情形之下
[00:02:59.700 --> 00:03:02.400]  英國主和派
[00:03:02.400 --> 00:03:05.400]  希望跟德國簽和約
[00:03:05.400 --> 00:03:07.100]  我們找意大利
[00:03:07.100 --> 00:03:08.500]  他已經答應了
[00:03:08.500 --> 00:03:10.000]  跟德國聯絡
[00:03:10.000 --> 00:03:13.500]  我們一於和談簽和約
[00:03:13.500 --> 00:03:16.300]  但是結果就是邱吉爾總理
[00:03:16.300 --> 00:03:19.500]  主戰派獲得優勢
[00:03:19.500 --> 00:03:24.100]  他就想到一個徵用民用船隻
[00:03:24.100 --> 00:03:26.500]  就是一千幾百隻船
[00:03:26.500 --> 00:03:28.500]  一起去鄧寇克海灘那裡
[00:03:28.500 --> 00:03:30.900]  將軍隊接走
[00:03:30.900 --> 00:03:33.000]  救回很多人命
[00:03:33.000 --> 00:03:33.900]  當然啦
[00:03:33.900 --> 00:03:36.600]  他能夠成功救人
[00:03:36.600 --> 00:03:38.800]  其實都是有上帝的幫助的
[00:03:38.800 --> 00:03:40.000]  因為那幾天
[00:03:40.000 --> 00:03:42.300]  剛剛天氣不是很好
[00:03:42.300 --> 00:03:44.900]  不利於戰機出擊的
[00:03:44.900 --> 00:03:47.500]  還有不知道當時什麼原因
[00:03:47.500 --> 00:03:51.800]  希特勒下令暫停進攻
[00:03:51.800 --> 00:03:57.400]  才讓英國救回很多軍隊出來
[00:03:57.400 --> 00:04:00.100]  我們一直在看《爾賽亞書》
[00:04:00.100 --> 00:04:04.700]  今天我們要思想《爾賽亞書》第八章
[00:04:04.700 --> 00:04:05.800]  《爾賽亞書》第八章
[00:04:05.800 --> 00:04:09.100]  都是有戰爭歷史的背景的
[00:04:09.100 --> 00:04:11.400]  我想再一次提醒大家
[00:04:11.400 --> 00:04:12.900]  讀先知書
[00:04:12.900 --> 00:04:16.800]  不要抽離歷史地理去讀
[00:04:16.800 --> 00:04:20.400]  以為先知就坐在房間裡
[00:04:20.400 --> 00:04:24.100]  上帝有空就去找先知聊聊天
[00:04:24.100 --> 00:04:25.100]  聊聊天
[00:04:25.100 --> 00:04:27.000]  說一說二百年後
[00:04:27.000 --> 00:04:31.500]  六百年後有什麼事情發生
[00:04:31.500 --> 00:04:34.300]  先知書不是這樣寫的
[00:04:34.300 --> 00:04:36.400]  大部分先知書的信息
[00:04:36.400 --> 00:04:41.800]  其實是和當時的歷史背景有關係的
[00:04:41.800 --> 00:04:43.300]  先知傳講的信息
