
[00:00:00.000 --> 00:00:03.200]  今日我哋會繼續從審護耳機上
[00:00:03.200 --> 00:00:07.520]  去繼續睇我哋點樣做一個合乘心意嘅僕人
[00:00:07.520 --> 00:00:10.240]  我哋過去用咗十七堂
[00:00:10.240 --> 00:00:16.320]  今日係第十八個主日去講呢個審護耳機上呢個訊息
[00:00:16.320 --> 00:00:20.880]  我哋好多時係生命上面都有好多遇見
[00:00:20.880 --> 00:00:22.560]  好似啲冤家
[00:00:22.560 --> 00:00:26.600]  真係好似嘩 戲都有得拍
[00:00:26.600 --> 00:00:30.160]  《不是冤家不罪頭》或者各樣嘅遇到啲冤家
[00:00:30.160 --> 00:00:36.280]  就算卡通片都有得做
[00:00:36.280 --> 00:00:40.600]  卡通片都有時遇到啲仇敵真係唔知點算
[00:00:40.600 --> 00:00:45.400]  所謂冤家路窄其實係取自《初黑拍案驚奇》
[00:00:45.400 --> 00:00:48.600]  呢本嘅文學著作
[00:00:48.600 --> 00:00:50.360]  當中都可能有啲鬼故
[00:00:50.360 --> 00:00:55.160]  聽到原來冤家路窄好多時會有人命傷亡
[00:00:55.160 --> 00:00:57.160]  甚至可以去到一個地步
[00:00:57.160 --> 00:01:01.480]  所以我哋喺經文當中就算喺聖經嘅故事當中嘅記載
[00:01:01.480 --> 00:01:08.600]  好似掃羅同大衛之間嘅關係當中
[00:01:08.600 --> 00:01:11.880]  都好似有啲冤家嘅情況出現
[00:01:11.880 --> 00:01:16.280]  如果唔小心真係會有性命上嘅傷亡
[00:01:16.280 --> 00:01:19.960]  但係我哋見到喺薩姆爾記上嘅記載
[00:01:19.960 --> 00:01:22.920]  我哋喺上個主日都睇到
[00:01:22.920 --> 00:01:27.000]  大家呢班嘅以色列民開始明白到
[00:01:27.000 --> 00:01:32.440]  都見到大衛就係耶和華所立嘅君王
[00:01:32.440 --> 00:01:34.120]  係取代掃羅
[00:01:34.120 --> 00:01:40.200]  就算佢掃羅嘅仔約拿丹都走去同大衛去立約
[00:01:40.200 --> 00:01:44.360]  因為明白到大衛就係將來神
[00:01:44.360 --> 00:01:51.240]  委派嚟帶領以色列民去繼續帶領呢個國家嘅君王
[00:01:51.240 --> 00:01:57.160]  今日我哋會從21至到25章好似好長嘅經文
