
[00:00:00.000 --> 00:00:03.800]  今天要講到的經文在臨前的十二章
[00:00:03.800 --> 00:00:07.240]  第三十節至十三章的第三節
[00:00:07.240 --> 00:00:12.780]  提到的題目叫做「若沒有愛,如果沒有愛會怎樣?」
[00:00:12.780 --> 00:00:15.080]  剛才那首詩歌其實也說了
[00:00:15.080 --> 00:00:19.900]  如果沒有愛,世界會變黑白,會覺得很孤單
[00:00:19.900 --> 00:00:24.120]  這一段經文其實對我很大影響
[00:00:24.120 --> 00:00:29.700]  在2000年的4月19日,你還記得在做什麼嗎?
[00:00:29.700 --> 00:00:33.780]  2000年的4月19日
[00:00:33.780 --> 00:00:38.120]  不記得,我很記得,因為我是4月19日信主的
[00:00:38.120 --> 00:00:41.420]  我是1990年4月19日信主
[00:00:41.420 --> 00:00:47.120]  所謂2000年的4月19日正是小弟淑玲生日的十週年
[00:00:47.120 --> 00:00:50.260]  那天,沒什麼值得高興的
[00:00:50.260 --> 00:00:53.460]  最高興的就是我到今天還沒死
[00:00:53.460 --> 00:00:56.340]  那天我就看到這一段經文
[00:00:56.340 --> 00:00:59.220]  這段經文對我很大的打擊
[00:00:59.220 --> 00:01:03.860]  那不如我們一起讀這段經文,好嗎?
[00:01:03.860 --> 00:01:05.040]  (笑)
[00:01:05.040 --> 00:01:07.060]  咦?
[00:01:07.060 --> 00:01:10.040]  對了,是這個了,好了,預備,1,2,3
[00:01:10.040 --> 00:01:15.040]  我若能說人間的謊言,甚至天使的言語
[00:01:15.040 --> 00:01:20.420]  卻沒有愛,我就成了明的羅,響的拔,一般
[00:01:20.420 --> 00:01:25.220]  我若有先知講道的能力,也明白各樣的奧秘
[00:01:25.220 --> 00:01:29.020]  各樣的知識,而且有齊備的信心
[00:01:29.020 --> 00:01:34.400]  使我能夠而生,卻沒有愛,我就算不得甚麼
[00:01:34.400 --> 00:01:38.260]  我若將所有的財產,救濟窮人
[00:01:38.260 --> 00:01:41.600]  又犧牲自己的身體,讓人誇讚
[00:01:41.600 --> 00:01:45.040]  卻沒有愛,仍然對我無益
[00:01:45.040 --> 00:01:49.320]  那不知道為什麼,其實我忘記了那天為什麼會看到這三段經文
[00:01:49.320 --> 00:01:53.640]  但是看到這三段經文的時候,對我最大的打擊是什麼呢?
[00:01:53.640 --> 00:01:57.220]  我就想了,我過去那十年做過些什麼呢?
[00:01:57.220 --> 00:02:01.440]  我中一信主,接著中二就開始在學校搞團契
[00:02:01.440 --> 00:02:06.560]  中三搞福音營,在教會搞團契,搞福音營,搞團契,搞福音營
[00:02:06.560 --> 00:02:13.080]  做了很多事情,但是十年之後突然看到這段經文,感覺就是死了
[00:02:13.080 --> 00:02:16.900]  其實之前的事情是不是不計算呢?
[00:02:16.900 --> 00:02:21.700]  我到底有沒有用愛去做這些的服事呢?有時候真的沒有的,你明白嗎?
[00:02:21.700 --> 00:02:26.800]  有個團契導師,譬如我這樣,叫你幫幫忙搞這件事
[00:02:26.800 --> 00:02:30.880]  你是出於一個責任,答應了就去做,做完就算了
[00:02:30.880 --> 00:02:34.200]  愛不愛呢?你真的不是每次都這樣想的,是吧?
[00:02:34.200 --> 00:02:38.500]  迎新那些會不會每次一回來,派的那張披肩都是
[00:02:38.500 --> 00:02:40.680]  我真的很愛你,所以我給你
[00:02:40.680 --> 00:02:43.400]  不是的,有時候你看到你冷了,拿去吧,是吧?
[00:02:43.400 --> 00:02:47.920]  你想要,給你吧,你舉手,我給你一張新朋友的表格吧
[00:02:47.920 --> 00:02:52.460]  原來有時候我們服事呢,真的未必有愛的
[00:02:52.460 --> 00:02:58.480]  當我讀完這段經文的感覺就是好像一無所有
[00:02:58.480 --> 00:03:03.880]  好像原來我以為存了很多錢在天國的帳戶
[00:03:03.880 --> 00:03:08.400]  但是發覺原來結餘是零
[00:03:08.400 --> 00:03:09.800]  我有這樣的感覺
[00:03:09.800 --> 00:03:16.100]  那今天想跟你做什麼呢?今天想跟你看看這段經文到底說什麼
[00:03:16.100 --> 00:03:19.380]  做三件事,第一就是看看這段經文為什麼
[00:03:19.380 --> 00:03:24.300]  第二就是看看裡面說的愛到底是什麼
[00:03:24.300 --> 00:03:29.480]  愛在我們的生命或者在這些事上都佔一個什麼位置
[00:03:29.480 --> 00:03:33.580]  最後就問到底怎樣才得到這一份愛
[00:03:33.580 --> 00:03:37.920]  我想問有沒有人其實之前已經讀過這段經文的?
[00:03:37.920 --> 00:03:42.200]  讀過的,是吧?但是未必很細心地去看
[00:03:42.200 --> 00:03:46.200]  當我自己再看這段經文,這三句經文的時候
[00:03:46.200 --> 00:03:49.840]  我發覺這三句經文其實是很有層次的
[00:03:49.840 --> 00:03:55.480]  或者是一層一層地去延續下去
[00:03:55.480 --> 00:04:05.860]  因為第一節的經文是
[00:04:05.860 --> 00:04:11.620]  我若能說人間的謊言,甚至天使的語言
[00:04:11.620 --> 00:04:16.840]  卻沒有愛,我就成了命的羅響的笨
[00:04:16.840 --> 00:04:22.300]  什麼叫做人間的謊言或者天使的語言呢?
[00:04:22.300 --> 00:04:26.240]  如果你對哥林多前書有些熟悉的時候
[00:04:26.240 --> 00:04:29.360]  他在說很多別國的話
[00:04:29.360 --> 00:04:31.600]  知不知道什麼叫做人間的謊言?
[00:04:31.600 --> 00:04:33.680]  不是大話的那些謊言
[00:04:33.680 --> 00:04:36.420]  你記不記得當時行傳第一章
[00:04:36.420 --> 00:04:40.760]  第二章講聖靈降臨的時候,那些人在說什麼?
[00:04:40.760 --> 00:04:42.900]  在說其他的鄉下話
[00:04:42.900 --> 00:04:48.640]  也在一些使徒行傳記載當他們說謊言的時候
[00:04:48.640 --> 00:04:50.800]  是在說一些天使的話語
[00:04:50.800 --> 00:04:53.660]  我們現在很多弟兄姊妹都有這個恩賜
[00:04:53.660 --> 00:04:57.480]  就是其實我們在說的那些謊言未必有人聽得懂
[00:04:57.480 --> 00:05:02.760]  你聽到就不試了,試就好像不太應該這樣
[00:05:02.760 --> 00:05:06.060]  我想表達的,他在說的謊言就是這些東西
[00:05:06.060 --> 00:05:11.860]  但他說如果你懂得說謊言,但是沒有愛在裡面
[00:05:11.860 --> 00:05:14.380]  你是明的羅響的笨
[00:05:14.380 --> 00:05:19.660]  明的羅響的笨是什麼意思呢?
[00:05:19.660 --> 00:05:22.360]  很多時候你第一個感覺就是只有一把聲音
[00:05:22.360 --> 00:05:24.160]  「撐」一聲,然後什麼都沒有
[00:05:24.160 --> 00:05:26.560]  原來明的羅響的笨
[00:05:26.560 --> 00:05:30.460]  是和當時的外邦敬拜有關的
[00:05:30.460 --> 00:05:37.060]  假如當時你在廟裡,或是在拜羅馬帝國的其他神明的時候
[00:05:37.060 --> 00:05:40.860]  你會聽到很多「羅」、「拔」的聲音
[00:05:40.860 --> 00:05:43.060]  或者那次我們弟兄姊妹
[00:05:43.060 --> 00:05:46.060]  我們一班同工其實現在開始會談講章
[00:05:46.060 --> 00:05:49.260]  我們談講章的時候,有一個人有一個很好的比喻
[00:05:49.260 --> 00:05:50.460]  像什麼呢?
[00:05:50.460 --> 00:05:52.560]  像今天的破地獄
[00:05:52.560 --> 00:05:55.660]  你明白嗎?是不是完全明白了?像破地獄
[00:05:55.660 --> 00:05:58.060]  如果我這樣演繹
[00:05:58.060 --> 00:06:01.060]  「我若能操流利的謊言」
[00:06:01.060 --> 00:06:05.660]  「我把聲勁過天使唱歌卻沒有愛」
[00:06:05.660 --> 00:06:08.360]  我就好像那些南俄師傅那樣
[00:06:08.360 --> 00:06:11.360]  表演了一場破地獄一樣
[00:06:11.360 --> 00:06:14.060]  如果這節經文用今天的言語
[00:06:14.060 --> 00:06:18.060]  或者用香港人的處境,就是這個意思
[00:06:18.060 --> 00:06:21.460]  接著第二節經文說什麼呢?
