
[00:00:00.000 --> 00:00:03.000]  說到之前,請我們一起祈禱
[00:00:03.000 --> 00:00:08.600]  親愛的天父,感謝祢,雖然天氣寒冷
[00:00:08.600 --> 00:00:12.600]  但祢把弟兄姊妹帶到祢的殿中
[00:00:12.600 --> 00:00:17.800]  一起來自授祢的陰典,聽祢的道
[00:00:17.800 --> 00:00:20.600]  這是好得無比的
[00:00:20.600 --> 00:00:25.000]  常常都求祢寄助,保守這群弟兄姊妹
[00:00:25.000 --> 00:00:29.200]  讓他們有耳朵,可以聽一天你的話語
[00:00:29.800 --> 00:00:35.200]  讓他們有眼睛,可以看到祢在這個城市的陰典
[00:00:35.200 --> 00:00:39.200]  我們這樣仰望教堂,奉主耶穌,得聖命寇
[00:00:39.200 --> 00:00:46.800]  大家可能一看到這個題目就覺得有點奇怪
[00:00:46.800 --> 00:00:49.200]  或者有點太密雅
[00:00:49.200 --> 00:00:55.800]  經文大家都看到,剛剛讀了選字十九
[00:00:55.800 --> 00:00:58.200]  路加封十九章,十一至二十七節
[00:00:58.800 --> 00:01:01.800]  這個故事應該大家都很熟悉,非常熟悉
[00:01:01.800 --> 00:01:07.800]  非常熟悉,但我有時想跟大家分享
[00:01:07.800 --> 00:01:12.800]  分享哪些地方,這段經文是奇怪的地方
[00:01:12.800 --> 00:01:14.800]  非常奇怪的地方
[00:01:14.800 --> 00:01:19.800]  把這個奇怪的地方,如果解釋清楚
[00:01:19.800 --> 00:01:23.800]  可能會覺得這段經文更加有意思
[00:01:23.800 --> 00:01:27.800]  說到之前,我想講一個小故事
[00:01:28.800 --> 00:01:31.800]  我以前很喜歡亂買東西
[00:01:31.800 --> 00:01:38.800]  現在也是,尤其Sam,Costco在深圳開了之後
[00:01:38.800 --> 00:01:45.800]  每次出去旅遊,我都會買一些用不到的小東西回來
[00:01:45.800 --> 00:01:50.800]  用不到的,回來之後又不知道放在哪裏好
[00:01:50.800 --> 00:01:55.800]  有一次我去杭州,杭州的時候出來玩
[00:01:56.800 --> 00:02:00.800]  看到人家說張小泉的刀非常有名
[00:02:00.800 --> 00:02:03.800]  我看到有人點頭,可能是人家都買過
[00:02:03.800 --> 00:02:09.800]  我看到好,就買了一把很重的斬骨刀回來
[00:02:09.800 --> 00:02:14.800]  回來之後,後來我發現醒覺了
[00:02:14.800 --> 00:02:16.800]  我根本不斬骨的
[00:02:16.800 --> 00:02:21.800]  通常都是在街市買的時候,人家幫我斬好
[00:02:22.800 --> 00:02:27.800]  看起來好看的那把刀就放在那裏
[00:02:27.800 --> 00:02:31.800]  放在那裏後,過了幾年就生鏽了
[00:02:31.800 --> 00:02:38.800]  生鏽了,當然不是這把刀
[00:02:38.800 --> 00:02:44.800]  只是拿了圖,我頓時恍然大悟
[00:02:44.800 --> 00:02:47.800]  原來不鏽鋼也會生鏽的
[00:02:47.800 --> 00:02:50.800]  我以前以為不鏽鋼不會生鏽的
[00:02:51.800 --> 00:02:55.800]  後來我發現原來鋼也會生鏽的
[00:02:55.800 --> 00:03:01.800]  鑽子呢?鑽子放在那裏會不會生鏽呢?
