
[00:00:00.000 --> 00:00:03.000]  親愛的主,求祢在這個時間裏面,
[00:00:03.000 --> 00:00:07.000]  無論我們年紀有多大的差距,
[00:00:07.000 --> 00:00:11.000]  求祢讓我們一起進入祢更深的同在裏面,
[00:00:11.000 --> 00:00:13.000]  主,求祢的說話,甦醒我們,
[00:00:13.000 --> 00:00:18.000]  因為祢是大有能力,聽人禱告的神。
[00:00:18.000 --> 00:00:21.000]  所以當祢禱告的時候,求祢的靈魂走在這裏,
[00:00:21.000 --> 00:00:23.000]  主,感動我們的心,
[00:00:23.000 --> 00:00:25.000]  求祢歸到我們的面前,
[00:00:25.000 --> 00:00:27.000]  進入你的說話當中,
[00:00:27.000 --> 00:00:32.000]  求祢甦醒,用祢的說話甦醒我們每一個人,
[00:00:32.000 --> 00:00:35.000]  聽我們的禱告,奉耶穌基督的名,求。
[00:00:35.000 --> 00:00:37.000]  阿們。謝謝。
[00:00:37.000 --> 00:00:40.000]  我想如果我說一些名字出來的時候,
[00:00:40.000 --> 00:00:45.000]  多數你都不會認識的,不如我說吧。
[00:00:45.000 --> 00:00:52.000]  其實,我想大家都認識忠臣,對嗎?
[00:00:52.000 --> 00:00:57.000]  忠臣即是中國聖經,十號院,是嗎?
[00:00:57.000 --> 00:01:00.000]  我全名都不太認識。
[00:01:00.000 --> 00:01:04.000]  就是近時,
[00:01:04.000 --> 00:01:07.000]  忠臣其實是第一任的院長,
[00:01:07.000 --> 00:01:10.000]  彭國輝牧師,其實很推崇,
[00:01:10.000 --> 00:01:14.000]  對禱告有很深認識的方知,
[00:01:14.000 --> 00:01:17.000]  這個人其實是很多年前的,
[00:01:17.000 --> 00:01:20.000]  不過在聖經,如果你是神學界的,
[00:01:20.000 --> 00:01:22.000]  其實一定會認識他,
[00:01:22.000 --> 00:01:25.000]  叫E.M.Barnes,方知,
[00:01:25.000 --> 00:01:27.000]  他曾經說過一個很出名的話,
[00:01:27.000 --> 00:01:30.000]  這個人對禱告是一個很有經驗的人,
[00:01:30.000 --> 00:01:34.000]  他說有效的禱告一定是一個改變生命的祈禱,
[00:01:34.000 --> 00:01:36.000]  但其實如果我們看回的時候,
[00:01:36.000 --> 00:01:39.000]  其實如果我們仔細看聖經的時候,
[00:01:39.000 --> 00:01:41.000]  就會發覺聖經裏面,
[00:01:41.000 --> 00:01:46.000]  是記載了很多有效禱告的狀態,
[00:01:46.000 --> 00:01:48.000]  很多時候可能我們不太認識,
[00:01:48.000 --> 00:01:51.000]  其實詩篇充滿著這樣的狀態,
[00:01:51.000 --> 00:01:53.000]  如果你不去到這樣的地步,
[00:01:53.000 --> 00:01:54.000]  經歷不到這些的時候,
[00:01:54.000 --> 00:01:57.000]  你是不會真正明白詩篇的,
[00:01:57.000 --> 00:02:02.000]  詩篇第23篇,第46篇,90篇,
[00:02:02.000 --> 00:02:05.000]  我想得到很多很出名的詩篇的時候,
[00:02:05.000 --> 00:02:08.000]  其實都是一些禱告的狀態,
[00:02:08.000 --> 00:02:10.000]  其實它形容了一些狀態,
[00:02:10.000 --> 00:02:13.000]  怎樣去改變那時基督徒的生命,
[00:02:13.000 --> 00:02:15.000]  同時我們也看到舊的歷史裏面,
[00:02:15.000 --> 00:02:18.000]  無數的寄述,其實他們都記載了,
[00:02:18.000 --> 00:02:23.000]  一些改變生命有效禱告的不同的狀態和層次,
[00:02:23.000 --> 00:02:26.000]  但是當我十幾年前回到香港的時候,
