
[00:00:00.000 --> 00:00:08.800]  今天我們首先開始第一個天國謎語的講道
[00:00:08.800 --> 00:00:14.400]  就是《馬太福音》第十三章一開頭這段聖經一到二十三節
[00:00:14.400 --> 00:00:16.120]  開始的時候怎麼說呢?
[00:00:16.120 --> 00:00:17.480]  就是說
[00:00:17.480 --> 00:00:21.760]  「就在那一天,耶穌從房子裡出來,坐在海邊,
[00:00:21.760 --> 00:00:24.680]  有一大群人到他那裡聚集,
[00:00:24.680 --> 00:00:28.800]  他只好上船坐下,眾人都站在岸上。」
[00:00:28.800 --> 00:00:31.960]  他用比喻對他們說了許多話
[00:00:31.960 --> 00:00:34.120]  大家都聽過什麼叫登山補訓
[00:00:34.120 --> 00:00:37.440]  有些地方就叫這個做海邊的補訓
[00:00:37.440 --> 00:00:40.400]  或者是水邊的
[00:00:40.400 --> 00:00:45.920]  在海邊耶穌和很多人說話
[00:00:45.920 --> 00:00:48.440]  《馬太福音》第十三章
[00:00:48.440 --> 00:00:52.320]  其實收集了耶穌所說的七個比喻
[00:00:52.320 --> 00:00:54.440]  這些比喻都比較短
[00:00:54.440 --> 00:00:58.040]  但是他們是說明了天國的本質
[00:00:58.040 --> 00:01:01.840]  耶穌解釋了這幾個比喻當中的兩個
[00:01:01.840 --> 00:01:05.760]  也解釋了他為什麼要用比喻
[00:01:05.760 --> 00:01:09.120]  如果大家簡單去看一個結構來說
[00:01:09.120 --> 00:01:10.920]  這七個比喻
[00:01:10.920 --> 00:01:12.720]  分別是殺種的比喻
[00:01:12.720 --> 00:01:13.680]  第三到九節
[00:01:13.680 --> 00:01:16.760]  墨紙和碑紙或者雜草的比喻
[00:01:16.760 --> 00:01:17.960]  二十四到三十節
[00:01:17.960 --> 00:01:19.520]  芥菜種的比喻
[00:01:19.520 --> 00:01:21.320]  麵包的比喻
[00:01:21.320 --> 00:01:23.400]  藏寶和珍珠的比喻
[00:01:23.400 --> 00:01:25.200]  之前幾個月講過一次
[00:01:25.200 --> 00:01:26.520]  殺網的比喻
[00:01:26.520 --> 00:01:28.840]  以及家主的比喻
[00:01:28.840 --> 00:01:31.720]  是七個不同的比喻
[00:01:31.720 --> 00:01:33.680]  耶穌說完這些比喻之後
[00:01:33.680 --> 00:01:34.800]  他第一個比喻之後
[00:01:34.800 --> 00:01:39.120]  他首先和門徒解釋他為什麼要用比喻
[00:01:39.120 --> 00:01:41.160]  和外面眾人說話
[00:01:41.160 --> 00:01:43.200]  今天我們集中看這件事
[00:01:43.200 --> 00:01:45.880]  然後耶穌也解釋了第一個比喻
[00:01:45.880 --> 00:01:46.840]  殺種的比喻
[00:01:46.840 --> 00:01:48.800]  第十八到二十三節
[00:01:48.800 --> 00:01:50.960]  他解釋這個第一個比喻
[00:01:50.960 --> 00:01:55.640]  接下來他才說第二個比喻
[00:01:55.640 --> 00:01:57.840]  就是所有墨紙和雜草的比喻
[00:01:57.840 --> 00:02:03.120]  他說第三和第四個比喻之後
[00:02:03.120 --> 00:02:06.280]  又回去解釋第二個比喻
[00:02:06.280 --> 00:02:08.280]  就是墨紙和雜草的比喻
[00:02:08.280 --> 00:02:09.600]  所以
[00:02:09.600 --> 00:02:12.320]  其實你留意耶穌在這七個比喻裡面
[00:02:12.320 --> 00:02:14.080]  只是解釋了頭兩個
[00:02:14.080 --> 00:02:18.600]  但是最後門徒也自己明白了其餘五個
[00:02:18.600 --> 00:02:19.560]  耶穌最後問
[00:02:19.560 --> 00:02:21.600]  你們是不是也明白這些比喻?
[00:02:21.600 --> 00:02:23.040]  門徒回答是
[00:02:23.040 --> 00:02:26.200]  就是他不需要畫圖畫出腸
[00:02:26.200 --> 00:02:29.120]  門徒後來也明白其餘七個了
[00:02:29.120 --> 00:02:31.600]  除了第一個比喻之外
[00:02:31.600 --> 00:02:35.200]  《馬太福音》記載了耶穌說的六個比喻的時候
[00:02:35.200 --> 00:02:37.600]  都是用天國好比
[00:02:37.600 --> 00:02:38.680]  什麼什麼
[00:02:38.680 --> 00:02:39.960]  作為開頭的
[00:02:39.960 --> 00:02:43.280]  二十四節、三十一節、三十三節、四十四節、四十七節、五十二節
[00:02:43.280 --> 00:02:45.080]  後面的六個都是這樣
[00:02:45.080 --> 00:02:47.400]  所以後面的六個比喻
[00:02:47.400 --> 00:02:50.840]  都是描述天國的本質
[00:02:50.840 --> 00:02:52.480]  天國什麼時候來?
[00:02:52.480 --> 00:02:54.320]  天國誰能夠進去?
[00:02:54.320 --> 00:02:55.920]  它怎麼去增長?
[00:02:55.920 --> 00:02:58.040]  天國怎麼影響外面的世界?
[00:02:58.040 --> 00:03:00.200]  以及天國的價值
