
[00:00:00.000 --> 00:00:05.080]  今早我們繼續看彼得前書的訊息
[00:00:05.080 --> 00:00:08.560]  這個題目很適合今天的情況
[00:00:08.560 --> 00:00:11.400]  因為我們一起敬拜 侍奉上帝
[00:00:11.400 --> 00:00:13.800]  我們是屬天的祭司
[00:00:13.800 --> 00:00:16.760]  弟兄姊妹 你知不知道我們有一個這樣的身份
[00:00:16.760 --> 00:00:20.200]  有一個這麼寶貴的 尊貴的身份
[00:00:20.200 --> 00:00:22.200]  我們是屬天的祭司
[00:00:22.200 --> 00:00:24.320]  可否和你自己的心說一下
[00:00:24.320 --> 00:00:26.120]  我是屬天的祭司
[00:00:26.120 --> 00:00:28.520]  和我們自己說一下 我是屬天的祭司
[00:00:28.520 --> 00:00:31.240]  我們和旁邊的夫婦一起坐著
[00:00:31.240 --> 00:00:36.120]  和他們說一聲 我們是屬天的祭司
[00:00:36.120 --> 00:00:38.240]  Hallelujah
[00:00:38.240 --> 00:00:42.240]  我們雖然在地上等候著永恆的再來
[00:00:42.240 --> 00:00:45.120]  我們有一對夫婦帶著嬰兒
[00:00:45.120 --> 00:00:50.000]  如果需要可以在哭泣室
[00:00:50.000 --> 00:00:54.320]  我們在地上不單止等候著
[00:00:54.320 --> 00:00:58.000]  我們榮耀的盼望 永恆的實現
[00:00:58.000 --> 00:01:02.480]  我們更感謝神在地上的時候
[00:01:02.480 --> 00:01:06.400]  我們與天上的事實連結
[00:01:06.400 --> 00:01:12.160]  而且在地上實踐我們在地上應有的生活
[00:01:12.160 --> 00:01:14.160]  這是整個彼得前書提醒我們的
[00:01:14.160 --> 00:01:17.760]  雖然有時候我們會面對苦難 面對試煉
[00:01:17.760 --> 00:01:19.600]  但是我們有了屬天的盼望
[00:01:19.600 --> 00:01:24.120]  幫助我們活在地上能夠充滿屬天的盼望
[00:01:24.120 --> 00:01:28.240]  幫助我們在地上能夠活出我們應有的見證
[00:01:28.240 --> 00:01:32.880]  教會和弟兄姊妹之體的生活
[00:01:32.880 --> 00:01:36.960]  我們記得上兩次說過我們是一群蒙愛的兒女
[00:01:36.960 --> 00:01:38.720]  然後上一次我們提到
[00:01:38.720 --> 00:01:39.680]  我們既然蒙愛
[00:01:39.680 --> 00:01:43.480]  我們就活出一個彼此相愛的生活
[00:01:43.480 --> 00:01:46.320]  所以這是因為我們對自己的認識和身份
[00:01:46.320 --> 00:01:48.840]  而活出一個不同的生活
