
[00:00:00.000 --> 00:00:02.000]  請祝福你們平安
[00:00:02.000 --> 00:00:04.000]  我們先一起祈禱
[00:00:04.000 --> 00:00:07.000]  今天我們感謝你自己的恩典
[00:00:07.000 --> 00:00:09.000]  在主耶穌的清晨
[00:00:09.000 --> 00:00:11.000]  讓我們可以一起來追集經拜你
[00:00:11.000 --> 00:00:13.000]  亦都可以思想你的話語
[00:00:13.000 --> 00:00:15.000]  給予鼓勵
[00:00:15.000 --> 00:00:17.000]  父啊求你幫助我們明白
[00:00:17.000 --> 00:00:19.000]  聖經的信息
[00:00:19.000 --> 00:00:21.000]  奉主耶穌基督的名祈禱
[00:00:21.000 --> 00:00:23.000]  阿們
[00:00:23.000 --> 00:00:27.000]  不知道大家喜不喜歡看電影呢
[00:00:29.000 --> 00:00:31.000]  又不知道大家喜不喜歡看喜劇呢
[00:00:31.000 --> 00:00:34.000]  有團圓結局的電影呢
[00:00:34.000 --> 00:00:36.000]  還是
[00:00:36.000 --> 00:00:38.000]  一些悲劇結束
[00:00:38.000 --> 00:00:40.000]  甚至有些新的電影
[00:00:40.000 --> 00:00:42.000]  是沒有什麼美的
[00:00:42.000 --> 00:00:44.000]  做到那裡停了
[00:00:44.000 --> 00:00:46.000]  他沒有說結局
[00:00:46.000 --> 00:00:49.000]  我自己就喜歡看喜劇
[00:00:49.000 --> 00:00:51.000]  大團圓結局的電影
[00:00:51.000 --> 00:00:53.000]  又或者是一些好人
[00:00:53.000 --> 00:00:55.000]  勝利
[00:00:55.000 --> 00:00:57.000]  壞蛋
[00:00:57.000 --> 00:00:59.000]  的戲
[00:00:59.000 --> 00:01:01.000]  例如《悲慘世界》中
[00:01:01.000 --> 00:01:03.000]  壞蛋警長最後死了
[00:01:03.000 --> 00:01:05.000]  壞人變了好人
[00:01:05.000 --> 00:01:07.000]  之後仍然
[00:01:07.000 --> 00:01:09.000]  活著
[00:01:09.000 --> 00:01:11.000]  我們過去兩個星期
[00:01:11.000 --> 00:01:13.000]  都在看藥室
[00:01:13.000 --> 00:01:15.000]  的故事
[00:01:15.000 --> 00:01:17.000]  上星期我們看到藥室
