
[00:00:00.000 --> 00:00:02.920]  感謝我們的主
[00:00:02.920 --> 00:00:06.120]  祂不單止為我們死亡
[00:00:06.120 --> 00:00:09.320]  也為我們復活
[00:00:09.320 --> 00:00:13.120]  所以在今天的崇拜中
[00:00:13.120 --> 00:00:17.120]  我們特別紀念到主的復活
[00:00:17.120 --> 00:00:22.620]  或者說紀念到復活的主
[00:00:22.620 --> 00:00:24.120]  一般來說
[00:00:24.120 --> 00:00:27.120]  如果我們很想去認識一下
[00:00:27.120 --> 00:00:28.520]  主的復活
[00:00:28.520 --> 00:00:31.320]  或者復活的主的時候
[00:00:31.320 --> 00:00:35.320]  很多時候我們會從三個層面
[00:00:35.320 --> 00:00:39.320]  三個進路去了解
[00:00:39.320 --> 00:00:41.520]  哪三個的進路
[00:00:41.520 --> 00:00:45.120]  哪三個的了解呢?
[00:00:45.120 --> 00:00:49.520]  第一就是有些人嘗試去了解一下
[00:00:49.520 --> 00:00:55.320]  究竟主復活本身是怎樣的
[00:00:55.320 --> 00:00:59.520]  主耶穌怎樣在墳墓裏面一步一步地
[00:00:59.520 --> 00:01:03.720]  甦醒過來、復生過來呢?
[00:01:03.720 --> 00:01:05.720]  當我們看聖經的時候
[00:01:05.720 --> 00:01:10.720]  似乎在這方面我們都不能百分百掌握
[00:01:10.720 --> 00:01:14.720]  當然我們很清楚知道主是真的復活了
[00:01:14.720 --> 00:01:17.720]  但是祂怎樣一步一步地復活呢?
[00:01:17.720 --> 00:01:19.720]  不是容易看得到
[00:01:19.720 --> 00:01:26.120]  不過我們都看到有些很貼近主復活本身的描述
[00:01:26.120 --> 00:01:27.920]  譬如我們看到經文的
[00:01:27.920 --> 00:01:30.920]  講到一些婦女去到墳墓裏面
[00:01:30.920 --> 00:01:33.320]  都找不到主的身體
[00:01:33.320 --> 00:01:37.720]  我們又見到彼得曾經進入墳墓裏面去看
[00:01:37.720 --> 00:01:39.320]  看不到
[00:01:39.320 --> 00:01:43.720]  只是看到耶穌的果頭根在那裏
[00:01:43.720 --> 00:01:46.320]  和細麻布是分開了的
[00:01:46.320 --> 00:01:48.520]  聖經有這樣的描述
[00:01:48.520 --> 00:01:53.520]  很貼近主本身怎樣復活
[00:01:53.520 --> 00:01:56.520]  這是其中的一個進路
[00:01:56.520 --> 00:01:58.520]  但是不只是這樣
[00:01:58.520 --> 00:02:00.520]  我們了解主的復活
[00:02:00.520 --> 00:02:03.520]  復活主的時候還有另一個進路
[00:02:03.520 --> 00:02:04.520]  就是去了解一下
[00:02:04.520 --> 00:02:09.320]  究竟復活這件事有甚麼屬靈的意義
[00:02:09.320 --> 00:02:12.120]  它的解釋是怎樣呢?
[00:02:12.120 --> 00:02:16.120]  這也是在聖經裏面有很多的描述
[00:02:16.120 --> 00:02:23.720]  譬如彼得曾經在耶路撒冷教會復興的情景裏面
[00:02:23.720 --> 00:02:25.320]  《使徒行傳第二章》裏面
[00:02:25.320 --> 00:02:28.520]  講了一篇很長的道
[00:02:28.520 --> 00:02:29.720]  很有能力的道
[00:02:29.720 --> 00:02:32.520]  其中他去解釋給人知道
[00:02:32.520 --> 00:02:35.120]  耶穌復活的意義
[00:02:35.120 --> 00:02:37.720]  他告訴我們
[00:02:37.720 --> 00:02:40.720]  以色列全家當確實知道
[00:02:40.720 --> 00:02:43.720]  你們釘在十字架上的這位耶穌
