
[00:00:00.000 --> 00:00:08.500]  大家早 今天的題目是 教會出品必屬佳品 是問句來的
[00:00:08.500 --> 00:00:20.500]  講到之前 請大家看幾個圖片 看完圖片之後你會想起什麼呢
[00:00:20.500 --> 00:00:24.500]  第一張 想起什麼
[00:00:24.500 --> 00:00:27.500]  品牌的手機 是不是 不錯
[00:00:27.500 --> 00:00:33.500]  第二張 不錯的汽車 是不是 又是品牌的汽車
[00:00:33.500 --> 00:00:39.500]  第三張 看來不太熟悉
[00:00:39.500 --> 00:00:45.500]  看到中文幾個字 軍校 右邊去左邊的
[00:00:45.500 --> 00:00:49.500]  左邊那張就是在廣州的黃埔軍校
[00:00:49.500 --> 00:00:53.500]  我們知道黃埔軍校是非常出名的軍校 在中國歷史上
[00:00:53.500 --> 00:00:59.500]  右邊的是西點軍校 現在依然很出名
[00:00:59.500 --> 00:01:03.500]  所以這兩間軍校都是出品什麼呢
[00:01:03.500 --> 00:01:06.500]  非常優秀的軍官和軍事人才 是不是
[00:01:06.500 --> 00:01:10.500]  第四張 看到什麼呢
[00:01:10.500 --> 00:01:15.500]  教會 什麼教會
[00:01:15.500 --> 00:01:24.500]  香港三大宗派 分別是浸訊會 宣導會 播道會的local 還有太古城堂
[00:01:24.500 --> 00:01:31.500]  想起太古城堂 汽車廠出汽車 手機廠出手機
[00:01:31.500 --> 00:01:37.500]  軍事學校當然是培訓軍人 教會做什麼出來呢
[00:01:37.500 --> 00:01:45.500]  Jacqueline笑得很開心 昨天講道的時候 她說做罪人 都沒有錯的
[00:01:45.500 --> 00:01:47.500]  蒙恩的罪人 我們都是每一個蒙恩的罪人
[00:01:47.500 --> 00:01:51.500]  但回到聖經 今天大使命的聖經裡面說
[00:01:51.500 --> 00:01:56.500]  教會應該是造就門徒 教會是造就門徒
[00:01:56.500 --> 00:02:00.500]  所以我們問一個問題 教會出品 必屬佳品
[00:02:00.500 --> 00:02:05.500]  這句話到底是不是現實的狀況呢
[00:02:05.500 --> 00:02:10.500]  特別回到太古城堂的時間 我們是不是真的這樣呢
[00:02:10.500 --> 00:02:14.500]  今天是門徒訓練的專題 講道的訊息
[00:02:14.500 --> 00:02:19.500]  上星期李牧師是講職場 今個星期是講門徒訓練
[00:02:19.500 --> 00:02:23.500]  所以我們不是很按意道自見的經文的順序
[00:02:23.500 --> 00:02:30.500]  所以大家如果留意的話 會發覺今天講的東西好像和李希米記沒有什麼關係
[00:02:30.500 --> 00:02:34.500]  其實今天是講馬太福音的大使命經文
[00:02:34.500 --> 00:02:41.500]  另外一方面就是耶穌基督當時是怎樣帶領他的門徒的記載
[00:02:41.500 --> 00:02:47.500]  來探討門徒訓練的三大重要的元素
[00:02:47.500 --> 00:02:50.500]  我相信大使命大家都不會陌生
[00:02:50.500 --> 00:02:55.500]  但問大家一個問題 為什麼大使命叫做大使命
[00:02:55.500 --> 00:02:57.500]  為什麼呢
[00:02:57.500 --> 00:03:04.500]  出鏡很厲害 果然是成人教育部的部長
[00:03:04.500 --> 00:03:07.500]  因為裏面有很多是關於ALL的東西
[00:03:07.500 --> 00:03:13.500]  為什麼大呢 因為裏面有所有的權柄 使萬民凡
[00:03:13.500 --> 00:03:18.500]  我就常 如果英文的話全部都是ALL的 包括最後一個ALWAYS
[00:03:18.500 --> 00:03:24.500]  廣東話有個和英文ALL很相似的一個詞 也很特別的一個詞
[00:03:24.500 --> 00:03:27.500]  叫做HAMBALANG 聽過了嗎
[00:03:27.500 --> 00:03:30.500]  三個字 HAMBALANG
[00:03:30.500 --> 00:03:37.500]  我一改一點點聖經 加一個詞 讓大家讀一次大使命
[00:03:37.500 --> 00:03:40.500]  一起來讀 1 2 3
[00:03:40.500 --> 00:03:44.500]  天上地下HAMBALANG權柄都伺給我了
[00:03:44.500 --> 00:03:49.500]  所以你們要去 使HAMBALANG的民族作我門徒
[00:03:49.500 --> 00:03:53.500]  奉父子聖靈的名 給他們施洗
[00:03:53.500 --> 00:03:57.500]  HAMBALANG我所吩咐你們的 都教訓他們遵守
[00:03:57.500 --> 00:04:03.500]  我就HAMBALANG的時間與你們同在 直到世界的末了
[00:04:03.500 --> 00:04:07.500]  原來大使命裏面的大 不單止是耶穌所說的
[00:04:07.500 --> 00:04:14.500]  因為在內容裏面 也有很多關於HAMBALANG的ALL的訊息
[00:04:14.500 --> 00:04:19.500]  大使命裏面 除了留意這四個ALL之外
[00:04:19.500 --> 00:04:23.500]  其中一樣我們要留意 裏面有不同的動詞
[00:04:23.500 --> 00:04:26.500]  大使命裏面有四個非常重要的動詞
[00:04:26.500 --> 00:04:31.500]  希臘文裏面的動詞 都有不同的語氣
[00:04:31.500 --> 00:04:37.500]  如果你認識或者學習一些希臘文的話
[00:04:37.500 --> 00:04:40.500]  希臘文的動詞 要發掘不同的分類
[00:04:40.500 --> 00:04:44.500]  很複雜的 但是有位牧師用簡單的方式
[00:04:44.500 --> 00:04:49.500]  用清晰的分類去說四類
[00:04:49.500 --> 00:04:54.500]  譬如有命令式 直說 不定式 即是分詞
[00:04:54.500 --> 00:04:56.500]  還有一個就是假設語氣
[00:04:56.500 --> 00:05:00.500]  在網上提供免費的資源
[00:05:00.500 --> 00:05:04.500]  你可以上網看 葉爾牧師有機會上網看
[00:05:04.500 --> 00:05:08.500]  其實如果按希臘文動詞的分解
[00:05:08.500 --> 00:05:12.500]  可以看到大使命裏面的四個動詞
[00:05:12.500 --> 00:05:18.500]  哪個動詞是最主要的動詞呢
[00:05:18.500 --> 00:05:22.500]  有人說高 還有呢
[00:05:22.500 --> 00:05:25.500]  做 我其實都寫在這裏了
[00:05:25.500 --> 00:05:29.500]  就是紅色字體 作門徒
[00:05:29.500 --> 00:05:33.500]  是最主要的動詞 因為這個動詞是命令式的動詞
[00:05:33.500 --> 00:05:36.500]  剛才我說有四類的動詞
[00:05:36.500 --> 00:05:40.500]  不同的動詞 有不同的語氣 有優先次序
[00:05:40.500 --> 00:05:42.500]  它的重要性是不同的
[00:05:42.500 --> 00:05:44.500]  所以命令式的動詞是最重要的
[00:05:44.500 --> 00:05:50.500]  另外三個動詞 包括高 去 施洗 教訓
[00:05:50.500 --> 00:05:52.500]  都是分詞來的
[00:05:52.500 --> 00:05:54.500]  所以換言之 簡單地說
[00:05:54.500 --> 00:05:58.500]  怎樣完成史萬民作我門徒
[00:05:58.500 --> 00:06:00.500]  怎樣完成呢
[00:06:00.500 --> 00:06:02.500]  其實是透過三個動作
