
[00:00:00.000 --> 00:00:03.060]  我經常在祈禱裏面向神問一個問題
[00:00:03.060 --> 00:00:06.300]  我常常問上帝
[00:00:06.300 --> 00:00:09.920]  今天你會不會向這個世代的信徒
[00:00:09.920 --> 00:00:11.160]  講說話
[00:00:11.160 --> 00:00:15.420]  我不知道這是否你在神面前的一個很重要的祈禱
[00:00:15.420 --> 00:00:17.680]  如果我們相信
[00:00:17.680 --> 00:00:21.960]  今天上帝都會向我們這個世代的信徒
[00:00:21.960 --> 00:00:23.560]  講說話的時候
[00:00:23.560 --> 00:00:27.020]  那祂會向教會
[00:00:27.020 --> 00:00:31.760]  祂會向你的生命宣講一句什麼說話呢
[00:00:31.760 --> 00:00:34.240]  在這些晚上我盼望
[00:00:34.240 --> 00:00:36.840]  我們一起學習以史爲鑒
[00:00:36.840 --> 00:00:39.680]  透過上帝對以色列人
[00:00:39.680 --> 00:00:42.000]  一次傳聞的宣告
[00:00:42.000 --> 00:00:43.920]  我們一起反思一下
[00:00:43.920 --> 00:00:45.840]  上帝會不會今天
[00:00:45.840 --> 00:00:49.500]  向我們宣講一個祂對我們
[00:00:49.500 --> 00:00:51.280]  發出的信息呢
[00:00:51.280 --> 00:00:54.240]  各位,對以色列人來說
[00:00:54.240 --> 00:00:58.620]  那一羣數代在埃及圍爐的以色列人來說
[00:00:58.620 --> 00:01:00.900]  《出埃及記》第十九章
[00:01:00.900 --> 00:01:06.340]  應該是整個文術歷史裏面非常重要的轉捩點
[00:01:06.340 --> 00:01:08.640]  第十九章告訴我們
[00:01:08.640 --> 00:01:11.800]  當時他們去到西乃山的山腳
[00:01:11.800 --> 00:01:14.500]  上帝呼喚摩西
[00:01:14.500 --> 00:01:17.620]  他要透過摩西向他傳聞
[00:01:17.620 --> 00:01:20.080]  發出一個很重要的講話
[00:01:20.080 --> 00:01:22.120]  剛纔我們一起中讀的
[00:01:22.120 --> 00:01:24.080]  《出埃及記》第十九章
[00:01:24.080 --> 00:01:25.980]  第一節到第六節
[00:01:25.980 --> 00:01:28.740]  就是上帝向全民以色列
[00:01:28.740 --> 00:01:32.100]  所講的說話一個很重要的基礎
[00:01:32.100 --> 00:01:33.900]  第一節到第三節
[00:01:33.900 --> 00:01:37.460]  很明顯就是那個背景的陳述
[00:01:37.460 --> 00:01:39.340]  但是第四節
[00:01:39.340 --> 00:01:42.220]  這裏告訴我們上帝開始
[00:01:42.220 --> 00:01:46.380]  向他的子民發出一個非常重要的信息
[00:01:46.380 --> 00:01:48.720]  第四節說什麼呢
[00:01:48.720 --> 00:01:49.820]  這裏說
[00:01:49.820 --> 00:01:55.260]  我向埃及人所行的事你們都看見了
[00:01:55.260 --> 00:01:57.060]  且看見我
[00:01:57.060 --> 00:02:00.840]  如應將你們背在翅膀上
[00:02:00.840 --> 00:02:03.120]  帶來歸我
[00:02:03.120 --> 00:02:05.540]  各位這個說話代表什麼
[00:02:05.540 --> 00:02:08.040]  代表上帝要向他的子民
[00:02:08.040 --> 00:02:11.820]  發出一個很重要的宣告和提醒
[00:02:11.820 --> 00:02:18.100]  是上帝親自將他們帶向他的聖山
[00:02:18.100 --> 00:02:21.260]  是上帝親自要他的子民
[00:02:21.260 --> 00:02:24.500]  歸向他的國度
[00:02:24.500 --> 00:02:28.500]  我不知道大家能不能運用一下我們的幻想
[00:02:28.500 --> 00:02:30.820]  當我們看到這句說話的時候
[00:02:30.820 --> 00:02:33.460]  你腦海裏面出現一個什麼景象呢
[00:02:33.460 --> 00:02:36.100]  每一次當我看這句說話的時候
[00:02:36.100 --> 00:02:38.300]  我腦海就會湧現
[00:02:38.300 --> 00:02:42.300]  好像宮崎駿的漫畫的影像
[00:02:42.300 --> 00:02:43.940]  我心裏面在思想
[00:02:43.940 --> 00:02:45.900]  上帝講這番說話的時候
[00:02:45.900 --> 00:02:47.540]  他的形象是怎樣的呢
[00:02:47.540 --> 00:02:51.500]  就好像他變成了一隻很巨大的巨鷹
[00:02:51.500 --> 00:02:54.860]  將伊斯利文放在他的背上
[00:02:54.860 --> 00:02:57.340]  從埃及圍爐之地
[00:02:57.340 --> 00:02:59.340]  一路帶領他的子民
[00:02:59.340 --> 00:03:01.460]  歸回他的國度
[00:03:01.460 --> 00:03:03.500]  甚至我們可以想象得到
[00:03:03.500 --> 00:03:07.380]  當時那羣子民在這隻巨鷹的背上
[00:03:07.380 --> 00:03:09.660]  他們越過海洋
[00:03:09.660 --> 00:03:11.700]  他們穿越沙漠
[00:03:11.700 --> 00:03:13.980]  他們飛過高山峻嶺
[00:03:13.980 --> 00:03:17.140]  他們走過很多不同的地方
