
[00:00:00.000 --> 00:00:02.000]  (主席)各位兄弟姊妹平安
[00:00:02.000 --> 00:00:05.800]  (主席)我們開始的時候先做一個祈禱
[00:00:05.800 --> 00:00:08.480]  (主席)主啊
[00:00:08.480 --> 00:00:12.800]  (主席)在這個年終我們數算你的恩典的時候
[00:00:12.800 --> 00:00:15.420]  (主席)求你跟我們講說話
[00:00:15.420 --> 00:00:17.220]  (主席)亦都教導我們
[00:00:17.220 --> 00:00:19.980]  (主席)以致我們都能夠明白你的心意
[00:00:19.980 --> 00:00:22.740]  (主席)以上是禱告奉主耶穌基督的聖名
[00:00:22.740 --> 00:00:24.740]  (主席)阿們
[00:00:24.740 --> 00:00:26.480]  (主席)最近我聽到
[00:00:26.480 --> 00:00:29.180]  (主席)有兩位老人家
[00:00:30.000 --> 00:00:33.280]  (主席)我叫他們張三或者李四
[00:00:33.280 --> 00:00:35.860]  (主席)他們在聊天
[00:00:35.860 --> 00:00:40.340]  (主席)那張三就跟李四說
[00:00:40.340 --> 00:00:43.800]  (主席)不行,今天我來遲了
[00:00:43.800 --> 00:00:46.700]  (主席)我不能夠跟你一起喝咖啡
[00:00:46.700 --> 00:00:48.820]  (主席)因為我
[00:00:48.820 --> 00:00:54.620]  (主席)立刻要回去跟我的老伴吃飯
[00:00:54.620 --> 00:00:57.800]  (主席)李四就跟他說
[00:00:57.800 --> 00:01:01.620]  (主席)你的愛人,你的太太都不認得你
[00:01:01.620 --> 00:01:05.040]  (主席)你等一下先回去,喝杯咖啡先回去
[00:01:05.040 --> 00:01:06.520]  (主席)都無所謂
[00:01:06.520 --> 00:01:09.700]  (主席)張三就嘆了一口氣
[00:01:09.700 --> 00:01:10.860]  (主席)就說
[00:01:10.860 --> 00:01:12.420]  (主席)他說
[00:01:12.420 --> 00:01:16.080]  (主席)他不認得我,但我認得他
[00:01:16.080 --> 00:01:20.080]  (主席)這句話在我的腦海裏
[00:01:20.080 --> 00:01:22.840]  (主席)不能夠忘懷
[00:01:22.840 --> 00:01:26.500]  (主席)好像這個聲音在哪裏聽過
[00:01:27.800 --> 00:01:30.380]  (主席)有人可能說,是否在結婚的時候
[00:01:30.380 --> 00:01:32.280]  (主席)可能是的
[00:01:32.280 --> 00:01:35.740]  (主席)無論如何,我們等一下看看
[00:01:35.740 --> 00:01:37.700]  (主席)我們這首詩後面那裏
[00:01:37.700 --> 00:01:39.880]  (主席)你可能會了解多一點
[00:01:39.880 --> 00:01:44.480]  (主席)剛才我們所讀的那首詩
[00:01:44.480 --> 00:01:47.860]  (主席)是一首非常美麗的大衛之詩
[00:01:47.860 --> 00:01:52.920]  (主席)我很高興能夠在這裏跟大家一起分享
[00:01:52.920 --> 00:01:56.940]  (主席)我剛才所唱的那首歌
[00:01:56.940 --> 00:01:58.880]  (主席)其實都是從這裏來的
[00:01:58.880 --> 00:02:02.560]  (主席)其實詩人就是在這裏呼籲他的百姓
[00:02:02.560 --> 00:02:05.800]  (主席)一定要一起來讚美這個神
[00:02:05.800 --> 00:02:09.460]  (主席)不可以忘記祂的恩惠
[00:02:09.460 --> 00:02:12.140]  (主席)其實只是講了一半
[00:02:12.140 --> 00:02:15.340]  (主席)下面那一半,我等一下跟大家一起分享
[00:02:15.340 --> 00:02:19.200]  (主席)在這裏,我將這首詩分為三個部分
[00:02:19.200 --> 00:02:21.240]  (主席)第一到第八節
[00:02:21.240 --> 00:02:23.480]  (主席)就是先講到
[00:02:23.480 --> 00:02:28.240]  (主席)詩人為什麼要讚美神的一個原因
[00:02:28.240 --> 00:02:30.100]  (主席)開始的時候
[00:02:30.100 --> 00:02:32.100]  (主席)詩人就是吩咐他自己
[00:02:32.100 --> 00:02:35.320]  (主席)你一定要讚美神
[00:02:35.320 --> 00:02:37.080]  (主席)以及祂的聖名
[00:02:37.080 --> 00:02:38.660]  (主席)所以在這裏
[00:02:38.660 --> 00:02:41.160]  (主席)第二節你會看到
[00:02:41.160 --> 00:02:42.300]  (主席)不可忘記
[00:02:42.300 --> 00:02:47.240]  (主席)其實是在講一個叫他自己要牢牢記住的意思
[00:02:47.240 --> 00:02:49.100]  (主席)其實我們經常都講的
[00:02:49.100 --> 00:02:51.100]  (主席)敵人的敵人就是朋友
[00:02:51.100 --> 00:02:57.320]  (主席)不可忘記當然是要你牢牢記住
[00:02:57.320 --> 00:03:03.080]  (主席)然後因為原文其實是有關於報應的
[00:03:03.080 --> 00:03:06.660]  (主席)就是說神會按著人的行為
[00:03:06.660 --> 00:03:10.360]  (主席)來給人賞和佛
[00:03:10.360 --> 00:03:16.940]  (主席)心就是猶太人經常講的整個人
[00:03:16.940 --> 00:03:18.120]  (主席)這裏就是說
[00:03:18.120 --> 00:03:21.100]  (主席)詩人三次來吩咐他自己
[00:03:21.100 --> 00:03:26.120]  (主席)他要全心全意的來感謝神
[00:03:26.120 --> 00:03:30.120]  (主席)然後在第三到第五節
[00:03:30.120 --> 00:03:32.120]  (主席)就開始講了
[00:03:32.120 --> 00:03:37.720]  (主席)原本在這裏是用三個他來開始的
[00:03:37.720 --> 00:03:43.120]  (主席)但是原文其實是用那些現代分詞來開始的
