
[00:00:00.000 --> 00:00:01.340]  講到教會
[00:00:01.340 --> 00:00:04.380]  有很多不同的形象 講到關於教會
[00:00:04.380 --> 00:00:07.020]  如果你問我 其中一篇我最喜歡
[00:00:07.020 --> 00:00:09.000]  講到關於教會
[00:00:09.000 --> 00:00:11.340]  我覺得這篇彼得前書的信息
[00:00:11.340 --> 00:00:14.820]  大家知道彼得是教會的第一任接班人
[00:00:14.820 --> 00:00:18.480]  接耶穌 耶穌說要將教會建立在盆石上
[00:00:18.480 --> 00:00:22.100]  然後叫彼得去接班
[00:00:22.100 --> 00:00:24.640]  大家都知道彼得是大門徒
[00:00:24.640 --> 00:00:27.640]  作為可以說是人類歷史上
[00:00:27.640 --> 00:00:30.940]  第一間教會 你說耶穌是第一任也好
[00:00:30.940 --> 00:00:33.840]  彼得是第一任也好 或者雅各是第一任也好
[00:00:33.840 --> 00:00:35.840]  第一代的接班人
[00:00:35.840 --> 00:00:37.740]  我想他講到關於教會的東西
[00:00:37.740 --> 00:00:40.040]  都值得我們一班基督徒去聽聽
[00:00:40.040 --> 00:00:43.640]  究竟教會 我們應該怎樣去看教會
[00:00:43.640 --> 00:00:46.840]  今天彼得前書是我覺得在聖經裡面
[00:00:46.840 --> 00:00:50.640]  其中一篇最完整的教會觀
[00:00:50.640 --> 00:00:52.640]  如果你說到教會的時候
[00:00:52.640 --> 00:00:55.840]  這篇信息是很值得我們去思想
[00:00:55.840 --> 00:00:58.440]  但是在講這篇信息之前 先講一個故事
[00:00:58.440 --> 00:01:00.640]  因為我在網上聽到
[00:01:00.640 --> 00:01:02.640]  一位牧者講到這個故事
[00:01:02.640 --> 00:01:05.940]  我覺得這篇信息很貼切
[00:01:05.940 --> 00:01:09.140]  這個故事講到一個人叫阿彪
[00:01:09.140 --> 00:01:15.440]  這個阿彪來自一間比較大的教會
[00:01:15.440 --> 00:01:18.940]  有很多人聚會
[00:01:18.940 --> 00:01:22.040]  有一個很大的架構
[00:01:22.040 --> 00:01:26.540]  一直發展 越來越多分堂
[00:01:26.540 --> 00:01:28.540]  不是說會怎樣
[00:01:28.540 --> 00:01:32.340]  教會慢慢越來越制度化
[00:01:32.340 --> 00:01:34.740]  因為越來越大 越來越多人
[00:01:34.740 --> 00:01:36.240]  越來越多分堂
[00:01:36.240 --> 00:01:39.040]  阿彪覺得不太喜歡這間教會
[00:01:39.040 --> 00:01:42.640]  因為這間教會越來越冷漠
[00:01:42.640 --> 00:01:45.640]  回來的時候坐在那裡崇拜
[00:01:45.640 --> 00:01:48.640]  牧師叫我們握手 又沒有人理我
[00:01:48.640 --> 00:01:52.040]  以前小小的這間教會是很開心的
[00:01:52.040 --> 00:01:54.040]  但是現在越來越多人
[00:01:54.040 --> 00:02:00.240]  人們把錢都放在科技 物業那裡
[00:02:00.240 --> 00:02:03.240]  主要牧師一年都只得那幾次
[00:02:03.240 --> 00:02:05.240]  經常都要在影片裡見他一面
[00:02:05.240 --> 00:02:10.740]  教會就越來越多的侍工
[00:02:10.740 --> 00:02:13.240]  所謂「做到隻嘢」
