
[00:00:00.000 --> 00:00:01.000]  多謝每位主神
[00:00:01.000 --> 00:00:04.320]  很高興能夠再次和大家一起見面
[00:00:04.320 --> 00:00:06.520]  並且在主日崇拜的時間
[00:00:06.520 --> 00:00:09.120]  和心地在主的道路上一起努力
[00:00:09.120 --> 00:00:11.760]  讓我們開始聆聽主道而先
[00:00:11.760 --> 00:00:15.560]  讓我們一起以禱告打開今天的敬拜時間
[00:00:15.560 --> 00:00:17.360]  很高興能夠跟弟兄姊妹
[00:00:17.360 --> 00:00:19.360]  再次在主崇拜的時間
[00:00:19.360 --> 00:00:22.480]  一起來到學習上帝的話語
[00:00:22.480 --> 00:00:24.480]  讓我們一起再次禱告
[00:00:24.480 --> 00:00:26.200]  讓我們把我們身心靈
[00:00:26.200 --> 00:00:28.600]  交在我們主的手上
[00:00:28.600 --> 00:00:30.360]  這是一個很好的榮幸
[00:00:30.360 --> 00:00:33.120]  我可以再次有這個機會
[00:00:33.120 --> 00:00:35.200]  在禱告的時間
[00:00:35.200 --> 00:00:40.800]  我們可以學習上帝的教導
[00:00:40.800 --> 00:00:42.400]  讓我們舉起我們的頭
[00:00:42.400 --> 00:00:44.840]  然後向聖靈祈禱
[00:00:44.840 --> 00:00:47.640]  保佑我們能夠在這個禱告的時間裡
[00:00:47.640 --> 00:00:48.920]  和神明禱告
[00:00:48.920 --> 00:00:51.840]  慈悲的天父多謝你
[00:00:51.840 --> 00:00:54.120]  讓我們能夠再次回來
[00:00:54.120 --> 00:00:56.920]  在你寶貴的說話的跟前
[00:00:56.920 --> 00:00:59.360]  去聆聽主你的教訓
[00:00:59.360 --> 00:01:02.040]  藉著你的使徒保羅
[00:01:02.040 --> 00:01:06.560]  他怎樣將你在救恩上所成就的一切
[00:01:06.560 --> 00:01:08.920]  並且怎樣在屬靈的道路上
[00:01:08.920 --> 00:01:10.680]  帶領我們所走的道路
[00:01:10.680 --> 00:01:12.320]  我們懇求父神你的靈
[00:01:12.320 --> 00:01:15.560]  再次給我們有更清晰的引導
[00:01:15.560 --> 00:01:18.640]  讓我們能夠好好的在往後的日子
[00:01:18.640 --> 00:01:19.880]  繼續依靠你
[00:01:19.880 --> 00:01:23.400]  我們恭敬將這段時間交在主你的手上
[00:01:23.400 --> 00:01:28.040]  好好地在主你的跟前聆聽主你的教訓
[00:01:28.040 --> 00:01:30.400]  很高興我們的父神
[00:01:30.400 --> 00:01:33.800]  你給我們能夠再次來到你的跟前
[00:01:33.800 --> 00:01:35.880]  一同來到禱告
[00:01:35.880 --> 00:01:37.920]  預備我們心思意念
[00:01:37.920 --> 00:01:40.360]  來到聆聽你的啟示
[00:01:40.360 --> 00:01:43.040]  怎樣透過你的使徒保羅
[00:01:43.040 --> 00:01:45.840]  在你的寶貴的話語當中
[00:01:45.840 --> 00:01:47.720]  使我們更認識你
[00:01:47.720 --> 00:01:49.240]  求你的幫助
[00:01:49.240 --> 00:01:50.440]  透過你的聖靈
[00:01:50.440 --> 00:01:53.880]  使我們更準確把握主你的教訓
[00:01:53.880 --> 00:01:56.440]  使我們在往後的日子當中
[00:01:56.440 --> 00:02:00.920]  能夠好好的把你放在我們的上面
[00:02:00.920 --> 00:02:05.800]  怎樣活活地在每一天的生活當中流露出來
[00:02:05.800 --> 00:02:07.360]  我們的祖先
[00:02:07.360 --> 00:02:09.040]  再次感謝您
[00:02:09.040 --> 00:02:12.320]  您讓我們有另一個機會
[00:02:12.320 --> 00:02:15.200]  讓我們通過您的教訓
[00:02:15.200 --> 00:02:17.600]  更了解您
[00:02:17.600 --> 00:02:19.840]  我們也懇求您的聖靈
[00:02:19.840 --> 00:02:21.560]  在這段時間裡
[00:02:21.560 --> 00:02:23.560]  我們需要您的指導
[00:02:23.560 --> 00:02:24.920]  所以幫助我們
[00:02:24.920 --> 00:02:27.880]  以便我們能夠知道您是誰
[00:02:27.880 --> 00:02:31.160]  同時我們也能夠證明我們的信心
