
[00:00:00.000 --> 00:00:03.480]  我們從詩篇第一篇一起閱讀
[00:00:03.480 --> 00:00:06.520]  思想給予我們的啟發
[00:00:06.520 --> 00:00:16.840]  詩篇第一篇是一篇比較特別的詩篇
[00:00:16.840 --> 00:00:19.320]  它與其他詩篇不同之處是
[00:00:19.320 --> 00:00:24.440]  其他詩篇很多都是用在崇拜或禮儀上
[00:00:24.440 --> 00:00:27.040]  用作儀文來出現
[00:00:27.800 --> 00:00:32.040]  詩篇第一篇被放在篇首
[00:00:32.040 --> 00:00:37.200]  整個詩篇的開字上作為一個引言
[00:00:37.200 --> 00:00:40.480]  詩篇第一篇的第一個字
[00:00:40.480 --> 00:00:45.760]  其實不是我們現在看到的筆字
[00:00:45.760 --> 00:00:51.880]  它的第一個字可以譯作「幸福」或「快樂」
[00:00:51.880 --> 00:00:57.160]  通常譯作「有福的人」
[00:00:57.160 --> 00:01:04.680]  這個字在詩篇第二篇結束時再次出現
[00:01:04.680 --> 00:01:08.360]  所以有人說詩篇第一篇與第二篇合起來
[00:01:08.360 --> 00:01:11.280]  其實是詩篇的雙重引言
[00:01:11.280 --> 00:01:18.720]  第一篇是用智慧文學的形式來書寫
[00:01:18.720 --> 00:01:23.080]  第二篇是用先知文學的形式來表達
[00:01:23.080 --> 00:01:29.600]  它們共同的主題都是「幸福」、「快樂」
[00:01:29.600 --> 00:01:37.760]  我們可以將詩篇第一篇分開三個部分來閱讀
[00:01:37.760 --> 00:01:41.160]  第一部分是第一節和第二節
[00:01:41.160 --> 00:01:43.720]  第一節是「不從惡人的計謀
[00:01:43.720 --> 00:01:45.200]  不站罪人的道路
[00:01:45.200 --> 00:01:48.440]  不坐涉萬人的座位」
[00:01:48.440 --> 00:01:50.720]  第二節是「為喜愛耶和華的律法
[00:01:50.720 --> 00:01:54.240]  晝夜思想者人變為有福」
[00:01:54.240 --> 00:01:57.720]  你會說詩篇第一篇開始時
[00:01:57.720 --> 00:02:00.160]  「有福」在哪裏呢?
[00:02:00.160 --> 00:02:04.480]  原來翻譯譯本放在第二節的最後
[00:02:04.480 --> 00:02:10.200]  所以新譯本將這個字放在前面的第一個位置
[00:02:10.200 --> 00:02:13.280]  就會容易讀出這首詩歌的題字
[00:02:13.280 --> 00:02:15.240]  新譯本是這樣譯
[00:02:15.240 --> 00:02:18.360]  「有福的人」是怎樣呢?
[00:02:18.360 --> 00:02:20.960]  「有福的人,不從惡人的計謀
[00:02:20.960 --> 00:02:22.600]  不站罪人的道路
[00:02:22.600 --> 00:02:26.040]  不坐好機消人的座位」
[00:02:26.040 --> 00:02:27.640]  將詩篇放在前面的時候
[00:02:27.640 --> 00:02:30.440]  我們就會清楚一點
[00:02:30.440 --> 00:02:32.960]  詩人想說甚麼
[00:02:32.960 --> 00:02:34.960]  「有福的人」是怎樣呢?
[00:02:34.960 --> 00:02:40.440]  或者怎樣才得到「幸福」、「快樂」呢?
[00:02:40.440 --> 00:02:44.640]  「幸福」、「快樂」好像是很抽象的東西
[00:02:44.640 --> 00:02:48.960]  你拿出來給我看看,好像拿不到
[00:02:48.960 --> 00:02:54.440]  所以我們都喜歡有些東西拿在手上
[00:02:54.440 --> 00:02:56.440]  因為有東西拿在手上的時候
[00:02:56.440 --> 00:02:58.320]  我們就會容易確認到
[00:02:58.320 --> 00:03:00.720]  我們真是「幸福」和「快樂」
[00:03:00.720 --> 00:03:04.360]  我們想有一些東西是抓得緊又抓得緊的
[00:03:04.360 --> 00:03:07.280]  我們知道真是「幸福」和「快樂」
[00:03:07.280 --> 00:03:12.320]  拍拖的情侶有時都是這樣想
[00:03:12.320 --> 00:03:14.440]  你花都不送給我
[00:03:14.440 --> 00:03:18.680]  我怎樣感覺到你呢?
[00:03:18.680 --> 00:03:20.640]  詩人提出
[00:03:20.640 --> 00:03:23.520]  「喜愛耶和華的律法晝夜思想
[00:03:23.520 --> 00:03:27.240]  就會是幸福和快樂」
[00:03:27.240 --> 00:03:33.040]  這種建議難免令人感到虛幻不實
[00:03:33.040 --> 00:03:34.720]  亦都難以掌握
[00:03:34.720 --> 00:03:37.440]  但相對來說
[00:03:37.440 --> 00:03:41.360]  第一節所說的
[00:03:41.360 --> 00:03:42.360]  「惡人的計謀」
[00:03:42.360 --> 00:03:43.240]  「罪人的道路」
[00:03:43.240 --> 00:03:46.200]  「涉萬人的座位」
[00:03:46.200 --> 00:03:48.240]  就好像實際得多
[00:03:48.240 --> 00:03:54.120]  因為有計劃、有方法可以掌握
[00:03:54.120 --> 00:03:58.880]  還有具體的位置你知道去到哪裡
[00:03:58.880 --> 00:04:05.160]  詩歌經常都用對比和平衡來表達
[00:04:05.160 --> 00:04:06.600]  你會問
[00:04:06.600 --> 00:04:10.760]  「惡人、罪人和涉萬人三者有什麼差異?」
[00:04:10.760 --> 00:04:12.560]  他們真的有些差異
[00:04:12.560 --> 00:04:15.760]  不過作為讀者你都明白
[00:04:15.760 --> 00:04:17.960]  他們所指的都是跟下一句
[00:04:17.960 --> 00:04:20.080]  「喜愛耶和華的律法」的人
[00:04:20.080 --> 00:04:23.000]  作為相對的對比
[00:04:23.000 --> 00:04:23.960]  接著你又問
[00:04:23.960 --> 00:04:27.760]  「計謀、道路、座位有什麼差別?」
[00:04:27.760 --> 00:04:31.120]  這三者的涉入程度的確有不同
[00:04:31.120 --> 00:04:32.440]  會越來越深
[00:04:32.440 --> 00:04:34.360]  但作為讀者你又會明白
[00:04:34.360 --> 00:04:36.200]  大概都是跟下一句
[00:04:36.200 --> 00:04:37.960]  「晝夜思想耶和華的律法」
[00:04:37.960 --> 00:04:42.880]  這種狀態來做一個對比
[00:04:42.880 --> 00:04:45.880]  至於「耶和華的律法」
[00:04:45.880 --> 00:04:51.720]  狹義可以只是《舊約聖經》裡面的律法書
[00:04:51.720 --> 00:04:53.480]  或者被稱為摩西五經
[00:04:53.480 --> 00:04:55.520]  《舊約聖經》的頭五卷
[00:04:55.520 --> 00:04:56.920]  但廣義來說
[00:04:56.920 --> 00:05:00.680]  就可以只是上帝創造天地
[00:05:00.680 --> 00:05:02.680]  創造萬物的原意
[00:05:02.680 --> 00:05:06.960]  以及交託給人類生存在這個地球上
[00:05:06.960 --> 00:05:09.520]  那種的恩典和使命
[00:05:09.520 --> 00:05:12.560]  有人稱之為「天道」
[00:05:12.560 --> 00:05:14.840]  天道在不同的傳統裡面
[00:05:14.840 --> 00:05:16.640]  可以有不同的內涵
[00:05:16.640 --> 00:05:21.400]  但大體上都可以說是關於終結真理
[00:05:21.400 --> 00:05:23.640]  關於本體、關於規律
[00:05:23.640 --> 00:05:27.160]  關於原則、關於境界
[00:05:27.160 --> 00:05:30.920]  指定一個永恆一切的道
[00:05:30.920 --> 00:05:34.320]  香港有一間基督教書室
[00:05:34.320 --> 00:05:36.960]  叫做「天道書樓」
[00:05:36.960 --> 00:05:39.280]  大概就是這個意思
[00:05:39.280 --> 00:05:42.280]  上帝的道
[00:05:42.280 --> 00:05:43.760]  理想地說
[00:05:43.760 --> 00:05:46.360]  詩篇第一篇開始的時候列出了
[00:05:46.360 --> 00:05:50.560]  叫人不要...就要...
[00:05:50.560 --> 00:05:53.000]  這是一個快樂的途徑
[00:05:53.000 --> 00:05:54.160]  理想地來說
[00:05:54.160 --> 00:05:59.920]  人都希望擇善取惡
[00:05:59.920 --> 00:06:05.400]  我們都是希望善良而不是選擇邪惡
[00:06:05.400 --> 00:06:07.440]  例如我們都在祈許
[00:06:07.440 --> 00:06:10.240]  宗教都是導人向善
[00:06:10.240 --> 00:06:11.640]  我們的教育
[00:06:11.640 --> 00:06:16.920]  其實都是在推崇得智體群美善
[00:06:16.920 --> 00:06:19.280]  不過現實操作上
[00:06:19.280 --> 00:06:20.520]  有時候我們會感覺到
[00:06:20.520 --> 00:06:23.240]  天道、善、義
[00:06:23.240 --> 00:06:25.120]  這些指導
[00:06:25.120 --> 00:06:30.000]  未能夠幫我們達到我們想要的目標
[00:06:30.000 --> 00:06:33.320]  未能夠幫我們得到我們想要的東西
[00:06:33.320 --> 00:06:37.040]  亦都未能夠令我們稱雄稱霸
[00:06:37.040 --> 00:06:41.520]  或者最深層次的猶豫是
[00:06:41.520 --> 00:06:43.560]  這些天道、善、義
[00:06:43.560 --> 00:06:47.280]  這些耶和華的律法
[00:06:47.280 --> 00:06:52.080]  這些東西
[00:06:52.080 --> 00:06:55.960]  未能保障我們的生存
[00:06:55.960 --> 00:07:00.600]  因為它令我們感覺到它太清高
[00:07:00.600 --> 00:07:02.560]  太抽象、太虛幻
[00:07:02.560 --> 00:07:04.240]  總之就是
[00:07:04.240 --> 00:07:08.240]  不可以當飯吃
[00:07:08.240 --> 00:07:09.800]  不可以當飯吃
[00:07:09.800 --> 00:07:11.960]  為了生存
[00:07:11.960 --> 00:07:14.680]  我們總是要捉老鼠的
[00:07:14.680 --> 00:07:16.360]  無論是白貓還是黑貓
[00:07:16.360 --> 00:07:18.160]  總之捉到老鼠的
[00:07:18.160 --> 00:07:23.040]  就是好貓
[00:07:23.040 --> 00:07:24.440]  對我們來說
[00:07:24.440 --> 00:07:25.960]  如果這是一個童話世界
[00:07:25.960 --> 00:07:29.280]  我們一定會選擇耶和華的律法
[00:07:29.280 --> 00:07:31.280]  而不是惡人的計謀
[00:07:31.280 --> 00:07:32.440]  罪人的道路
[00:07:32.440 --> 00:07:34.480]  好機少人的座位
[00:07:34.480 --> 00:07:37.440]  但是當我們要戰鬥的時候
[00:07:37.440 --> 00:07:39.000]  當我們要打敗對手的時候
[00:07:39.000 --> 00:07:40.920]  當我們要達到目標的時候
[00:07:40.920 --> 00:07:43.200]  當我們要遂其心願的時候
[00:07:43.200 --> 00:07:45.320]  我們就可能會非常時期
[00:07:45.320 --> 00:07:49.840]  用非常方法
[00:07:49.840 --> 00:07:51.720]  普通話團契在八月的時候
[00:07:51.720 --> 00:07:56.400]  曾經看過一套電影
[00:07:56.400 --> 00:07:57.520]  我們有個聚會叫做
[00:07:57.520 --> 00:07:59.720]  《看電影談信仰》
[00:07:59.720 --> 00:08:03.520]  那套電影的名字叫做《Chappie》
[00:08:03.520 --> 00:08:06.440]  中文有譯做《超能茶派》
[00:08:06.440 --> 00:08:10.280]  又有譯做《成人世界》
[00:08:10.280 --> 00:08:18.280]  那套電影講在南非的首都約翰萊斯堡
[00:08:18.280 --> 00:08:22.320]  那裡的罪案非常之厲害
[00:08:22.320 --> 00:08:24.560]  警察沒有辦法控制場面
[00:08:24.560 --> 00:08:30.040]  於是有一家公司幫他們製造了機械人警察
