
[00:00:00.000 --> 00:00:05.160]  不如一開始我們先有一個禱告
[00:00:05.160 --> 00:00:07.320]  親愛的主我們感謝讚美祢
[00:00:07.320 --> 00:00:09.000]  多謝祢今天早上
[00:00:09.000 --> 00:00:11.880]  讓我們聆聽祢的話語
[00:00:11.880 --> 00:00:12.920]  主日釋迦
[00:00:12.920 --> 00:00:14.720]  無論聽的 講的
[00:00:14.720 --> 00:00:18.360]  願祢的話語都成為我們生命的提醒
[00:00:18.360 --> 00:00:19.360]  我們這樣禱告
[00:00:19.360 --> 00:00:22.120]  去奉靠主耶穌基督得勝明志祈求
[00:00:22.120 --> 00:00:24.640]  阿們
[00:00:24.640 --> 00:00:27.960]  近日的疫情突然災到爆發
[00:00:27.960 --> 00:00:30.400]  大家真的要加倍小心
[00:00:30.400 --> 00:00:31.520]  不要鬆懈
[00:00:31.520 --> 00:00:33.400]  因為在這段時間
[00:00:33.400 --> 00:00:40.400]  相信不單止感染的人會辛苦
[00:00:40.400 --> 00:00:44.200]  而可能身邊的家人都會處於恐懼當中
[00:00:44.200 --> 00:00:47.080]  所以我們都要特別小心
[00:00:47.080 --> 00:00:48.880]  一來是保護自己
[00:00:48.880 --> 00:00:51.960]  亦都可以關顧身邊的人
[00:00:51.960 --> 00:00:53.280]  講起鬆懈
[00:00:53.280 --> 00:00:56.720]  我們可以從甚麼去知道我們有沒有鬆懈呢
[00:00:56.720 --> 00:00:58.880]  一半我們都是看看我們的行為
[00:00:58.880 --> 00:01:00.360]  我們有沒有戴口罩
[00:01:00.360 --> 00:01:02.160]  有沒有勤洗手
[00:01:02.160 --> 00:01:05.760]  有沒有避免去人多的地方等等
[00:01:05.760 --> 00:01:09.840]  所以我們可以從我們的行為略知一二
[00:01:09.840 --> 00:01:11.920]  不過真的有沒有鬆懈
[00:01:11.920 --> 00:01:15.640]  就不單單看我們有沒有做或做了甚麼
[00:01:15.640 --> 00:01:19.560]  更加是看我們怎樣去看那件事
[00:01:19.560 --> 00:01:23.560]  我們怎樣去判斷那件事的價值
[00:01:23.560 --> 00:01:28.160]  之前香港的確診數字是零
[00:01:28.160 --> 00:01:30.160]  零對於一些人來說
[00:01:30.160 --> 00:01:32.400]  是判斷價值的依據
[00:01:32.400 --> 00:01:34.880]  零即是沒有事的意思
[00:01:34.880 --> 00:01:39.160]  但對於病毒的學者來說
[00:01:39.160 --> 00:01:41.280]  又不可以單單看數字
[00:01:41.280 --> 00:01:43.280]  一天沒有疫苗
[00:01:43.280 --> 00:01:45.680]  一天我們都要很小心
[00:01:45.680 --> 00:01:48.560]  所以不同的自身經驗
[00:01:48.560 --> 00:01:51.040]  不同的涉獵領域
[00:01:51.040 --> 00:01:54.640]  都會影響我們有不同的價值判斷
[00:01:54.640 --> 00:01:57.840]  又直接影響我們的行為
[00:01:57.840 --> 00:02:02.240]  而所說的不單只是對抗疫上的表現
[00:02:02.240 --> 00:02:05.240]  我們生活和生命的選取
[00:02:05.240 --> 00:02:11.200]  確實和我們生命的價值判斷是息息相關的
[00:02:11.200 --> 00:02:13.360]  這個月我們讀到
[00:02:13.360 --> 00:02:17.040]  「標桿人生」裏面不斷要我們去思考
[00:02:17.040 --> 00:02:18.520]  我們為甚麼而活
[00:02:18.520 --> 00:02:22.040]  我們為甚麼而駕馭
[00:02:22.040 --> 00:02:26.560]  這些都是影響我們怎樣判斷事情的
[00:02:26.560 --> 00:02:28.360]  不過正如上星期
[00:02:28.360 --> 00:02:30.360]  衍記所宣講的「道」
[00:02:30.360 --> 00:02:32.280]  都是一個很大的提醒
[00:02:32.280 --> 00:02:35.400]  我們很多時候我們是在體貼肉體
[00:02:35.400 --> 00:02:38.000]  還是我們在體貼性靈呢
[00:02:38.000 --> 00:02:40.800]  這個的確是一個不容易的攻防
[00:02:40.800 --> 00:02:41.760]  故此盼望
[00:02:41.760 --> 00:02:44.480]  今天我們藉著「馬太福音十三章」
[00:02:44.480 --> 00:02:48.640]  二十四至三十字和三十六至四十三字
[00:02:48.640 --> 00:02:51.560]  看看上帝的話語怎樣去繼續
[00:02:51.560 --> 00:02:54.520]  對我們生命帶來提醒
[00:02:54.520 --> 00:02:56.920]  現在我都鼓勵大家
[00:02:56.920 --> 00:02:58.920]  因為你在家裏的關係
[00:02:58.920 --> 00:03:04.000]  更加容易可以拿起一本聖經去聽道
[00:03:04.000 --> 00:03:07.600]  這個都是我們更加可以明白聖經
[00:03:07.600 --> 00:03:11.440]  因為很多時候我們都需要看一看上文下理
[00:03:11.440 --> 00:03:14.640]  所以我都鼓勵你現在立即去拿一本聖經
[00:03:14.640 --> 00:03:17.000]  我們一起去翻閱
[00:03:17.000 --> 00:03:21.600]  今天我們先去看一看經文的背景
[00:03:21.600 --> 00:03:25.440]  第十三章的第一句一開始就說
[00:03:25.440 --> 00:03:27.080]  「就在那天」
[00:03:27.080 --> 00:03:31.440]  之後耶穌就一連說了七個比喻
[00:03:31.440 --> 00:03:32.800]  「就在那天」
[00:03:32.800 --> 00:03:35.440]  到底發生了甚麼事呢?
[00:03:35.440 --> 00:03:36.960]  如果不重要的話
[00:03:36.960 --> 00:03:40.840]  其實聖經不會刻意在那裏這樣寫的
[00:03:40.840 --> 00:03:44.800]  不像我們作文要以雅字數寫多幾個字
[00:03:44.800 --> 00:03:48.840]  如果不是那天發生這段經文所帶出的意義
[00:03:48.840 --> 00:03:50.760]  會不會不同了呢?
[00:03:50.760 --> 00:03:55.080]  我們就要在聖經裏面不斷去查問
[00:03:55.080 --> 00:03:58.640]  這個也是我們看聖經有趣的地方
