
[00:00:00.000 --> 00:00:04.000]  復會的耶穌基督我們來到祢的面前讚美祢
[00:00:04.000 --> 00:00:07.500]  聖誕節是紀念祢的降生
[00:00:07.500 --> 00:00:11.000]  是紀念祢的信實、祢的慈愛
[00:00:11.000 --> 00:00:14.400]  紀念祢主動的來到這個世界上
[00:00:14.400 --> 00:00:18.300]  神啊!這一刻讓我們不忘記
[00:00:18.300 --> 00:00:19.900]  雖然祢升天
[00:00:19.900 --> 00:00:24.300]  但祢仍然在父上帝的右邊為我們代求
[00:00:24.300 --> 00:00:28.100]  為未信的人也同時為祢的兒女
[00:00:28.100 --> 00:00:30.100]  祢仍然是顧念我們
[00:00:30.100 --> 00:00:31.400]  所以主幫助我們
[00:00:31.400 --> 00:00:35.000]  待會進入祢自己的說話的時候
[00:00:35.000 --> 00:00:36.500]  我們不是純粹看一個
[00:00:36.500 --> 00:00:38.800]  跟我們毫無關係的歷史故事
[00:00:38.800 --> 00:00:41.700]  而是在看一個復活的主
[00:00:41.700 --> 00:00:43.400]  祢的生命的訊息
[00:00:43.400 --> 00:00:44.400]  所以求主聖靈
[00:00:44.400 --> 00:00:46.500]  祢親自引導我們各人的心
[00:00:46.500 --> 00:00:47.600]  幫助我們
[00:00:47.600 --> 00:00:49.600]  雖然我們各人可能有不同的狀況
[00:00:49.600 --> 00:00:51.000]  但聖靈是我們的主
[00:00:51.000 --> 00:00:52.400]  祢認識我們
[00:00:52.400 --> 00:00:54.600]  不同的狀況、不同的需要
[00:00:54.600 --> 00:00:56.200]  我們將一切交託給祢
[00:00:56.200 --> 00:00:57.900]  求祢繼續帶領我們以下的時間
[00:00:57.900 --> 00:00:58.600]  聽我們祈禱
[00:00:58.600 --> 00:01:00.100]  奉耶穌基督的名
[00:01:00.100 --> 00:01:01.100]  Amen
[00:01:28.100 --> 00:01:29.900]  我想展示一下
[00:01:29.900 --> 00:01:32.300]  這個故事十六節的經文
[00:01:32.300 --> 00:01:35.300]  哪些是主要的角色呢
[00:01:35.300 --> 00:01:36.800]  大概有三個
[00:01:36.800 --> 00:01:39.000]  一個就是耶穌
[00:01:39.000 --> 00:01:39.700]  除了耶穌
[00:01:39.700 --> 00:01:41.200]  耶穌的名字還有另外一個
[00:01:41.200 --> 00:01:42.700]  在這裡會說的稱呼就是
[00:01:42.700 --> 00:01:45.200]  猶太人的王
[00:01:45.200 --> 00:01:47.100]  另外藍色那裡
[00:01:47.100 --> 00:01:50.000]  比拉多和秦輔
[00:01:50.000 --> 00:01:51.600]  什麼叫秦輔呢
[00:01:51.600 --> 00:01:53.000]  一些近代的中文譯本
[00:01:53.000 --> 00:01:56.300]  就會譯秦輔做總督
[00:01:56.300 --> 00:02:00.000]  你們的英文譯本就會譯做governor
[00:02:00.000 --> 00:02:02.000]  因為對當時來說
[00:02:02.000 --> 00:02:04.400]  猶太地其實是一個殖民地
[00:02:04.400 --> 00:02:07.600]  是一個羅馬帝國的管治當中
[00:02:07.600 --> 00:02:09.900]  所以對我們來說就不難明白
[00:02:09.900 --> 00:02:12.900]  香港曾經是一個殖民地
[00:02:12.900 --> 00:02:16.000]  所以港督和總督是差不多的
[00:02:16.000 --> 00:02:19.200]  就是地區行政首長
[00:02:19.200 --> 00:02:23.200]  所以秦輔其實就是總督
[00:02:23.200 --> 00:02:25.000]  接著巴拉巴
[00:02:25.000 --> 00:02:27.100]  巴拉巴其實不是那個人的名字
[00:02:27.100 --> 00:02:29.500]  其實巴拉巴是阿蘭文
[00:02:29.500 --> 00:02:32.600]  巴字其實是兒子的意思
[00:02:32.600 --> 00:02:37.500]  所以巴拉巴就是拉巴的兒子
[00:02:37.500 --> 00:02:39.000]  所以其實它不是名字
[00:02:39.000 --> 00:02:40.000]  是稱號
[00:02:40.000 --> 00:02:42.300]  巴拉巴就是拉巴的兒子
[00:02:42.300 --> 00:02:45.000]  而根據馬科方十五章七節的記載
[00:02:45.000 --> 00:02:46.200]  說這個巴拉巴
[00:02:46.200 --> 00:02:48.400]  和那些作亂的人一同捆綁過
[00:02:48.400 --> 00:02:49.400]  因為他是囚犯
[00:02:49.400 --> 00:02:50.600]  為什麼會捉他呢
[00:02:50.600 --> 00:02:53.000]  因為作亂的人一起捆綁
[00:02:53.000 --> 00:02:56.200]  而同時他作亂的時候
[00:02:56.200 --> 00:02:58.200]  曾經殺過人
[00:02:58.200 --> 00:03:02.200]  所以這個巴拉巴是一個殺人犯
[00:03:02.200 --> 00:03:05.000]  接著有些比較次要的人物也出現過
[00:03:05.000 --> 00:03:07.900]  就是祭司長 長老 眾人
[00:03:07.900 --> 00:03:10.200]  還有他的夫人間接出現
[00:03:10.200 --> 00:03:12.900]  因為他夫人猜了那個人來說話
[00:03:12.900 --> 00:03:16.200]  有這些比較次要的人物
[00:03:16.200 --> 00:03:18.600]  今天很想和大家透過幾個動詞
[00:03:18.600 --> 00:03:22.400]  去看看這段經文的一些脈絡和重點
[00:03:22.400 --> 00:03:23.600]  這個動詞是什麼呢
