
[00:00:00.000 --> 00:00:03.640]  今天我們會看一個新的時詩
[00:00:03.640 --> 00:00:08.440]  我們過去幾個星期都帶大家去看
[00:00:08.440 --> 00:00:15.860]  基澱如何由成功一直到失敗
[00:00:15.860 --> 00:00:20.720]  接著我們也會看到他自己的兒子
[00:00:20.720 --> 00:00:23.340]  亞比米勒如何犯錯
[00:00:23.340 --> 00:00:26.980]  今天我們進入一個新的茶經
[00:00:26.980 --> 00:00:28.980]  就是講耶佛他
[00:00:28.980 --> 00:00:34.180]  我們先看這個題目叫做什麼呢?
[00:00:34.180 --> 00:00:37.060]  就是妄選、妄看
[00:00:37.060 --> 00:00:41.460]  他們很魯莽地揀選一個人做他們的領袖
[00:00:41.460 --> 00:00:44.060]  而這個人就是耶佛他
[00:00:44.060 --> 00:00:47.740]  耶佛他也很魯莽地做了一些事情
[00:00:47.740 --> 00:00:49.100]  一會兒我們會看
[00:00:49.100 --> 00:00:50.860]  我們一看的時候
[00:00:50.860 --> 00:00:54.420]  不要忘記我們在第一課的時候已經講了
[00:00:54.420 --> 00:00:57.580]  在《時詩記》裏面有幾個大的時詩
[00:00:57.580 --> 00:01:01.240]  我們看回第一課的時候的資料
[00:01:01.240 --> 00:01:03.680]  有一些大的時詩
[00:01:03.680 --> 00:01:07.100]  你會看到紅色字或橙色字
[00:01:07.100 --> 00:01:12.520]  但是當中會有一些間隔
[00:01:12.520 --> 00:01:14.760]  你留意到的時候
[00:01:14.760 --> 00:01:17.120]  就出現了兩個人
[00:01:17.120 --> 00:01:18.600]  這兩個人是誰呢?
[00:01:18.600 --> 00:01:21.780]  就是陀拉和艾爾
[00:01:21.780 --> 00:01:24.420]  而《時詩記》裏面的循環是怎樣呢?
[00:01:24.420 --> 00:01:25.740]  他們不斷犯罪
[00:01:25.740 --> 00:01:28.140]  被欺壓、向神呼求
[00:01:28.140 --> 00:01:29.960]  然後神就興起時詩
[00:01:29.960 --> 00:01:31.060]  救了他們
[00:01:31.060 --> 00:01:33.340]  然後他們有平安日子
[00:01:33.340 --> 00:01:36.300]  但是沒多久又再重蹈覆轍
[00:01:36.300 --> 00:01:38.240]  這是很大的問題
[00:01:38.240 --> 00:01:41.160]  我們來看耶佛他之前
[00:01:41.160 --> 00:01:45.520]  有兩個時詩都有間長的作用
[00:01:45.520 --> 00:01:48.980]  但是《聖經》裏面用很短的篇幅
[00:01:48.980 --> 00:01:51.440]  來記載他們的名字和時節
[00:01:51.440 --> 00:01:54.000]  第十章的焦點
[00:01:54.000 --> 00:01:57.020]  絕對不是放在這兩個時詩當中
[00:01:57.020 --> 00:01:59.880]  就是陀拉和艾爾
[00:01:59.880 --> 00:02:02.800]  而是放在以色列民族
[00:02:02.800 --> 00:02:05.060]  怎樣背叛尼氣神
[00:02:05.060 --> 00:02:09.020]  我們先看《時詩記》第十章第一、第二兩節
[00:02:09.020 --> 00:02:12.920]  「阿彼米勒以後又以撒迦人朵朵
[00:02:12.920 --> 00:02:16.380]  朵朵的孫子普雅的兒子陀拉
[00:02:16.380 --> 00:02:19.020]  其親戚拯救以色列人
[00:02:19.020 --> 00:02:21.680]  攤住在以法連山地的沙漠
[00:02:21.680 --> 00:02:24.880]  陀拉作以色列的士師二十三年
[00:02:24.880 --> 00:02:26.960]  就死了葬在沙漠」
[00:02:26.960 --> 00:02:28.680]  你有沒有留意到
[00:02:28.680 --> 00:02:31.780]  這一次的描繪和過去有些甚麼不同呢?
[00:02:31.780 --> 00:02:36.880]  過去會講到他們被外族入侵
[00:02:36.880 --> 00:02:42.540]  一會兒我們會看耶佛他被阿蒙入侵
[00:02:42.540 --> 00:02:48.400]  參孫放米殿人來對付他們
[00:02:48.400 --> 00:02:54.600]  但這次「阿彼米勒以後又以撒迦人朵朵
[00:02:54.600 --> 00:02:58.120]  陀拉拯救以色列人」
[00:02:58.120 --> 00:03:03.420]  但沒有講到是哪些外族搞擾他們
[00:03:03.420 --> 00:03:07.740]  即是暗示這次他們受的不是外族人
[00:03:07.740 --> 00:03:09.740]  而是去傷害他們
[00:03:09.740 --> 00:03:14.380]  是為本國的人、本土的人、本族的人去傷害他們
[00:03:14.380 --> 00:03:15.380]  那個是誰呢?
[00:03:15.380 --> 00:03:18.280]  就是上一課我們所看的「阿彼米勒」
[00:03:18.280 --> 00:03:20.280]  參孫的兒子
[00:03:20.280 --> 00:03:22.640]  是自己人令他們受苦
[00:03:22.640 --> 00:03:24.920]  正如我們經常這樣講
[00:03:24.920 --> 00:03:26.200]  我曾經講過
[00:03:26.200 --> 00:03:28.840]  香港人如果我們受苦的時候
[00:03:28.840 --> 00:03:32.940]  不是外國勢力、不是美國怎樣對付我們
[00:03:32.940 --> 00:03:35.360]  不是英國怎樣對付我們
[00:03:35.360 --> 00:03:38.020]  原來有時我們受苦是自己人來的
[00:03:38.020 --> 00:03:39.820]  是他們令我們受苦的
[00:03:39.820 --> 00:03:41.820]  所以這麼簡單
[00:03:41.820 --> 00:03:45.420]  只是陀拉就是做以色列的士師二十三年
[00:03:45.420 --> 00:03:46.700]  就離開了
[00:03:46.700 --> 00:03:48.920]  我們看另一個士師
[00:03:48.920 --> 00:03:50.680]  叫做「艾爾」
[00:03:50.680 --> 00:03:51.880]  這個「艾爾」是怎樣呢?
[00:03:51.880 --> 00:03:54.220]  我們一起來看士師記第十章
[00:03:54.220 --> 00:03:56.220]  第三到第五節
[00:03:56.220 --> 00:03:59.580]  「在他以後有激烈人艾爾興起
[00:03:59.580 --> 00:04:02.280]  作以色列的士師二十二年
[00:04:02.280 --> 00:04:03.860]  他有三十個兒子
[00:04:03.860 --> 00:04:05.980]  騎著三十匹驢驅
[00:04:05.980 --> 00:04:08.340]  他們有三十座城邑
[00:04:08.340 --> 00:04:10.900]  叫作哈韋達艾爾
[00:04:10.900 --> 00:04:11.920]  直到如今
[00:04:11.920 --> 00:04:13.340]  就是在激烈地
[00:04:13.340 --> 00:04:15.940]  艾爾死了就葬在家門」
[00:04:15.940 --> 00:04:18.760]  這次我們看到「艾爾」
[00:04:18.760 --> 00:04:22.500]  但也沒有說到他有甚麼豐功偉績
[00:04:22.500 --> 00:04:25.420]  他只是做士師二十二年
[00:04:25.420 --> 00:04:28.900]  但所描繪的是甚麼呢?
[00:04:28.900 --> 00:04:30.000]  就是後面那段
[00:04:30.000 --> 00:04:32.000]  他有三十個兒子
[00:04:32.000 --> 00:04:34.000]  也騎著甚麼呢?
[00:04:34.000 --> 00:04:36.200]  三十匹驢驅
[00:04:36.200 --> 00:04:38.580]  又不止有三十匹驢驅
[00:04:38.580 --> 00:04:40.800]  還有三十座城邑
[00:04:40.800 --> 00:04:44.100]  這個重點的記載其實是甚麼呢?
[00:04:44.100 --> 00:04:46.640]  就好像跟機電一樣
[00:04:46.640 --> 00:04:50.040]  他是過著一個君王的生活
[00:04:50.040 --> 00:04:53.360]  他還將三十個城邑給自己三十個兒子
[00:04:53.360 --> 00:04:55.360]  他有這麼多兒子
[00:04:55.360 --> 00:04:59.920]  顯示他一樣有眾多的妻妾
[00:04:59.920 --> 00:05:01.920]  而且這些城邑
[00:05:01.920 --> 00:05:05.160]  這些財富是怎樣來的呢?
[00:05:05.160 --> 00:05:08.740]  因為當時的驢驅都很矜貴
[00:05:08.740 --> 00:05:11.920]  如果一個人在家裏有一個驢驅
[00:05:11.920 --> 00:05:12.720]  已經很好
[00:05:12.720 --> 00:05:13.680]  一隻兩隻
[00:05:13.680 --> 00:05:15.680]  他現在有三十隻
[00:05:15.680 --> 00:05:18.420]  分給自己的兒子
[00:05:18.420 --> 00:05:21.820]  顯示他的財富是非常多
[00:05:21.820 --> 00:05:23.320]  現在我們在英國
[00:05:23.320 --> 00:05:26.160]  我們可能有各個的需要
[00:05:26.160 --> 00:05:29.160]  一家人可能有兩輛車
[00:05:29.160 --> 00:05:32.880]  爸爸一輛或者一家之主一輛
[00:05:32.880 --> 00:05:33.960]  太太一輛
[00:05:33.960 --> 00:05:35.960]  他們兩個都可能要出去工作
[00:05:35.960 --> 00:05:37.960]  又或者父親出去工作
[00:05:37.960 --> 00:05:38.960]  一家之主去工作
[00:05:38.960 --> 00:05:41.760]  但是做妻子的可能都要接送兒女
[00:05:41.760 --> 00:05:43.760]  或者要去買東西
[00:05:43.760 --> 00:05:45.760]  那就要兩輛車
[00:05:45.760 --> 00:05:47.760]  但是會不會你的兒女
