
[00:00:00.000 --> 00:00:02.000]  各位弟兄姊妹 大家平安
[00:00:02.000 --> 00:00:04.500]  大家知道今天是什麼日子嗎
[00:00:04.500 --> 00:00:08.200]  對 八月八號爸爸節
[00:00:08.200 --> 00:00:10.200]  所以如果你在我們中間
[00:00:10.200 --> 00:00:13.000]  你是做父親 做祖父母 祖父的
[00:00:13.000 --> 00:00:16.000]  可不可以請你現在舉起手來 搖一搖你的手
[00:00:16.000 --> 00:00:18.000]  我們謝謝你
[00:00:18.000 --> 00:00:19.000]  這個是
[00:00:19.000 --> 00:00:21.000]  這個家裡面的爸爸是非常重要的
[00:00:21.000 --> 00:00:24.000]  爸爸是Overwork, Underappreciate
[00:00:24.000 --> 00:00:28.000]  所以我們要常常來祝福我們的這些爸爸們
[00:00:28.000 --> 00:00:29.000]  他們很辛苦
[00:00:29.000 --> 00:00:31.000]  男人男人嘛
[00:00:31.000 --> 00:00:33.000]  很困難的人
[00:00:33.000 --> 00:00:35.000]  你也知道嗎
[00:00:35.000 --> 00:00:37.000]  當一個人活得越久
[00:00:37.000 --> 00:00:39.000]  他的故事越多
[00:00:39.000 --> 00:00:42.000]  所以如果你去問家中的一些長輩
[00:00:42.000 --> 00:00:47.000]  好比爸爸 祖父母 祖父 爺爺
[00:00:47.000 --> 00:00:50.000]  你會發現他們有好多好多的故事
[00:00:50.000 --> 00:00:52.000]  其實我們的生命
[00:00:52.000 --> 00:00:56.000]  不也是一連串的故事來組成的嗎
[00:00:57.000 --> 00:01:02.000]  有時候這故事帶給我們喜樂歡笑
[00:01:02.000 --> 00:01:07.000]  但是有時候這故事也帶給我們悲傷和淚水
[00:01:07.000 --> 00:01:10.000]  但是不管環境如何
[00:01:10.000 --> 00:01:16.000]  神總是對我們有一個美好平安的旨意
[00:01:16.000 --> 00:01:21.000]  我們來看一處經文 耶利米蘇二十九章十一節
[00:01:21.000 --> 00:01:23.000]  我們一起來唸好嗎
[00:01:23.000 --> 00:01:30.000]  預備 請 耶和華說 我知道我向你們所懷的意念
[00:01:30.000 --> 00:01:32.000]  是賜平安的意念
[00:01:32.000 --> 00:01:35.000]  不是降災禍的意念
[00:01:35.000 --> 00:01:38.000]  要叫你們莫後有指望
[00:01:38.000 --> 00:01:40.000]  Amen 謝謝
[00:01:40.000 --> 00:01:44.000]  這節經文 神很清楚地告訴我們說
[00:01:44.000 --> 00:01:46.000]  祂對我們有一個什麼
[00:01:46.000 --> 00:01:48.000]  美好的旨意
[00:01:49.000 --> 00:01:54.000]  很多人會想問說神的旨意是什麼
[00:01:54.000 --> 00:01:57.000]  其實不僅基督徒會問
[00:01:57.000 --> 00:02:00.000]  不信主的人他們也會問不是嗎
[00:02:00.000 --> 00:02:05.000]  不信主的人他們會去求神問普
[00:02:05.000 --> 00:02:07.000]  會去廟裡求籤詩
[00:02:07.000 --> 00:02:10.000]  會用各種的方式想要來了解
[00:02:10.000 --> 00:02:13.000]  所謂他們的神明的一些的旨意
[00:02:13.000 --> 00:02:15.000]  而基督徒呢
[00:02:15.000 --> 00:02:17.000]  也常常會問這個樣的問題
[00:02:17.000 --> 00:02:20.000]  就神的旨意是什麼
[00:02:20.000 --> 00:02:21.000]  所以呢
[00:02:21.000 --> 00:02:24.000]  他們在他們的工作上
[00:02:24.000 --> 00:02:27.000]  在他們的求學上
[00:02:27.000 --> 00:02:29.000]  在他們的感情上
[00:02:29.000 --> 00:02:32.000]  常常就是要問神的旨意是什麼
[00:02:32.000 --> 00:02:36.000]  神啊 你要我去A公司呢
[00:02:36.000 --> 00:02:38.000]  還是要我去B公司
[00:02:38.000 --> 00:02:40.000]  你要我的孩子或是我自己
[00:02:40.000 --> 00:02:42.000]  要上這個學校呢
[00:02:42.000 --> 00:02:44.000]  還是那個學校
[00:02:45.000 --> 00:02:47.000]  我們常常心裡面想的就是說
[00:02:47.000 --> 00:02:50.000]  哎呀 如果神你跟我說話
[00:02:50.000 --> 00:02:53.000]  你將你的旨意告訴我
[00:02:53.000 --> 00:02:56.000]  那我就知道怎麼樣做決定了嘛
[00:02:56.000 --> 00:02:58.000]  然後這個決定呢
[00:02:58.000 --> 00:03:01.000]  有神罩著就不用害怕了
[00:03:01.000 --> 00:03:04.000]  一切就會一帆風順
[00:03:04.000 --> 00:03:08.000]  常常我們想知道的
[00:03:08.000 --> 00:03:11.000]  神的旨意到底是
[00:03:11.000 --> 00:03:14.000]  是我的還是神的旨意呢
[00:03:16.000 --> 00:03:18.000]  是不是我們的祈求說
[00:03:18.000 --> 00:03:20.000]  神你的旨意
[00:03:20.000 --> 00:03:22.000]  其實是神
[00:03:22.000 --> 00:03:23.000]  好像是說
[00:03:23.000 --> 00:03:27.000]  要神幫我們完成我們心裡面所喜愛的
[00:03:27.000 --> 00:03:29.000]  讓我們所選擇這條路對我們來講
[00:03:29.000 --> 00:03:33.000]  就是最順利的 最好的 最一帆風順的
[00:03:33.000 --> 00:03:36.000]  有的時候我們也會禱告
[00:03:36.000 --> 00:03:38.000]  禱告禱告了
[00:03:38.000 --> 00:03:43.000]  可能有的時候事情不那麼如人願
[00:03:43.000 --> 00:03:45.000]  我們就會埋怨
[00:03:45.000 --> 00:03:47.000]  很容易失去信心
[00:03:47.000 --> 00:03:50.000]  覺得神都不聽禱告
[00:03:50.000 --> 00:03:53.000]  我在這裡的意思不是說
[00:03:53.000 --> 00:03:56.000]  我們不需要去尋求神的旨意
[00:03:56.000 --> 00:03:58.000]  事實上事無大小
[00:03:58.000 --> 00:04:01.000]  都應該要來尋求神的旨意
[00:04:01.000 --> 00:04:03.000]  但重點是
[00:04:03.000 --> 00:04:07.000]  我們選擇的動機是什麼
[00:04:07.000 --> 00:04:09.000]  是為了神呢
[00:04:09.000 --> 00:04:11.000]  還是為了我們自己
