
[00:00:00.000 --> 00:00:04.400]  我們現在一起來讀菲利比書第一章第九節
[00:00:04.400 --> 00:00:06.200]  好,我們一起來
[00:00:06.200 --> 00:00:10.000]  我所禱告的就是要你們的愛心
[00:00:10.000 --> 00:00:14.100]  在知識和各樣見識上多而又多
[00:00:14.100 --> 00:00:20.600]  使你們能分別是非或做喜愛那美好的事
[00:00:20.600 --> 00:00:23.300]  好,我們把那個跨胡念一下
[00:00:23.300 --> 00:00:25.800]  第十節的跨胡我們念一下
[00:00:25.800 --> 00:00:28.800]  或做喜愛那美好的事
[00:00:28.800 --> 00:00:31.500]  好,我們再念十一節
[00:00:31.500 --> 00:00:35.600]  並靠着耶穌基督接滿了仁義的果子
[00:00:35.600 --> 00:00:38.600]  叫榮耀稱讚歸於神
[00:00:38.600 --> 00:00:41.800]  好,我們再回到第一章第六節
[00:00:41.800 --> 00:00:42.300]  好不好
[00:00:42.300 --> 00:00:44.600]  我們如果你有聖經的話
[00:00:44.600 --> 00:00:46.800]  你可以打開第一章第六節
[00:00:46.800 --> 00:00:47.800]  我們一起來
[00:00:47.800 --> 00:00:49.000]  我深信
[00:00:49.000 --> 00:00:51.900]  大愛你們基督和善良的
[00:00:51.900 --> 00:00:53.800]  必盡全身的努力
[00:00:53.800 --> 00:00:56.400]  保祐耶穌基督的兒子
[00:00:56.400 --> 00:00:57.400]  感謝主
[00:00:57.400 --> 00:00:59.900]  那麼保羅他的
[00:00:59.900 --> 00:01:02.300]  藉着這個短短的禱告
[00:01:02.300 --> 00:01:04.000]  他給所有的基督徒
[00:01:04.000 --> 00:01:07.400]  不只是給當時的菲律比教會的人
[00:01:07.400 --> 00:01:09.500]  或者是當時其他教會的人
[00:01:09.500 --> 00:01:10.400]  就是兩千年
[00:01:10.400 --> 00:01:12.300]  差不多兩千年以前的
[00:01:12.300 --> 00:01:14.300]  其實他給所有的基督徒
[00:01:14.300 --> 00:01:16.100]  所有的信主的兒女
[00:01:16.100 --> 00:01:18.000]  都定了一個很清楚
[00:01:18.000 --> 00:01:20.700]  很清楚的人生的目標
[00:01:20.700 --> 00:01:21.800]  他也告訴我們
[00:01:21.800 --> 00:01:24.500]  到底我們應該追求什麼事情
[00:01:24.500 --> 00:01:26.700]  那麼人生最終極的目標是什麼
[00:01:26.700 --> 00:01:29.200]  就是在第十一節的最後的一句話
[00:01:29.200 --> 00:01:30.600]  就是得着
[00:01:30.600 --> 00:01:34.700]  讓神得着榮耀和讚美
[00:01:34.700 --> 00:01:38.600]  那麼如果說我們能夠去看
[00:01:38.600 --> 00:01:40.100]  英文版的聖經的話
[00:01:40.100 --> 00:01:41.200]  你就曉得
[00:01:41.200 --> 00:01:42.600]  它的意思就是說
[00:01:42.600 --> 00:01:44.500]  我們在這個世界上所追求的
[00:01:44.500 --> 00:01:47.300]  所做的這一切事情都是什麼
[00:01:47.300 --> 00:01:50.100]  to the glory and praise
[00:01:50.100 --> 00:01:54.000]  of God是神的榮耀和讚美
[00:01:54.000 --> 00:01:55.300]  所以我們所做的這些事情
[00:01:55.300 --> 00:01:57.400]  都歸在這個裏面了
[00:01:57.400 --> 00:02:00.200]  不是我們增加它一些什麼東西
[00:02:00.200 --> 00:02:01.100]  那麼所以十一節
[00:02:01.100 --> 00:02:02.800]  他說靠着耶穌基督
[00:02:02.800 --> 00:02:04.500]  結滿了仁義的果子
[00:02:04.500 --> 00:02:08.100]  叫榮耀稱讚歸於神
[00:02:08.100 --> 00:02:09.900]  這個我們以後再會講
[00:02:09.900 --> 00:02:11.000]  那麼過去
[00:02:11.000 --> 00:02:12.900]  我自己在思想這些經文的時候
[00:02:12.900 --> 00:02:13.800]  我就想到過去
[00:02:13.800 --> 00:02:15.900]  我在參加大學團慶的時候
[00:02:15.900 --> 00:02:20.000]  那真的是遠古遠古的歷史
[00:02:20.000 --> 00:02:21.900]  那麼那時候我對神的話
[00:02:21.900 --> 00:02:25.200]  並不是那麼認真
[00:02:25.200 --> 00:02:26.500]  我想我們年輕人的時候
[00:02:26.500 --> 00:02:28.500]  很可能有太多其他的
[00:02:28.500 --> 00:02:29.500]  很好的東西
[00:02:29.500 --> 00:02:30.600]  把我們的心思意念
[00:02:30.600 --> 00:02:32.000]  通通都拉走了
[00:02:32.000 --> 00:02:33.700]  不管是學校唸書也好
[00:02:33.700 --> 00:02:35.100]  或者是運動也好
