
[00:00:00.000 --> 00:00:02.000]  今天的講題是關於手
[00:00:02.000 --> 00:00:05.000]  手是非常重要的
[00:00:05.000 --> 00:00:07.000]  在我們生活當中
[00:00:07.000 --> 00:00:09.000]  一個很重要的工具
[00:00:09.000 --> 00:00:11.000]  就是我們雙手
[00:00:11.000 --> 00:00:12.000]  你什麼都沒有
[00:00:12.000 --> 00:00:14.000]  但是你有雙手的時候
[00:00:14.000 --> 00:00:16.000]  基本上你可以為你的生活
[00:00:16.000 --> 00:00:18.000]  作大部份的事情
[00:00:18.000 --> 00:00:22.000]  手真的可以做到很多事
[00:00:22.000 --> 00:00:24.000]  你雙手是用來做什麼呢?
[00:00:24.000 --> 00:00:28.000]  我看到我們課堂當中
[00:00:28.000 --> 00:00:30.000]  我們胡牧師坐在這裡
[00:00:30.000 --> 00:00:32.000]  最近聽到他一次
[00:00:32.000 --> 00:00:34.000]  有人分享他生命的見證
[00:00:34.000 --> 00:00:36.000]  牧師年輕的時候
[00:00:36.000 --> 00:00:38.000]  做事勤快
[00:00:38.000 --> 00:00:40.000]  學會了各式各樣的手工藝
[00:00:40.000 --> 00:00:42.000]  後來也是在教會裏面
[00:00:42.000 --> 00:00:44.000]  幫教會和很多早期的分堂
[00:00:44.000 --> 00:00:48.000]  去製作十字架和港台
[00:00:48.000 --> 00:00:50.000]  全部都是他一手一腳製作出來的
[00:00:50.000 --> 00:00:54.000]  手可以做到很多的事
[00:00:54.000 --> 00:00:56.000]  今天我們在
[00:00:56.000 --> 00:00:58.000]  《以斯拉記》的第七章
[00:00:58.000 --> 00:01:00.000]  我們這一季的第一講
[00:01:00.000 --> 00:01:02.000]  這個經文當中
[00:01:02.000 --> 00:01:04.000]  剛才你必定聽到手
[00:01:04.000 --> 00:01:06.000]  當然神的手
[00:01:06.000 --> 00:01:08.000]  這個是很明顯的
[00:01:08.000 --> 00:01:10.000]  但是其實在經文裏面都提到
[00:01:10.000 --> 00:01:12.000]  以斯拉的手裏面
[00:01:12.000 --> 00:01:14.000]  他有一些東西
[00:01:14.000 --> 00:01:16.000]  這個是十四和二十五節講的
[00:01:16.000 --> 00:01:18.000]  當然最重要的是
[00:01:18.000 --> 00:01:20.000]  這一章裏面
[00:01:20.000 --> 00:01:22.000]  三次提到神的手
[00:01:22.000 --> 00:01:24.000]  神的手是很形象化地形容
[00:01:24.000 --> 00:01:26.000]  神自己的能力
[00:01:26.000 --> 00:01:28.000]  或者祂的作為
[00:01:28.000 --> 00:01:30.000]  所以最終到這一章
[00:01:30.000 --> 00:01:32.000]  今天這一講
[00:01:32.000 --> 00:01:34.000]  最後的結論肯定就是
[00:01:34.000 --> 00:01:36.000]  我們要分辨清楚
[00:01:36.000 --> 00:01:38.000]  自己的生活裏面
[00:01:38.000 --> 00:01:40.000]  和我們所走的路上
[00:01:40.000 --> 00:01:42.000]  神的手或者神的能力
[00:01:42.000 --> 00:01:44.000]  神的工作
[00:01:44.000 --> 00:01:46.000]  是怎樣幫助你和我
[00:01:46.000 --> 00:01:48.000]  所以今天我們也會嘗試
[00:01:48.000 --> 00:01:50.000]  用手這個為主題
[00:01:50.000 --> 00:01:52.000]  從三個角度
[00:01:52.000 --> 00:01:54.000]  去進入經文
[00:01:54.000 --> 00:01:56.000]  一起領受訊息
[00:01:56.000 --> 00:01:58.000]  在聽訊息之前
[00:01:58.000 --> 00:02:00.000]  我們一起祈禱吧
[00:02:00.000 --> 00:02:04.000]  神啊求你幫助我們
[00:02:04.000 --> 00:02:06.000]  在一年的中間
[00:02:06.000 --> 00:02:08.000]  在這個七月
[00:02:08.000 --> 00:02:10.000]  第一個星期
[00:02:10.000 --> 00:02:12.000]  我們心裏面
[00:02:12.000 --> 00:02:14.000]  有很多不同的體會
[00:02:14.000 --> 00:02:16.000]  和領受
[00:02:16.000 --> 00:02:18.000]  主啊幫助我們
[00:02:18.000 --> 00:02:20.000]  在此時此地
[00:02:20.000 --> 00:02:22.000]  為你的心去聆聽你的話語
[00:02:22.000 --> 00:02:24.000]  讓我們去明白
[00:02:24.000 --> 00:02:26.000]  你的手怎樣拖帶著我們
[00:02:26.000 --> 00:02:28.000]  走每一天的道路
[00:02:28.000 --> 00:02:30.000]  多謝你
[00:02:30.000 --> 00:02:32.000]  我們的祈禱是
[00:02:32.000 --> 00:02:34.000]  奉主耶穌基督得聖名子祈求
[00:02:34.000 --> 00:02:36.000]  阿們
[00:02:36.000 --> 00:02:38.000]  三個角度
[00:02:38.000 --> 00:02:40.000]  黃的手
[00:02:40.000 --> 00:02:42.000]  人的手
[00:02:42.000 --> 00:02:44.000]  神的手
[00:02:44.000 --> 00:02:46.000]  手除了講我們的手掌
[00:02:46.000 --> 00:02:48.000]  和手指之外
[00:02:48.000 --> 00:02:50.000]  整條的手臂
[00:02:50.000 --> 00:02:52.000]  都是叫手的
[00:02:52.000 --> 00:02:54.000]  今天經文裏面除了伊斯拉和神
[00:02:54.000 --> 00:02:56.000]  剛才提過這章裏面提得最多關於手的
[00:02:56.000 --> 00:02:58.000]  另一個人物
[00:02:58.000 --> 00:03:00.000]  都值得去提一提
[00:03:00.000 --> 00:03:02.000]  這個人物亦都在這段經文裏面
[00:03:02.000 --> 00:03:04.000]  出現很多的
[00:03:04.000 --> 00:03:06.000]  就是波斯王亞達薩西
[00:03:06.000 --> 00:03:08.000]  在第一節裏面已經介紹他出場
[00:03:08.000 --> 00:03:10.000]  這時候波斯王亞達薩西
[00:03:10.000 --> 00:03:12.000]  在位的時候
[00:03:12.000 --> 00:03:14.000]  即是說跟著這章經文
[00:03:14.000 --> 00:03:16.000]  或者往後發生的事情
[00:03:16.000 --> 00:03:18.000]  這時候所出現
[00:03:18.000 --> 00:03:20.000]  有趣的是原來亞達薩西
[00:03:20.000 --> 00:03:22.000]  他在一些希臘文獻裏面
[00:03:22.000 --> 00:03:24.000]  被稱為long-handed
[00:03:24.000 --> 00:03:26.000]  長手或者長臂
[00:03:26.000 --> 00:03:28.000]  表達著
[00:03:28.000 --> 00:03:30.000]  他很有能力或者力量
[00:03:30.000 --> 00:03:32.000]  亦都有一些講法是
[00:03:32.000 --> 00:03:34.000]  他的右手比左手長一點
[00:03:34.000 --> 00:03:36.000]  總之都是講他
[00:03:36.000 --> 00:03:38.000]  一個的象徵
[00:03:38.000 --> 00:03:40.000]  是他很有力量
[00:03:40.000 --> 00:03:42.000]  他的手可以伸展到
[00:03:42.000 --> 00:03:44.000]  管治到他整個福源很廣闊的
[00:03:44.000 --> 00:03:46.000]  波斯帝國
[00:03:46.000 --> 00:03:48.000]  波斯帝國在全盛的時期
[00:03:48.000 --> 00:03:50.000]  是涵蓋了整個
[00:03:50.000 --> 00:03:52.000]  古代的近東地方綠色
[00:03:52.000 --> 00:03:54.000]  那個位置
[00:03:54.000 --> 00:03:56.000]  你見到這個只是部分
[00:03:56.000 --> 00:03:58.000]  小亞細亞
[00:03:58.000 --> 00:04:00.000]  阿拉伯
[00:04:00.000 --> 00:04:02.000]  非洲和部分歐洲的地圖
[00:04:02.000 --> 00:04:04.000]  在地圖的
[00:04:04.000 --> 00:04:06.000]  最旁邊是印度河
