
[00:00:00.000 --> 00:00:06.000]  各位朋友弟兄姊妹 過去幾個月我們都在看馬可福音
[00:00:06.000 --> 00:00:11.000]  但上個星期我們就講完了這個馬可福音
[00:00:11.000 --> 00:00:14.000]  從今天開始我們就會進入一卷新的書卷
[00:00:14.000 --> 00:00:16.000]  就是創世紀
[00:00:16.000 --> 00:00:19.000]  我想先考大家一個問題
[00:00:19.000 --> 00:00:23.000]  這個是哪個國家的國旗
[00:00:23.000 --> 00:00:26.000]  以色列 大家都很厲害
[00:00:26.000 --> 00:00:30.000]  那你知道爲什麼這個國家叫以色列呢
[00:00:30.000 --> 00:00:36.000]  他的名字是怎麼來的呢
[00:00:36.000 --> 00:00:41.000]  有沒有人知道
[00:00:41.000 --> 00:00:44.000]  原來以色列這個名字呢
[00:00:44.000 --> 00:00:50.000]  他的意思 希伯來文的意思是與神角力者
[00:00:50.000 --> 00:00:53.000]  那在聖經裏面記載了一個故事
[00:00:53.000 --> 00:00:57.000]  就講到猶太人的祖先雅各
[00:00:57.000 --> 00:01:00.000]  他有一次就跟天使來摔跤
[00:01:00.000 --> 00:01:02.000]  然後得了聖
[00:01:02.000 --> 00:01:04.000]  所以後來神就給他改名
[00:01:04.000 --> 00:01:07.000]  從雅各改成以色列
[00:01:07.000 --> 00:01:10.000]  往後這個猶太人這個國家呢
[00:01:10.000 --> 00:01:13.000]  也就叫爲那個以色列
[00:01:13.000 --> 00:01:17.000]  那雅各這個到底是怎樣的一個人物呢
[00:01:17.000 --> 00:01:21.000]  爲什麼他對以色列有這麼深遠的影響
[00:01:21.000 --> 00:01:23.000]  那從今天開始
[00:01:23.000 --> 00:01:28.000]  我們就會從創世紀來看雅各的生命
[00:01:28.000 --> 00:01:32.000]  那雅各可以說是一個極不尋常的人物
[00:01:32.000 --> 00:01:36.000]  他是以色列先祖亞伯拉罕的孫子
[00:01:36.000 --> 00:01:38.000]  以撒的兒子
[00:01:38.000 --> 00:01:41.000]  那現在我們就透過經文來看一下
[00:01:41.000 --> 00:01:47.000]  這個雅各有什麼不尋常的地方
[00:01:47.000 --> 00:01:53.000]  首先呢這個雅各他是超然而不是自然而得的
[00:01:53.000 --> 00:01:57.000]  那經文那邊記錄了以撒就是他的父親
[00:01:57.000 --> 00:02:00.000]  娶了利百家他的母親
[00:02:00.000 --> 00:02:04.000]  那時候他的爸爸以撒呢他才40歲
[00:02:04.000 --> 00:02:08.000]  但是結婚以後十幾年他還沒有生兒子
[00:02:08.000 --> 00:02:11.000]  因爲經文說利百家沒有生育
[00:02:11.000 --> 00:02:13.000]  在以色列人的文化裏面
[00:02:13.000 --> 00:02:16.000]  如果女人結婚了不能生育
[00:02:16.000 --> 00:02:18.000]  是一個很大的恥辱
[00:02:18.000 --> 00:02:21.000]  所以這個以撒呢
[00:02:21.000 --> 00:02:25.000]  他就向這個上帝來懇求
[00:02:25.000 --> 00:02:29.000]  經文說他以撒因爲自己的妻子不生育
[00:02:29.000 --> 00:02:31.000]  就爲他懇求耶和華
[00:02:31.000 --> 00:02:34.000]  結果呢耶和華就應運了他
[00:02:34.000 --> 00:02:37.000]  他的妻子利百家就懷了孕
[00:02:37.000 --> 00:02:40.000]  所以我們看到這個雅各呢
[00:02:40.000 --> 00:02:46.000]  他是他的父親向神懇切地禱告回來的
[00:02:46.000 --> 00:02:52.000]  以撒結婚以後20年才得了這個兒子
[00:02:52.000 --> 00:02:58.000]  第二呢雅各呢他是蒙神揀選的人
[00:02:58.000 --> 00:03:01.000]  利百家要不不生育
[00:03:01.000 --> 00:03:05.000]  一生呢他就生了懷了雙胞胎
[00:03:05.000 --> 00:03:08.000]  人看來應該是雙喜臨門是吧
[00:03:08.000 --> 00:03:11.000]  但是這兩個胎兒呢很奇怪
[00:03:11.000 --> 00:03:15.000]  竟然在母婦當中彼此的來相爭
[00:03:15.000 --> 00:03:20.000]  意思呢就是說在腹中的胎洞非常非常的厲害
[00:03:20.000 --> 00:03:24.000]  讓那個利百家感到非常的痛苦難受
[00:03:24.000 --> 00:03:27.000]  所以呢他就不得不跑到神的面前
[00:03:27.000 --> 00:03:30.000]  來向神求個明白
[00:03:30.000 --> 00:03:34.000]  雙胞胎在他的腹中相爭
[00:03:34.000 --> 00:03:38.000]  其實是在預示將來有兩個族
[00:03:38.000 --> 00:03:41.000]  就是往後我們會看到的一個以色列人
[00:03:41.000 --> 00:03:45.000]  還有以東人這兩個族將來他們會相爭
[00:03:45.000 --> 00:03:50.000]  而結果呢就是小的大的要服是小的
[00:03:50.000 --> 00:03:57.000]  那這個耶和華回答利百家的時候提到大的要服是小的
[00:03:57.000 --> 00:04:02.000]  這裏可以說其實是出於神揀選人的旨意
[00:04:02.000 --> 00:04:06.000]  雅各在他出生之前就被神揀選
[00:04:06.000 --> 00:04:15.000]  所以呢他的揀選不在乎他的行爲乃是在乎呼召人的神
[00:04:15.000 --> 00:04:23.000]  第三個不尋常的地方就是雅各在母婦當中已經開始一個爭奪戰了
[00:04:23.000 --> 00:04:27.000]  當雅各和姨嫂他的哥哥還在母婦中的時候呢
[00:04:27.000 --> 00:04:31.000]  他們就在爭奪長子的名分
[00:04:31.000 --> 00:04:35.000]  使到這個母親利百家非常的痛苦
[00:04:35.000 --> 00:04:38.000]  當雅各出生的時候經文描述呢
[00:04:38.000 --> 00:04:42.000]  他是用手抓住哥哥的腳跟出來的
[00:04:42.000 --> 00:04:45.000]  所以他的名字就被改爲雅各
[00:04:45.000 --> 00:04:50.000]  雅各這個名字呢他本身就是有抓住的那個意思
[00:04:50.000 --> 00:05:03.000]  原文呢還有抓住腳跟取而代之甚至是詭計篡奪的意思
