
[00:00:00.000 --> 00:00:04.000]  各位朋友 各位大英姐妹 早晨
[00:00:04.000 --> 00:00:07.000]  我想問你不知道我們當中
[00:00:07.000 --> 00:00:14.000]  大英姐妹裡面有沒有哪些有駕車的經驗的
[00:00:14.000 --> 00:00:16.000]  有沒有 我們當中 都有的 是不是
[00:00:16.000 --> 00:00:18.000]  都有些有駕車的經驗
[00:00:18.000 --> 00:00:22.000]  可不可以麻煩Power Point幫我 不好意思
[00:00:22.000 --> 00:00:29.000]  好 這樣呢 我呢 其實都有駕車的
[00:00:29.000 --> 00:00:31.000]  我剛才也是剛剛駕車過來的
[00:00:31.000 --> 00:00:34.000]  那我大概其實是兩年前開始
[00:00:34.000 --> 00:00:37.000]  我才駕車回來香港
[00:00:37.000 --> 00:00:39.000]  那當我駕車的時候
[00:00:39.000 --> 00:00:42.000]  我就會做一個指定的動作
[00:00:42.000 --> 00:00:44.000]  這個指定的動作就是
[00:00:44.000 --> 00:00:47.000]  我會每一次無論多遠多近都好
[00:00:47.000 --> 00:00:50.000]  除非那條路我是經常去的
[00:00:50.000 --> 00:00:53.000]  不然我都一定會開個地圖
[00:00:53.000 --> 00:00:57.000]  還有我一定會開那個導航系統
[00:00:57.000 --> 00:00:59.000]  那我發覺其實都幾方便
[00:00:59.000 --> 00:01:02.000]  因為當你要去一個地方的時候
[00:01:02.000 --> 00:01:04.000]  其實香港那些街那些路
[00:01:04.000 --> 00:01:06.000]  不是正正方方的嘛
[00:01:06.000 --> 00:01:08.000]  有時可能當我走著走著
[00:01:08.000 --> 00:01:11.000]  我會過了應該要轉彎的街口
[00:01:11.000 --> 00:01:13.000]  那那個導航系統會怎樣呢
[00:01:13.000 --> 00:01:16.000]  它就會自己重新幫你定位 是不是
[00:01:16.000 --> 00:01:20.000]  它會幫你找回一條新的路線
[00:01:20.000 --> 00:01:23.000]  讓到我們可以去回那個目的地
[00:01:23.000 --> 00:01:28.000]  讓我們能夠在那一點裡面重新去出發
[00:01:28.000 --> 00:01:30.000]  那但是我想起來
[00:01:30.000 --> 00:01:33.000]  當年我在澳洲駕車的時候
[00:01:33.000 --> 00:01:35.000]  就沒有那麼方便的
[00:01:35.000 --> 00:01:37.000]  那時候沒有導航系統
[00:01:37.000 --> 00:01:38.000]  所以我們要怎樣呢
[00:01:38.000 --> 00:01:40.000]  就車裡面一定有一本
[00:01:40.000 --> 00:01:43.000]  黃葉那麼厚的一本地圖
[00:01:43.000 --> 00:01:45.000]  有弟兄姊妹笑
[00:01:45.000 --> 00:01:47.000]  那我知道應該那些弟兄姊妹
[00:01:47.000 --> 00:01:49.000]  都不會小我很多的 是不是
[00:01:49.000 --> 00:01:53.000]  那黃葉的地圖就每一次怎樣
[00:01:53.000 --> 00:01:54.000]  要找的地方就是
[00:01:54.000 --> 00:01:57.000]  有時我們由一個地方去另一個地方
[00:01:57.000 --> 00:01:59.000]  是要放一些書籤進去的
[00:01:59.000 --> 00:02:01.000]  就是開到這一頁一揭
[00:02:01.000 --> 00:02:03.000]  然後就可能是十頁紙之後這樣
[00:02:03.000 --> 00:02:05.000]  那我記得當時
[00:02:05.000 --> 00:02:07.000]  駕車就一定要靠他
[00:02:07.000 --> 00:02:10.000]  那有一次我約了一個弟兄吃飯
[00:02:10.000 --> 00:02:12.000]  那當我去接他的時候
[00:02:12.000 --> 00:02:13.000]  他就告訴我
[00:02:13.000 --> 00:02:17.000]  原來他下午剛剛教完一個小弟兄學琴
[00:02:17.000 --> 00:02:19.000]  那想我跟他吃飯之前
[00:02:19.000 --> 00:02:22.000]  就將這個小弟兄載回他家
[00:02:22.000 --> 00:02:24.000]  那我覺得都沒有什麼問題這樣
[00:02:24.000 --> 00:02:26.000]  那這位弟兄就說
[00:02:26.000 --> 00:02:27.000]  我懂得路的
[00:02:27.000 --> 00:02:29.000]  所以你不用看地圖了
[00:02:29.000 --> 00:02:30.000]  那不如就你聽我說
[00:02:30.000 --> 00:02:32.000]  那就開過去吧這樣
[00:02:32.000 --> 00:02:33.000]  那很幸運地
[00:02:33.000 --> 00:02:35.000]  那我們都很順利地
[00:02:35.000 --> 00:02:38.000]  將這個小弟兄送回他家
[00:02:38.000 --> 00:02:41.000]  那當我們送他回到家的時候
[00:02:41.000 --> 00:02:43.000]  那這位小弟兄的媽媽
[00:02:43.000 --> 00:02:45.000]  很熱情地留下我們
[00:02:45.000 --> 00:02:47.000]  聊了很久
[00:02:47.000 --> 00:02:48.000]  當我們走的時候
[00:02:48.000 --> 00:02:50.000]  發覺進去的時候
[00:02:50.000 --> 00:02:51.000]  外面是天亮的
[00:02:51.000 --> 00:02:53.000]  但是出來的時候
[00:02:53.000 --> 00:02:55.000]  那天已經黑了
[00:02:55.000 --> 00:02:57.000]  當我們要走的時候
[00:02:57.000 --> 00:03:00.000]  那我就相信那個弟兄真的懂路
[00:03:00.000 --> 00:03:02.000]  那我就立刻
[00:03:02.000 --> 00:03:05.000]  就跟著他的指示這樣走
[00:03:05.000 --> 00:03:07.000]  誰知道走來走去都發覺
[00:03:07.000 --> 00:03:11.000]  咦 原來我困在那個小區裡面
[00:03:11.000 --> 00:03:12.000]  其實在澳洲裡面
[00:03:12.000 --> 00:03:16.000]  很多時候遠離城市的一些住宅區
[00:03:16.000 --> 00:03:17.000]  其實沒有什麼燈
[00:03:17.000 --> 00:03:18.000]  就算有燈
[00:03:18.000 --> 00:03:20.000]  你會發覺它不開
[00:03:20.000 --> 00:03:21.000]  很奇怪的這件事情
[00:03:21.000 --> 00:03:23.000]  還有你會發覺其實
[00:03:23.000 --> 00:03:25.000]  看上去每間屋的樣子
[00:03:25.000 --> 00:03:26.000]  都是差不多
[00:03:26.000 --> 00:03:28.000]  所以感覺上就是
[00:03:28.000 --> 00:03:30.000]  自己在一個迷宮裡面
[00:03:30.000 --> 00:03:33.000]  當時我們繞來繞去
[00:03:33.000 --> 00:03:35.000]  發覺都是困在那個小區那裡
[00:03:35.000 --> 00:03:37.000]  開始大家都有點緊張
[00:03:37.000 --> 00:03:38.000]  也都發覺
[00:03:38.000 --> 00:03:40.000]  咦 看不到有任何街的牌
[00:03:40.000 --> 00:03:41.000]  那我就停下車
[00:03:41.000 --> 00:03:43.000]  想一想剛才我們是怎麼走的
[00:03:43.000 --> 00:03:45.000]  那我就沿路回頭
[00:03:45.000 --> 00:03:49.000]  終於回到那個小弟兄的家門口
[00:03:49.000 --> 00:03:50.000]  接著之後怎麼樣
[00:03:50.000 --> 00:03:53.000]  那當然不再說信息路那位仁兄了
[00:03:53.000 --> 00:03:55.000]  那我們就一起打開地圖
[00:03:55.000 --> 00:03:57.000]  那我們就研究怎麼樣
[00:03:57.000 --> 00:04:00.000]  出去城市那裡
[00:04:00.000 --> 00:04:03.000]  我們要回去地圖
[00:04:03.000 --> 00:04:06.000]  我們才能夠重新出發
[00:04:06.000 --> 00:04:07.000]  等於只不過有時候
[00:04:07.000 --> 00:04:08.000]  我們在人生裡面
[00:04:08.000 --> 00:04:10.000]  或者我們信仰生命裡面
[00:04:10.000 --> 00:04:12.000]  其實我們都是這樣的
[00:04:12.000 --> 00:04:16.000]  特別當我們面對迷惘危機的時候
[00:04:16.000 --> 00:04:18.000]  很可能其實我們都需要
[00:04:18.000 --> 00:04:22.000]  重新回到原點那裡出發
[00:04:22.000 --> 00:04:27.000]  當主耶穌基督被捉拿的時候
[00:04:27.000 --> 00:04:30.000]  當他被釘十字架的那一刻
[00:04:30.000 --> 00:04:34.000]  一直跟隨他們那些門徒
[00:04:34.000 --> 00:04:38.000]  其實不單止為了老師覺得難過
[00:04:38.000 --> 00:04:43.000]  更加其實很擔心自己的安全
[00:04:43.000 --> 00:04:45.000]  也很擔心老師的安全
[00:04:45.000 --> 00:04:48.000]  特別在過去三年的時間
[00:04:48.000 --> 00:04:51.000]  其實他們一直都是跟著主耶穌去生活
