
[00:00:00.000 --> 00:00:06.140]  請大家打開你手裏的港渡大綱
[00:00:06.140 --> 00:00:11.580]  今天我們由第六章開始
[00:00:11.580 --> 00:00:16.660]  這個第六章我給一個前言
[00:00:16.660 --> 00:00:23.380]  啟示錄第四至第十六章是全卷書的四個大意象的第一個
[00:00:23.380 --> 00:00:29.460]  第一個大意象很明顯是包括了七個教會的意象
[00:00:29.460 --> 00:00:32.440]  包括了這個天庭的意象
[00:00:32.440 --> 00:00:36.540]  這裡分開了很出名的在啟示錄裏面
[00:00:36.540 --> 00:00:40.940]  就是那些叫七個的印 七個的號 七個的碗
[00:00:40.940 --> 00:00:42.200]  印是什麼來的呢
[00:00:42.200 --> 00:00:47.600]  印就是一個我們可以不是印仔的印
[00:00:47.600 --> 00:00:50.120]  是一個貼紙來的 可以是一個貼紙
[00:00:50.120 --> 00:00:54.860]  他貼著這些差不多好像有些人喜歡他寫封信
[00:00:54.860 --> 00:00:59.540]  寫完封信後面他當然要用些膠水貼上去
[00:00:59.540 --> 00:01:04.320]  但是有些人喜歡再貼個貼紙封住他的
[00:01:04.320 --> 00:01:10.180]  這七個印其實是七個這樣的封條來的
[00:01:10.180 --> 00:01:12.700]  為什麼會是有七個呢
[00:01:12.700 --> 00:01:15.420]  很多人是會有很不同的演繹
[00:01:15.420 --> 00:01:20.000]  不過今天我不會詳細去研究這個七個印這一方面的
[00:01:20.000 --> 00:01:25.060]  讓大家知道七個印包括了啟示錄的第六章 大家都寫給你了
[00:01:25.060 --> 00:01:27.540]  都不用讀給大家聽 詳細
[00:01:27.540 --> 00:01:30.780]  第六 七個印 七個號 七個碗
[00:01:30.780 --> 00:01:34.140]  在這個聖經學者的研究裏面來講
[00:01:34.140 --> 00:01:36.780]  究竟是不是完成了七個印
[00:01:36.780 --> 00:01:39.540]  接著就開始有這個七個號
[00:01:39.540 --> 00:01:40.980]  剩下的有七個碗
[00:01:40.980 --> 00:01:45.180]  可以告訴大家 其實易說昏魂未知屬事
[00:01:45.180 --> 00:01:46.840]  所以難度就難到這裏
[00:01:46.840 --> 00:01:50.520]  啟示錄的難處不是說很深很深
[00:01:50.520 --> 00:01:53.160]  是因為有很多不同的
[00:01:53.160 --> 00:01:57.820]  有分量的 很有權威的學者他們有不同的看法
[00:01:57.820 --> 00:01:59.820]  如果很深的 大家一致的
[00:01:59.820 --> 00:02:03.140]  那我們就去研究他們大家一致的看法
[00:02:03.140 --> 00:02:07.060]  但是最困難大的就是他們有不同的看法
[00:02:07.060 --> 00:02:10.060]  這個七個印 我們叫做
[00:02:10.060 --> 00:02:14.220]  這七個印 七個號和七個碗
[00:02:14.220 --> 00:02:17.860]  我們有一個總名稱叫做七個災的系列
[00:02:17.860 --> 00:02:20.940]  其實全部都是災難性的東西
[00:02:20.940 --> 00:02:24.020]  我講這句話 全部都是災難性的東西的時候
[00:02:24.020 --> 00:02:27.080]  已經是對七印的第一個印
[00:02:27.080 --> 00:02:29.580]  其實有了一點點的解釋在裏面
[00:02:29.580 --> 00:02:31.260]  現在你可能還不知道我說什麼
[00:02:31.260 --> 00:02:33.940]  我一會兒會和大家去解釋這一點
[00:02:33.940 --> 00:02:35.860]  這個所謂七災系列
[00:02:35.860 --> 00:02:38.820]  我們看得見一個印 它就是揭開它
[00:02:38.820 --> 00:02:41.380]  揭開它 慢慢慢慢這一卷
[00:02:41.380 --> 00:02:45.260]  這個書卷 之前我們看過有一個書卷的
[00:02:45.260 --> 00:02:47.140]  就是這個被殺的羔羊
[00:02:47.140 --> 00:02:49.660]  在神的右手邊拿了一個書卷
[00:02:49.660 --> 00:02:52.980]  這個揭開了 七個印要揭開
[00:02:52.980 --> 00:02:55.580]  才開始看到書卷的內容
[00:02:55.580 --> 00:02:58.180]  就不是說我揭開第一個印就看到一些東西
[00:02:58.180 --> 00:02:59.780]  第二個印就看到一些東西
[00:02:59.780 --> 00:03:05.020]  是揭開七個印才看到書卷裏面的內容的
[00:03:05.020 --> 00:03:08.340]  這個七個印 七個號 七個碗
[00:03:08.340 --> 00:03:12.860]  大致上七個印你揭開了 你會看到一些的情況
[00:03:12.860 --> 00:03:14.380]  是很多災難的了已經
[00:03:14.380 --> 00:03:16.860]  所以這三個七都是災難
[00:03:16.860 --> 00:03:20.020]  號是什麼呢 號就好像一個號筒一樣
[00:03:20.020 --> 00:03:24.660]  號筒還有一個警告的作用在這裏 警告
[00:03:24.660 --> 00:03:27.940]  第三個七個碗的時候 去到七個碗的時候
[00:03:27.940 --> 00:03:31.100]  就已經是去到將神的憤怒去傾倒了
[00:03:31.100 --> 00:03:34.620]  就是已經 你已經沒得可以再避的了
[00:03:34.620 --> 00:03:37.900]  所以印和這個號和這個碗
[00:03:37.900 --> 00:03:41.860]  它是有一個循序漸進性的嚴重性的
[00:03:41.860 --> 00:03:44.340]  但其實每一個都已經嚴重的
[00:03:44.340 --> 00:03:49.620]  只不過是越來越去比較上嚴重的
[00:03:49.620 --> 00:03:52.300]  其實有些東西是會很有趣的
[00:03:52.300 --> 00:03:54.700]  這個無論七個印 七個號 七個碗
[00:03:54.700 --> 00:03:58.940]  它的開始和結束都有些共通點的
[00:03:58.940 --> 00:04:01.540]  開始七個印 我寫了給大家的
[00:04:01.540 --> 00:04:05.420]  沒可能叫你記的 我自己都不會記得這麼多的東西
[00:04:05.420 --> 00:04:08.700]  七個印的開始就是一個天庭的意象
[00:04:08.700 --> 00:04:12.660]  第四章和第五章就已經是看到的了
[00:04:12.660 --> 00:04:18.660]  七個號的前面都是有天上的祭壇天使獻香的意象
[00:04:18.660 --> 00:04:23.100]  而七個碗之前是天庭中聖徒頌讚的意象
[00:04:23.100 --> 00:04:26.300]  所以每一個這些災難的開始的時候
[00:04:26.300 --> 00:04:29.260]  都是首先看見什麼 看見天上
[00:04:29.260 --> 00:04:33.940]  看見天上了 然後才開始看到地上所發生的事情
[00:04:33.940 --> 00:04:36.460]  而每一個的七個循環
[00:04:36.460 --> 00:04:38.500]  無論是七個印 七個號 七個碗
[00:04:38.500 --> 00:04:42.900]  它的結束都是有雷光 大聲 閃電 地震 大炮
[00:04:42.900 --> 00:04:49.300]  大炮 是大冰炮 不是大炮禾 大炮 大冰炮
[00:04:49.300 --> 00:04:50.900]  我也列了給大家看
[00:04:50.900 --> 00:04:53.260]  啟示六八章 十一章 十六章
[00:04:53.260 --> 00:04:55.980]  我們都看得到這些經文
[00:04:55.980 --> 00:05:02.180]  都是有這些雷光 大聲 閃電 地震這些
[00:05:02.180 --> 00:05:07.780]  全部是代表什麼 是代表神的懲罰或者神的審判
[00:05:07.780 --> 00:05:10.620]  神的懲罰或者神的審判
[00:05:10.620 --> 00:05:15.180]  好了 開始和大家看看這個七印
[00:05:15.180 --> 00:05:19.620]  七印就是人類歷史中重複發生的苦難
[00:05:19.620 --> 00:05:21.900]  什麼叫做重複發生的苦難呢
