
[00:00:00.000 --> 00:00:02.000]  多謝主祢給我們這段寶貴的時間
[00:00:02.000 --> 00:00:05.000]  再次細心研讀主祢的道理
[00:00:05.000 --> 00:00:08.000]  求祢給我們有耐心
[00:00:08.000 --> 00:00:10.000]  亦都憑信心
[00:00:10.000 --> 00:00:16.000]  去明白聖經裏面那種微妙的教訓
[00:00:16.000 --> 00:00:18.000]  讓我們的屬靈生命
[00:00:18.000 --> 00:00:20.000]  更加像我們的恩主
[00:00:20.000 --> 00:00:24.000]  能夠更加成為主祢合用的器皿
[00:00:24.000 --> 00:00:26.000]  讓我們所聽的
[00:00:26.000 --> 00:00:29.000]  都能夠好好的掌握
[00:00:29.000 --> 00:00:31.000]  並且實踐
[00:00:31.000 --> 00:00:33.000]  在每一天的人的生活上
[00:00:33.000 --> 00:00:35.000]  祈禱奉耶穌的名禱
[00:00:35.000 --> 00:00:37.000]  阿們
[00:00:59.000 --> 00:01:02.000]  我們先將四張經文簡單回顧一下
[00:01:02.000 --> 00:01:03.000]  如果大家有聖經
[00:01:03.000 --> 00:01:05.000]  可以跟著我一齊看就行了
[00:01:05.000 --> 00:01:06.000]  如果大家有聖經
[00:01:06.000 --> 00:01:07.000]  可以回答到每一詞
[00:01:07.000 --> 00:01:08.000]  在第一章的裏面
[00:01:08.000 --> 00:01:09.000]  我們一開始聽見
[00:01:09.000 --> 00:01:14.000]  已不鎖教會裏面充滿很多異教之風
[00:01:14.000 --> 00:01:15.000]  我們看到
[00:01:15.000 --> 00:01:18.000]  一開始已不鎖教會充滿很多異教之風
[00:01:18.000 --> 00:01:19.000]  或者我們用另一個說法
[00:01:19.000 --> 00:01:21.000]  就是有很多別樣的教訓
[00:01:21.000 --> 00:01:24.000]  另外一章教會就有很多別樣的教訓
[00:01:24.000 --> 00:01:26.000]  於是我們造成怎樣呢
[00:01:26.000 --> 00:01:27.000]  於是造成什麼樣呢
[00:01:27.000 --> 00:01:29.000]  就從第一章和第二章開始
[00:01:29.000 --> 00:01:33.000]  我們見到在教會裏面有很多不同的人
[00:01:33.000 --> 00:01:35.000]  甚至是教會的領袖執事
[00:01:35.000 --> 00:01:37.000]  看到第一章和第二章裏面
[00:01:37.000 --> 00:01:39.000]  教會裏面有很多不同的人
[00:01:39.000 --> 00:01:41.000]  甚至是教會的領袖
[00:01:41.000 --> 00:01:43.000]  他就教導教會
[00:01:43.000 --> 00:01:44.000]  或者傳遞一個訊息
[00:01:44.000 --> 00:01:47.000]  就教導教會和傳遞一個訊息
[00:01:47.000 --> 00:01:49.000]  不需要手准自己的位份
[00:01:49.000 --> 00:01:52.000]  可以不守自己的位份
[00:01:52.000 --> 00:01:54.000]  自己究竟的角色身份是怎樣
[00:01:54.000 --> 00:01:55.000]  不需要太過著重
[00:01:55.000 --> 00:01:57.000]  自己的角色身份是怎樣
[00:01:57.000 --> 00:01:58.000]  不大重要
[00:01:58.000 --> 00:02:00.000]  最重要是你覺得是怎樣就怎樣
[00:02:00.000 --> 00:02:03.000]  最重要是你覺得應該怎樣就怎樣
[00:02:03.000 --> 00:02:05.000]  在教會裏面有很多這些始作俑者
[00:02:05.000 --> 00:02:09.000]  在教會裏面有很多這樣的人
[00:02:09.000 --> 00:02:12.000]  於是到了第三章的時候
[00:02:12.000 --> 00:02:13.000]  到了第三章的時候
[00:02:13.000 --> 00:02:16.000]  或者第二章或下半至第三章
[00:02:16.000 --> 00:02:20.000]  或者第二章的結尾部分到第三章
[00:02:20.000 --> 00:02:22.000]  藤原太前書的作者
[00:02:22.000 --> 00:02:23.000]  藤原太前書的作者
[00:02:23.000 --> 00:02:27.000]  就要銳意去幫助提摩太
[00:02:27.000 --> 00:02:29.000]  這位當時的主要牧師
[00:02:29.000 --> 00:02:31.000]  他怎樣可以學會糾正這個歪風
[00:02:31.000 --> 00:02:36.000]  就要教導當時的幾位牧師
