
[00:00:00.000 --> 00:00:06.000]  首先我回到飛拉鐵飛這個教會的第三章第七節那裏
[00:00:06.000 --> 00:00:10.000]  去和大家分析一部分的東西
[00:00:10.000 --> 00:00:16.000]  飛拉鐵飛這個教會我不想再多說它的背景
[00:00:16.000 --> 00:00:18.000]  只提到飛拉鐵飛這個字眼
[00:00:18.000 --> 00:00:24.000]  就是兄弟彼此相愛的
[00:00:24.000 --> 00:00:30.000]  弟兄姊妹今天我們叫做聖誕主日
[00:00:30.000 --> 00:00:34.000]  但是我沒有想和大家去講一個特別的聖誕的信息
[00:00:34.000 --> 00:00:37.000]  但是無論是什麼時候都好
[00:00:37.000 --> 00:00:42.000]  我發覺聖誕的信息裏面有一個很重要的重心
[00:00:42.000 --> 00:00:45.000]  就是真的因為神愛世人
[00:00:45.000 --> 00:00:49.000]  神的愛以至到耶穌基督來到這個世上
[00:00:49.000 --> 00:00:54.000]  或者嚴格來講神的愛以至到基督來到這個世上
[00:00:54.000 --> 00:00:57.000]  成為一個人而這個人的名字叫做耶穌
[00:00:57.000 --> 00:00:59.000]  有分別的
[00:00:59.000 --> 00:01:03.000]  因為當主耶穌還在天上的時候
[00:01:03.000 --> 00:01:05.000]  祂的名字不是叫耶穌的
[00:01:05.000 --> 00:01:07.000]  祂就是這個利塞瓦
[00:01:07.000 --> 00:01:09.000]  舊有裏面叫利塞瓦
[00:01:09.000 --> 00:01:11.000]  在新約我們叫做基督
[00:01:11.000 --> 00:01:13.000]  當祂來到這個世界祂要講一個名字
[00:01:13.000 --> 00:01:16.000]  不然我怎樣稱呼你
[00:01:16.000 --> 00:01:20.000]  就算隨便講一個名字
[00:01:20.000 --> 00:01:24.000]  陳大文都要有一個名字
[00:01:24.000 --> 00:01:26.000]  陳大文都要有一個名字
[00:01:26.000 --> 00:01:28.000]  所以耶穌在這個世上的時候
[00:01:28.000 --> 00:01:30.000]  祂講了一個名字叫做耶穌
[00:01:30.000 --> 00:01:32.000]  耶穌不是祂獨有的名字
[00:01:32.000 --> 00:01:35.000]  正如如果我說John
[00:01:35.000 --> 00:01:38.000]  可能一間教會裏面有五六七個John都不一定
[00:01:38.000 --> 00:01:41.000]  你試一下在街上大聲叫John
[00:01:41.000 --> 00:01:44.000]  可能有很多人都會轉頭看誰叫我
[00:01:44.000 --> 00:01:46.000]  所以不要想著耶穌這個名字
[00:01:46.000 --> 00:01:50.000]  獨特到是前無古人後無來者
[00:01:50.000 --> 00:01:52.000]  祂來到這個世界的時候
[00:01:52.000 --> 00:01:53.000]  才叫耶穌
[00:01:53.000 --> 00:01:54.000]  不是耶穌這個名字
[00:01:54.000 --> 00:01:57.000]  其實在舊約叫做約書亞Joshua
