
[00:00:00.000 --> 00:00:06.520]  我等姐妹早晨早啲講聖誕快樂個禮拜就係㗎喇ok好
[00:00:06.520 --> 00:00:16.820]  咁呢就係好感恩可以嚟到大家當中咁呀外面好冷呢度好暖好實際嘅大家返到嚟係咪覺得暖咗好多呢
[00:00:16.820 --> 00:00:19.460]  咁我出門口時係12度嚟到13度
[00:00:19.460 --> 00:00:21.900]  咁入到嚟可能都有廿度㗎
[00:00:22.700 --> 00:00:30.640]  係啦今朝諗呢我去台灣其實近過嚟柴灣㗎不過anyway但係好感恩係好樂意嘅其實係
[00:00:30.640 --> 00:00:32.180]  唔係講咩嘢
[00:00:32.180 --> 00:00:36.020]  因為今日嘅題目同大家講等候呢因為我成日都要等㗎嘛
[00:00:36.020 --> 00:00:38.580]  即係我哋好多時候都要等㗎嘛
[00:00:38.580 --> 00:00:42.660]  咁我講話去台灣近過嚟柴灣其實因為係唔使等
[00:00:42.660 --> 00:00:43.940]  嘅話先至係㗎啫
[00:00:43.940 --> 00:00:45.740]  即係飛機嘅行程呀
[00:00:45.740 --> 00:00:48.560]  事實上呢個世界邊有可能唔使等㗎
[00:00:48.560 --> 00:00:50.860]  好多時候我哋都要等呀
[00:00:51.380 --> 00:00:53.940]  咁而今日其實係
[00:00:53.940 --> 00:00:59.060]  喺教會嘅年曆裏面呢我哋叫做張林奇
[00:00:59.060 --> 00:01:02.140]  即係就係等候主耶穌
[00:01:02.140 --> 00:01:04.700]  即係喺初代嘅教會
[00:01:04.700 --> 00:01:07.760]  就係等候彌賽亞嘅降臨
[00:01:07.760 --> 00:01:09.560]  對我哋嚟講
[00:01:09.560 --> 00:01:12.620]  就係等候主耶穌嘅再嚟
[00:01:12.620 --> 00:01:13.640]  不過
[00:01:13.640 --> 00:01:14.940]  等
[00:01:14.940 --> 00:01:16.460]  係點樣等法
[00:01:16.460 --> 00:01:19.540]  等嘅過程係點樣
[00:01:19.540 --> 00:01:20.820]  咁
[00:01:21.080 --> 00:01:23.900]  事實上今日比我哋睇到嘅係
[00:01:23.900 --> 00:01:26.200]  即係譬如
[00:01:26.200 --> 00:01:27.740]  最近如果你有留意
[00:01:27.740 --> 00:01:31.060]  我比較多會講下中東嘅情況咁
[00:01:31.060 --> 00:01:34.640]  敘利亞嘅人就等咗50年喇
[00:01:34.640 --> 00:01:37.720]  就終於退返咗個獨裁者喇
[00:01:37.720 --> 00:01:40.540]  但係佢哋真正和平日子未嚟到
[00:01:40.540 --> 00:01:43.100]  真正平安嘅日子未嚟到
[00:01:43.100 --> 00:01:44.900]  烏克蘭
[00:01:44.900 --> 00:01:46.420]  嗰啲嘅人民
[00:01:46.420 --> 00:01:50.000]  等和平等戰爭停止等咗三年呀
[00:01:50.780 --> 00:01:51.300]  唔好講
[00:01:51.300 --> 00:01:53.340]  喺以色列加沙嗰啲嘅人
[00:01:53.340 --> 00:01:55.380]  雖然戰爭係一年
[00:01:55.380 --> 00:01:56.420]  但係佢哋
[00:01:56.420 --> 00:01:57.940]  失去自由
[00:01:57.940 --> 00:01:58.720]  70年
[00:01:58.720 --> 00:02:02.040]  咁我昨日讀到一篇係嚟自
[00:02:02.040 --> 00:02:03.580]  拿薩勒
[00:02:03.580 --> 00:02:05.120]  嘅一間神學院
[00:02:05.120 --> 00:02:06.400]  幾位嘅老師
[00:02:06.400 --> 00:02:07.680]  基督教
[00:02:07.680 --> 00:02:12.280]  佢一篇喺呢一個嘅即係我哋叫做
[00:02:12.280 --> 00:02:14.580]  張林奇嘅一個嘅討論
[00:02:14.580 --> 00:02:16.380]  即係佢嘅分享
[00:02:17.400 --> 00:02:21.240]  佢係講緊對佢哋巴勒斯坦人嚟講最寶貴嘅
[00:02:21.240 --> 00:02:23.040]  其實就係
[00:02:23.040 --> 00:02:25.340]  耶穌降生嘅時間
[00:02:25.340 --> 00:02:27.640]  就係一個充滿苦難嘅時間
[00:02:27.640 --> 00:02:31.220]  而最寶貴嘅就係當佢哋去
[00:02:31.220 --> 00:02:32.000]  今日
[00:02:32.000 --> 00:02:38.400]  去等候或者係期待有新嘅一頁開始嘅時候佢知道
[00:02:38.400 --> 00:02:40.180]  耶穌同佢哋一齊等
[00:02:40.180 --> 00:02:43.260]  耶穌同佢哋一齊去經過
[00:02:43.260 --> 00:02:44.800]  呢啲嘅困難
[00:02:44.800 --> 00:02:46.840]  呢個係最寶貴嘅
[00:02:47.600 --> 00:02:49.660]  咁對我哋嚟講又係啲乜嘢呢
[00:02:49.660 --> 00:02:51.180]  當我哋講緊
[00:02:51.180 --> 00:02:54.000]  下禮拜就係聖誕節
[00:02:54.000 --> 00:02:56.300]  我哋其實有冇期待呢
[00:02:56.300 --> 00:02:58.620]  我哋等緊啲乜嘢呢
[00:02:58.620 --> 00:03:00.920]  我哋開始嘅時候一齊祈禱
[00:03:00.920 --> 00:03:04.500]  我們多謝你畀我哋寶貴嘅話語
[00:03:04.500 --> 00:03:05.780]  亦都畀我哋
[00:03:05.780 --> 00:03:07.320]  寶貴嘅應許
[00:03:07.320 --> 00:03:08.860]  讓我哋知道
[00:03:08.860 --> 00:03:11.420]  我哋今日所等候嘅
[00:03:11.420 --> 00:03:12.700]  係
[00:03:12.700 --> 00:03:15.000]  講咗就會做嘅神
[00:03:15.260 --> 00:03:17.560]  所應許所應承我哋嘅嘢
[00:03:17.560 --> 00:03:20.120]  大主求你畀我哋去
[00:03:20.120 --> 00:03:21.920]  敞開我哋嘅心
[00:03:21.920 --> 00:03:23.720]  去
[00:03:23.720 --> 00:03:25.240]  等候
[00:03:25.240 --> 00:03:26.780]  該等候嘅
[00:03:26.780 --> 00:03:30.100]  教導我哋有合理嘅
[00:03:30.100 --> 00:03:31.120]  期待
[00:03:31.120 --> 00:03:34.980]  以至我哋帶住盼望嚟到
[00:03:34.980 --> 00:03:37.280]  等候主你嘅應許實現
[00:03:37.280 --> 00:03:38.800]  求主幫助
[00:03:38.800 --> 00:03:41.640]  特別喺呢個紀念你降生嘅
[00:03:41.640 --> 00:03:42.900]  日子期間
[00:03:42.900 --> 00:03:44.700]  我哋見到世上有苦難
[00:03:45.460 --> 00:03:47.260]  世上有無窮盡嘅苦難
[00:03:47.260 --> 00:03:50.840]  但我哋知道主耶穌你降生嘅日子
[00:03:50.840 --> 00:03:53.660]  本身就係充滿苦難同埋黑暗
[00:03:53.660 --> 00:03:55.460]  求主教導我哋
[00:03:55.460 --> 00:03:57.500]  調教我哋嘅新心靈
[00:03:57.500 --> 00:03:59.800]  以至我哋更好嘅預備自己
[00:03:59.800 --> 00:04:02.100]  去期待主你的彩禮
