
[00:00:00.000 --> 00:00:04.240]  已忽所思,我們已經去到第五講
[00:00:04.240 --> 00:00:06.240]  今天的題目很有趣
[00:00:06.240 --> 00:00:10.480]  叫做「拆牆廢規,為要合一」
[00:00:10.480 --> 00:00:13.200]  「拆牆廢規,為要合一」
[00:00:13.200 --> 00:00:16.040]  怎樣拆牆,怎樣廢規呢?
[00:00:16.040 --> 00:00:20.320]  待會跟大家仔細解釋
[00:00:20.320 --> 00:00:26.640]  我們先看看第一和第二章已忽所思的分別在哪裡
[00:00:26.640 --> 00:00:30.840]  我們講了第一章,其實是講個人的立場
[00:00:30.840 --> 00:00:33.640]  我們講到保羅告訴我們
[00:00:33.640 --> 00:00:37.440]  我們每一個基督徒都是很有福分
[00:00:37.440 --> 00:00:41.120]  神是滿滿地給了我們每一個基督徒
[00:00:41.120 --> 00:00:43.120]  有從祂而來的福氣
[00:00:43.120 --> 00:00:45.520]  這是在個人的立場
[00:00:45.520 --> 00:00:47.520]  但是在第二章
[00:00:47.520 --> 00:00:50.840]  開始就是在講集體的立場
[00:00:50.840 --> 00:00:53.840]  如果你記得我上一次跟大家講
[00:00:53.840 --> 00:00:56.520]  已忽所思的二章一至十節
[00:00:56.520 --> 00:00:59.320]  說我們所有的基督徒
[00:00:59.320 --> 00:01:01.320]  都是靈裡面死亡的人
[00:01:01.320 --> 00:01:03.600]  以前未接受耶穌基督的時候
[00:01:03.600 --> 00:01:07.960]  我們都是死在罪惡過犯當中
[00:01:07.960 --> 00:01:11.280]  是耶穌基督使我們復活
[00:01:11.280 --> 00:01:13.280]  一講起復活
[00:01:13.280 --> 00:01:15.280]  我相信大家就會想到
[00:01:15.280 --> 00:01:17.280]  我們將來在天上
[00:01:17.280 --> 00:01:19.280]  有復活的身體
[00:01:19.280 --> 00:01:21.280]  有榮耀的身體
[00:01:21.280 --> 00:01:23.280]  永遠與神同在
[00:01:23.280 --> 00:01:27.280]  但是在第二章不是在講個人
[00:01:27.280 --> 00:01:31.480]  不是在講天上復活的身體
[00:01:31.480 --> 00:01:34.880]  是在講地上原來有復活的身體
[00:01:34.880 --> 00:01:38.480]  而這個身體就是耶穌基督的身體
[00:01:38.480 --> 00:01:42.680]  我們在主內合一成為耶穌基督的身體
[00:01:42.680 --> 00:01:44.680]  這就是今天的信息
[00:01:44.680 --> 00:01:48.880]  已忽所思的二章十一至二十二節
[00:01:50.880 --> 00:01:54.480]  其實在主內我們有合一的身體
[00:01:54.480 --> 00:01:58.280]  在聖經裡有很多經文告訴我們
[00:01:58.280 --> 00:02:03.480]  例如在哥倫多前書十二章十二至十三節
[00:02:03.480 --> 00:02:04.480]  經文說
[00:02:04.480 --> 00:02:08.480]  「就如身子是一個,卻有許多肢體
[00:02:08.480 --> 00:02:12.480]  而且肢體雖多,仍是一個身子
[00:02:12.480 --> 00:02:14.480]  基督也是這樣
[00:02:14.480 --> 00:02:18.480]  我們不屈是猶太人,是希利尼人
[00:02:18.480 --> 00:02:20.880]  是遺奴的,是自主的
[00:02:20.880 --> 00:02:23.280]  都從一位聖靈受洗
[00:02:23.280 --> 00:02:27.880]  成了一個身體,飲於一位聖靈」
[00:02:27.880 --> 00:02:30.280]  我們看到這個合一的身體
[00:02:30.280 --> 00:02:34.880]  正是已忽所思其中一個很重要的主題
[00:02:34.880 --> 00:02:37.080]  我以前也跟大家講過
[00:02:37.080 --> 00:02:39.480]  已忽所思的二章七節
[00:02:39.480 --> 00:02:42.080]  說神要將我們基督徒
[00:02:42.080 --> 00:02:45.880]  炫耀給後來世代的人看
[00:02:45.880 --> 00:02:49.480]  我也講過在三章十節
[00:02:49.480 --> 00:02:54.280]  神要將我們炫耀給天使看
[00:02:54.280 --> 00:02:55.680]  看什麼?
[00:02:55.680 --> 00:02:58.280]  就是要看我們在耶穌基督裡
[00:02:58.280 --> 00:03:00.280]  有一個合一的肢體
[00:03:00.280 --> 00:03:03.280]  將耶穌基督的愛活出來
[00:03:03.280 --> 00:03:05.680]  讓世人看到神的智慧
[00:03:05.680 --> 00:03:09.680]  將榮耀、重讚歸給神
[00:03:09.680 --> 00:03:11.880]  這也是原因
[00:03:11.880 --> 00:03:16.880]  為什麼我在疫情中這麼著緊、這麼緊張
[00:03:16.880 --> 00:03:19.880]  要快些實體回來敬拜
[00:03:19.880 --> 00:03:25.880]  你說我在網上透過Zoom也可以敬拜神
[00:03:25.880 --> 00:03:27.680]  但是你想想
[00:03:27.680 --> 00:03:29.280]  世人能否看到我們?
[00:03:29.280 --> 00:03:30.480]  看不到我們
[00:03:30.480 --> 00:03:33.680]  我們是要一個合一的身體回來敬拜
[00:03:33.680 --> 00:03:36.080]  世人才能夠看得到
[00:03:36.080 --> 00:03:40.480]  這也是希伯來書十章二十五節告訴我們
[00:03:40.480 --> 00:03:44.880]  要我們不可停止聚會
[00:03:44.880 --> 00:03:48.880]  若果救贖、得救只不過是個人的事
[00:03:48.880 --> 00:03:50.880]  很多基督徒也是這樣說
[00:03:50.880 --> 00:03:52.880]  若果真是這樣
[00:03:52.880 --> 00:04:01.280]  根本我們就不需要有已忽所恕這部書
[00:04:01.280 --> 00:04:02.880]  經文告訴我們
[00:04:02.880 --> 00:04:07.280]  基督徒都是耶穌基督的肢體
[00:04:07.280 --> 00:04:11.480]  我們每一個基督徒都有神的靈在我們的身上
[00:04:11.480 --> 00:04:14.880]  帶領我們成為一個身體
[00:04:14.880 --> 00:04:16.880]  耶穌基督是我們的頭
[00:04:16.880 --> 00:04:19.680]  我們是耶穌基督的肢體
[00:04:19.680 --> 00:04:23.280]  神是帶領不同的人來到教會
[00:04:23.280 --> 00:04:28.080]  有不同的種族、不同的背景、不同的文化
[00:04:28.080 --> 00:04:29.480]  但是很可惜
[00:04:29.480 --> 00:04:33.280]  也是因為有不同的文化、不同的背景
[00:04:33.280 --> 00:04:36.280]  甚至人與人之間的分歧
[00:04:36.280 --> 00:04:39.480]  以致帶來教會有很多的不和
[00:04:39.480 --> 00:04:43.080]  很多時候我們都見到教會會分裂
[00:04:43.080 --> 00:04:46.480]  猶太人與外邦人的不和
[00:04:46.480 --> 00:04:49.680]  就是一個典型的例子
[00:04:49.680 --> 00:04:52.480]  其實如果我們看看聖經的話
[00:04:52.480 --> 00:04:55.080]  我們見到真是無可否認
[00:04:55.080 --> 00:04:58.880]  以色列人是被神揀選的民族
[00:04:58.880 --> 00:05:02.080]  在述已忽所恕的二章十一至十二節
[00:05:02.080 --> 00:05:05.880]  從前外邦人與基督無關
[00:05:05.880 --> 00:05:08.480]  在以色列國民以外
[00:05:08.480 --> 00:05:11.680]  在所應許的約上是局外人
[00:05:11.680 --> 00:05:16.080]  並且活在世上沒有指望、沒有神
[00:05:16.080 --> 00:05:21.880]  我們見到神是透過割禮與以色列人納約
[00:05:21.880 --> 00:05:25.280]  要以色列人成為神的子民
[00:05:25.280 --> 00:05:30.080]  其實在《阿摩斯書》的三章二節也有說
[00:05:30.080 --> 00:05:32.680]  「神說:在地上萬族中
[00:05:32.680 --> 00:05:36.680]  我只認識你們(你們就是以色列人)
[00:05:36.680 --> 00:05:38.680]  祂只認識以色列人
[00:05:38.680 --> 00:05:43.280]  因此我必追討你們一切的罪孽」
[00:05:43.280 --> 00:05:48.680]  就算外邦人都知道救恩是從猶太人出來
[00:05:48.680 --> 00:05:52.280]  如果你們記得在約翰福音第四章
