
[00:00:00.000 --> 00:00:03.080]  又很高興要講一部新的書
[00:00:03.080 --> 00:00:06.840]  每逢要講一部新的書,我都很興奮
[00:00:06.840 --> 00:00:10.800]  《聖經》真是非常之不簡單
[00:00:10.800 --> 00:00:14.540]  我們上次剛剛才講完《羅馬書》第四章
[00:00:14.540 --> 00:00:17.960]  我們說暫告一個段落
[00:00:17.960 --> 00:00:21.120]  《羅馬書》就是充滿了教義
[00:00:21.120 --> 00:00:24.660]  充滿了教導的一部書
[00:00:24.660 --> 00:00:28.320]  但是現在又要回來講歷史書
[00:00:28.320 --> 00:00:31.240]  就是《路德記》,充滿了故事
[00:00:31.240 --> 00:00:34.180]  又要變回一個講古老
[00:00:34.180 --> 00:00:36.960]  英文堂和國語堂
[00:00:36.960 --> 00:00:40.740]  已經在這裡兩三年前講了《路德記》
[00:00:40.740 --> 00:00:43.320]  當時他們跟我說講《路德記》
[00:00:43.320 --> 00:00:46.700]  我心想,不如語堂等一等
[00:00:46.700 --> 00:00:48.320]  因為我們要知道
[00:00:48.320 --> 00:00:50.680]  在猶太人古老的《聖經》
[00:00:50.680 --> 00:00:54.440]  《士思記》和《路德記》是一部書
[00:00:54.440 --> 00:00:57.120]  所以我希望講了《士思記》
[00:00:57.120 --> 00:00:58.740]  才講《路德記》
[00:00:58.740 --> 00:01:03.280]  這樣是比較有意思知道歷史的背景
[00:01:03.280 --> 00:01:06.800]  所以去年我們就講了《士思記》
[00:01:06.800 --> 00:01:11.360]  今年我們就要講這部很美麗的書《路德記》
[00:01:11.360 --> 00:01:16.400]  我今天的主題叫它為何要讀《路德記》
[00:01:16.400 --> 00:01:18.000]  我都講過很多次
[00:01:18.000 --> 00:01:20.320]  我每講一部書的介紹
[00:01:20.320 --> 00:01:24.480]  就是說為何要讀這部書
[00:01:24.480 --> 00:01:30.000]  今日我們就要講《路德記》
[00:01:30.000 --> 00:01:32.360]  先講少少的背景
[00:01:32.360 --> 00:01:34.600]  《路德記》,剛才我們讀經文
[00:01:34.600 --> 00:01:37.720]  《路德記》的一至二節
[00:01:37.720 --> 00:01:42.080]  是講到有一個猶太人叫做以利米勒
[00:01:42.080 --> 00:01:46.840]  他就帶著他的妻子那娥米和兩個兒子
[00:01:46.840 --> 00:01:48.920]  走了去摩訶地
[00:01:48.920 --> 00:01:51.000]  為何要去摩訶地?
[00:01:51.000 --> 00:01:55.440]  經文告訴我們當時在以色列地是有饑荒
[00:01:55.440 --> 00:01:57.760]  他就不夠信心
[00:01:57.760 --> 00:02:00.840]  他就走了去摩訶去謀生
[00:02:00.840 --> 00:02:04.160]  結果一住在摩訶就住了十年
[00:02:04.160 --> 00:02:08.600]  兩個兒子都娶了摩訶女子為妻
[00:02:08.600 --> 00:02:10.480]  但是過了十年之後
[00:02:10.480 --> 00:02:13.800]  三個男人都相繼死亡
[00:02:13.800 --> 00:02:17.440]  以利米勒死了,他兩個兒子都死了
[00:02:17.440 --> 00:02:21.600]  剩下三個寡婦在摩訶地
[00:02:21.600 --> 00:02:24.680]  於是那娥米就和兩個媳婦說
[00:02:24.680 --> 00:02:28.480]  「我要回娘家了,我要回猶太地」
[00:02:28.480 --> 00:02:30.760]  「不如你們兩個都回娘家吧」
[00:02:30.760 --> 00:02:33.680]  「你們還年輕可以改嫁」
[00:02:33.680 --> 00:02:37.560]  其中一個媳婦就說「好吧,我留下來」
[00:02:37.560 --> 00:02:40.840]  但是我們今天的主角路德
[00:02:40.840 --> 00:02:45.200]  他說:「婆婆,你去哪裡我就去哪裡」
[00:02:45.200 --> 00:02:47.680]  「你的百姓就是我的百姓」
[00:02:47.680 --> 00:02:49.960]  「你的神就是我的神」
